chunk,tp0,tp4,tp8,tp12,tp16,tp20,fp0,fp4,fp8,fp12,fp16,fp20
4,1358,1358,1358,1358,1358,1043,31602,31328,21370,8706,6275,3901
6,1358,1358,1358,1358,1358,1043,31602,25387,12709,7595,5589,2011
8,1358,1358,1358,1358,1043,1043,29324,21370,8706,6275,3901,1174
10,1358,1358,1358,1358,1043,962,22609,12709,7596,5590,2011,979
12,1358,1358,1358,1044,1043,722,17766,8707,6280,3903,1174,912
14,1358,1358,1358,1044,962,722,10296,7600,5595,2014,979,871
16,1358,1358,1059,1044,749,722,8086,6284,3908,1178,912,852
18,1358,1358,1059,969,749,722,6886,5600,2019,984,873,743
20,1358,1174,1059,805,749,722,6050,3921,1185,919,854,312
