suite,chunk,series,n_drop,n_other,n_safe,auc_drop,auc_other,gap
libero_goal,8,set_inflow_all,194,56,7148,0.4177937127469668,0.4091821078720642,0.00861160487490259
libero_goal,8,set_outflow_all,194,56,7148,0.484932377235182,0.41207364569809984,0.07285873153708217
libero_goal,8,set_jacc_adj_all,194,56,7148,0.5590829324377478,0.5354951020889885,-0.02358783034875922
libero_goal,8,state_mob_all,194,56,7148,0.4738434540558531,0.5824383335300366,0.0562817875858897
libero_goal,8,flow_path_back,194,56,7148,0.50217845148407,0.5416617490853298,0.03948329760125979
libero_goal,8,mob_back_s9,194,56,7148,0.35591207527760127,0.46205594240528736,-0.10614386712768609
libero_goal,8,tok_disp_fbr,194,56,7148,0.5675622522767844,0.519532633069751,-0.048029619207033414
libero_goal,14,set_inflow_all,194,56,1448,0.31665287838737666,0.41146381826387846,-0.0948109398765018
libero_goal,14,set_outflow_all,194,56,1448,0.4325954922415707,0.4335790582217542,-0.0009835659801835095
libero_goal,14,set_jacc_adj_all,194,56,1448,0.5842632014366714,0.5629607341657891,-0.021302467270882364
libero_goal,14,state_mob_all,194,56,1448,0.4966605460158598,0.331728599368136,0.16493194664772381
libero_goal,14,flow_path_back,194,56,1448,0.7614963982324099,0.9186098992026478,0.1571135009702379
libero_goal,14,mob_back_s9,194,56,1448,0.7222300692104361,0.6216338197683166,-0.10059624944211953
libero_goal,14,tok_disp_fbr,194,56,1448,0.6566516677091951,0.5030840980893636,-0.15356756961983153
libero_goal,18,set_inflow_all,194,56,673,0.32290123937953075,0.2991913746630728,0.023709864716457973
libero_goal,18,set_outflow_all,194,56,673,0.2237119027203991,0.20035938903863432,0.023352513681764775
libero_goal,18,set_jacc_adj_all,194,56,673,0.7219970379608699,0.7451332734351602,0.023136235474290334
libero_goal,18,state_mob_all,194,56,673,0.7593732948787902,0.6753519017669961,-0.08402139311179413
libero_goal,18,flow_path_back,194,56,673,0.24557642840439628,0.33453129679544774,-0.08895486839105143
libero_goal,18,mob_back_s9,194,56,673,0.2758204068906384,0.31626235399820307,-0.04044194710756466
libero_goal,18,tok_disp_fbr,194,56,673,0.8280458336581183,0.7604073075771189,-0.0676385260809994
libero_object,8,set_inflow_all,36,45,7519,0.6139817629179332,0.6998757483338981,0.08589398541596494
libero_object,8,set_outflow_all,36,45,7519,0.6569590725948965,0.6887495764147746,0.031790503819878135
libero_object,8,set_jacc_adj_all,36,45,7519,0.29493885629462074,0.21280921721450355,0.08212963908011722
libero_object,8,state_mob_all,36,45,7519,0.7243231780589524,0.8434429007116232,0.11911972265267079
libero_object,8,flow_path_back,36,45,7519,0.8693715982187036,0.9375917767988252,0.06822017858012164
libero_object,8,mob_back_s9,36,45,7519,0.8159327065809006,0.8863662035468203,0.07043349696591972
libero_object,8,tok_disp_fbr,36,45,7519,0.2913691948823072,0.23009149440867502,0.06127770047363218
libero_object,12,set_inflow_all,36,45,6327,0.11211740041928721,0.23679295624332977,-0.12467555582404255
libero_object,12,set_outflow_all,36,45,6327,0.11740041928721175,0.26534151547491996,-0.14794109618770823
libero_object,12,set_jacc_adj_all,36,45,6327,0.8522851153039832,0.7000733724653149,-0.15221174283866834
libero_object,12,state_mob_all,36,45,6327,0.33693920335429767,0.5703041622198506,-0.09275663442585175
libero_object,12,flow_path_back,36,45,6327,0.700461215932914,0.6087246531483458,-0.09173656278456821
libero_object,12,mob_back_s9,36,45,6327,0.3512788259958071,0.4987326574172892,-0.1474538314214821
libero_object,12,tok_disp_fbr,36,45,6327,0.3610062893081761,0.3644610458911419,-0.0034547565829658455
libero_object,18,set_inflow_all,36,45,79,0.24087591240875914,0.23048327137546468,0.010392641033294514
libero_object,18,set_outflow_all,36,45,79,0.23357664233576642,0.26394052044609667,-0.030363878110330256
libero_object,18,set_jacc_adj_all,36,45,79,0.7153284671532847,0.6728624535315985,-0.04246601362168623
libero_object,18,state_mob_all,36,45,79,0.583941605839416,0.3643122676579926,0.051746126502591416
libero_object,18,flow_path_back,36,45,79,0.7664233576642335,0.8215613382899628,0.05513798062572928
libero_object,18,mob_back_s9,36,45,79,0.45985401459854014,0.379182156133829,0.08067185846471114
libero_object,18,tok_disp_fbr,36,45,79,0.6423357664233577,0.3903345724907063,-0.03267033891406396
