suite,chunk,risk_alive,safe_alive,prior
libero_goal,0,250,8774,0.027703900709219857
libero_goal,1,250,8774,0.027703900709219857
libero_goal,2,250,8774,0.027703900709219857
libero_goal,3,250,8774,0.027703900709219857
libero_goal,4,250,8774,0.027703900709219857
libero_goal,5,250,8774,0.027703900709219857
libero_goal,6,250,8774,0.027703900709219857
libero_goal,7,250,8530,0.02847380410022779
libero_goal,8,250,7148,0.033792917004595836
libero_goal,9,250,4828,0.04923198109491926
libero_goal,10,250,4112,0.05731315910132966
libero_goal,11,250,4081,0.057723389517432465
libero_goal,12,250,3314,0.07014590347923681
libero_goal,13,250,1919,0.11526048870447211
libero_goal,14,250,1448,0.14723203769140164
libero_goal,15,250,1284,0.16297262059973924
libero_goal,16,250,1246,0.16711229946524064
libero_goal,17,250,1162,0.17705382436260622
libero_goal,18,250,673,0.27085590465872156
libero_goal,19,250,229,0.5219206680584552
libero_goal,20,250,63,0.7987220447284346
libero_goal,21,250,34,0.8802816901408451
libero_goal,22,250,19,0.929368029739777
libero_goal,23,250,11,0.9578544061302682
libero_goal,24,250,10,0.9615384615384616
libero_goal,25,250,5,0.9803921568627451
libero_goal,26,250,2,0.9920634920634921
libero_goal,27,250,1,0.9960159362549801
libero_goal,28,250,1,0.9960159362549801
libero_goal,29,250,1,0.9960159362549801
libero_goal,30,0,0,0.0
libero_long,0,712,6600,0.09737417943107221
libero_long,1,712,6600,0.09737417943107221
libero_long,2,712,6600,0.09737417943107221
libero_long,3,712,6600,0.09737417943107221
libero_long,4,712,6600,0.09737417943107221
libero_long,5,712,6600,0.09737417943107221
libero_long,6,712,6600,0.09737417943107221
libero_long,7,712,6600,0.09737417943107221
libero_long,8,712,6600,0.09737417943107221
libero_long,9,712,6600,0.09737417943107221
libero_long,10,712,6600,0.09737417943107221
libero_long,11,712,6600,0.09737417943107221
libero_long,12,712,6600,0.09737417943107221
libero_long,13,712,6600,0.09737417943107221
libero_long,14,712,6599,0.09738749829024758
libero_long,15,712,6546,0.09809864976577569
libero_long,16,712,6437,0.09959434885998042
libero_long,17,712,6266,0.10203496703926626
libero_long,18,712,6100,0.10452143276570758
libero_long,19,712,5994,0.10617357590217716
libero_long,20,712,5920,0.10735826296743065
libero_long,21,712,5534,0.11399295549151457
