cohort,arm,n_risk,tp4,fp4,tp12,fp12,tp16,fp16
development_main,v8.3,487,344,47,198,20,163,5
development_main,v8.3+A,487,396,59,211,27,164,6
development_main,v8.3+B,487,363,53,205,25,172,7
development_main,v8.3+A+B,487,397,63,216,27,173,7
external_8b,v8.3,564,398,70,260,35,212,18
external_8b,v8.3+A,564,460,87,269,47,214,25
external_8b,v8.3+B,564,425,75,267,41,219,21
external_8b,v8.3+A+B,564,464,91,272,52,221,27
legacy_main16x32,v8.3,307,225,17,159,11,158,7
legacy_main16x32,v8.3+A,307,256,17,159,11,158,7
legacy_main16x32,v8.3+B,307,243,17,159,11,158,7
legacy_main16x32,v8.3+A+B,307,257,17,159,11,158,7
