suite,cap,lead,deadline_q,n_risk,in_time,late,never,late_median_q,n_safe,safe_already_flagged
libero_goal,30,4,26,250,194,56,0,30.0,8774,8774
libero_goal,30,12,18,250,86,164,0,25.0,8774,8774
libero_goal,30,16,14,250,37,213,0,24.0,8774,8774
libero_goal,30,20,10,250,10,240,0,24.0,8774,8774
libero_long,52,4,48,712,595,7,110,49.0,6600,6596
libero_long,52,12,40,712,524,78,110,44.0,6600,6596
libero_long,52,16,36,712,496,106,110,42.5,6600,6596
libero_long,52,20,32,712,342,260,110,35.0,6600,6596
libero_object,28,4,24,81,47,34,0,30.0,7519,7519
libero_object,28,12,16,81,6,75,0,23.0,7519,7519
libero_object,28,16,12,81,0,81,0,22.0,7519,7519
libero_object,28,20,8,81,0,81,0,22.0,7519,7519
libero_spatial,22,4,18,315,131,184,0,20.0,8709,8709
libero_spatial,22,12,10,315,1,314,0,19.0,8709,8709
libero_spatial,22,16,6,315,0,315,0,19.0,8709,8709
libero_spatial,22,20,2,315,0,315,0,19.0,8709,8709
