suite,chunk,floor_auc,floor_tp
libero_goal,6,0.10145313248522914,4
libero_goal,8,0.08013602785642227,5
libero_goal,10,0.12946561846949944,8
libero_goal,12,0.10163628099590916,7
libero_goal,14,0.13848910945685144,6
libero_goal,16,0.1065709552733296,7
libero_goal,18,0.13881136102446234,9
libero_long,6,0.10240713841045856,20
libero_long,8,0.07591972252690238,25
libero_long,10,0.06772300121542707,27
libero_long,12,0.08430913348946134,17
libero_long,14,0.07870082125174183,13
libero_long,16,0.06978230147036713,23
libero_long,18,0.06496433754284126,20
libero_object,6,0.11975121984743309,2
libero_object,8,0.12050718163700092,2
libero_object,10,0.14785925365954222,3
libero_object,12,0.12337339411520931,3
libero_object,14,0.2777777777777778,2
libero_spatial,6,0.07058971036903916,7
libero_spatial,8,0.09540814183086166,5
libero_spatial,10,0.10682233186992507,5
libero_spatial,12,0.15733992712129097,6
libero_spatial,14,0.3564814814814815,5
libero_spatial,16,0.27142857142857146,8
libero_spatial,18,0.31188118811881194,7
