mode,lead,n,v83,new,gain
approached_target_without_observed_contact,4,31,22,25,3
approached_target_without_observed_contact,12,31,11,11,0
approached_target_without_observed_contact,16,31,4,4,0
goal_predicate_regressed,4,65,51,57,6
goal_predicate_regressed,12,65,36,38,2
goal_predicate_regressed,16,65,34,35,1
mechanism_threshold_not_reached,4,7,7,7,0
mechanism_threshold_not_reached,12,7,6,7,1
mechanism_threshold_not_reached,16,7,6,6,0
no_meaningful_target_progress,4,3,3,3,0
no_meaningful_target_progress,12,3,3,3,0
no_meaningful_target_progress,16,3,3,3,0
object_moved_but_goal_unmet,4,187,126,137,11
object_moved_but_goal_unmet,12,187,91,94,3
object_moved_but_goal_unmet,16,187,74,77,3
object_released_or_dropped_before_goal,4,537,354,431,77
object_released_or_dropped_before_goal,12,537,140,143,3
object_released_or_dropped_before_goal,16,537,101,112,11
object_released_outside_goal,4,46,37,38,1
object_released_outside_goal,12,46,16,21,5
object_released_outside_goal,16,46,11,12,1
stable_grasp_not_observed,4,428,327,379,52
stable_grasp_not_observed,12,428,287,290,3
stable_grasp_not_observed,16,428,274,277,3
timeout_while_holding_target,4,54,40,41,1
timeout_while_holding_target,12,54,27,40,13
timeout_while_holding_target,16,54,26,26,0
