suite,cap,n_risk,len_min,len_max,len_at_cap,deadline_q,v83_lead16
libero_goal,30,250,30,30,250,14,37
libero_long,52,712,52,52,712,36,496
libero_object,28,81,28,28,81,12,0
libero_spatial,22,315,22,22,315,6,0
