series,rule,variant,d_fp0,d_tp0,d_tp4,d_fp4,d_tp12,d_tp16,conc12,top_task
set_inflow_all,excursion,global,18,11,52,12,13,1,0.38461538461538464,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,excursion,suite(VIOLATION),21,7,8,11,14,1,0.42857142857142855,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,excursion,task(VIOLATION),23,6,13,18,7,4,0.2857142857142857,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_inflow_all,excursion,strat4,14,10,46,7,13,1,0.46153846153846156,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,excursion,strat8,13,10,49,6,12,1,0.5,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,excursion,strat16,16,8,46,8,11,0,0.5454545454545454,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_all,excursion,global,18,12,49,8,11,2,0.36363636363636365,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_all,excursion,suite(VIOLATION),19,7,8,9,14,1,0.42857142857142855,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_all,excursion,task(VIOLATION),23,6,12,17,6,3,0.3333333333333333,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_outflow_all,excursion,strat4,14,11,45,8,10,1,0.5,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_all,excursion,strat8,15,9,41,8,10,1,0.5,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_all,excursion,strat16,16,11,43,9,12,1,0.4166666666666667,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_back,hard,global,9,7,34,6,9,1,0.4444444444444444,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_back,hard,suite(VIOLATION),12,4,8,11,14,1,0.42857142857142855,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_back,hard,task(VIOLATION),31,7,14,22,8,2,0.375,pick_up_the_tomato_sauce_and_place_it_in_the_basket
set_outflow_back,hard,strat4,10,7,34,7,10,1,0.5,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_back,hard,strat8,11,7,37,8,10,1,0.5,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_back,hard,strat16,8,6,34,8,7,1,0.2857142857142857,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_jacc_adj_all,hard,global,78,0,0,64,0,0,0.0,-
set_jacc_adj_all,hard,suite(VIOLATION),84,0,0,72,0,0,0.0,-
set_jacc_adj_all,hard,task(VIOLATION),36,2,2,25,3,3,1.0,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_jacc_adj_all,hard,strat4,97,0,0,81,0,0,0.0,-
set_jacc_adj_all,hard,strat8,99,0,0,86,0,0,0.0,-
set_jacc_adj_all,hard,strat16,97,0,0,82,0,0,0.0,-
state_mob_all,excursion,global,56,8,10,48,7,4,0.5714285714285714,pick_up_the_cream_cheese_and_place_it_in_the_basket
state_mob_all,excursion,suite(VIOLATION),18,4,4,18,2,3,0.5,pick_up_the_alphabet_soup_and_place_it_in_the_basket
state_mob_all,excursion,task(VIOLATION),19,5,5,19,1,2,1.0,pick_up_the_alphabet_soup_and_place_it_in_the_basket
state_mob_all,excursion,strat4,19,6,6,18,1,2,1.0,pick_up_the_alphabet_soup_and_place_it_in_the_basket
state_mob_all,excursion,strat8,19,6,6,19,1,2,1.0,pick_up_the_alphabet_soup_and_place_it_in_the_basket
state_mob_all,excursion,strat16,19,6,6,19,1,2,1.0,pick_up_the_alphabet_soup_and_place_it_in_the_basket
