series,variant,d_fp0,d_tp4,d_tp12,d_tp16,conc12
set_inflow_all,global,18,52,13,1,0.38461538461538464
set_inflow_all,open2^1 x band,41,41,26,0,0.7692307692307693
set_inflow_all,open2^3 x band,42,16,16,3,0.8125
set_inflow_all,open4^1 x band,32,43,23,1,0.7391304347826086
set_inflow_all,open4^3 x band,33,15,16,4,0.4375
set_inflow_all,open8^1 x band,29,44,20,1,0.65
set_inflow_all,open8^3 x band,33,26,15,3,0.3333333333333333
set_inflow_all,band only,63,41,31,0,0.7419354838709677
set_outflow_all,global,18,49,11,2,0.36363636363636365
set_outflow_all,open2^1 x band,44,44,26,1,0.7307692307692307
set_outflow_all,open2^3 x band,47,15,14,5,0.6428571428571429
set_outflow_all,open4^1 x band,53,42,19,1,0.631578947368421
set_outflow_all,open4^3 x band,40,14,12,5,0.3333333333333333
set_outflow_all,open8^1 x band,42,43,16,1,0.5625
set_outflow_all,open8^3 x band,35,28,14,5,0.21428571428571427
set_outflow_all,band only,83,43,31,1,0.7419354838709677
set_outflow_back,global,9,34,9,1,0.4444444444444444
set_outflow_back,open2^1 x band,46,25,13,2,0.6153846153846154
set_outflow_back,open2^3 x band,65,13,15,7,0.4
set_outflow_back,open4^1 x band,45,25,14,3,0.5
set_outflow_back,open4^3 x band,52,15,15,6,0.2
set_outflow_back,open8^1 x band,40,26,12,2,0.5
set_outflow_back,open8^3 x band,51,23,18,6,0.16666666666666666
set_outflow_back,band only,38,27,20,4,0.65
