feature,best_reference,best_abs_spearman,degenerate,rho_flow_path,rho_flow_settling_log_ratio,rho_flow_endpoint,rho_action_consensus,rho_state_action_alignment,rho_conditional_energy,rho_conditional_effective_rank,rho_partial_edge_std,rho_expert_load_effective_rank,rho_conditional_query_d1,rho_partial_query_d1,rho_mobility
vol,conditional_energy,0.9985706810470626,False,0.5735560500925373,-0.6972672080792184,0.15261704829942185,0.020946535366807954,-0.9985662249623733,0.9985706810470626,-0.8642873993806256,-0.8543091380867607,0.3099925826992641,0.739316434077708,-0.7022847192655514,-0.3285208746601599
fiedler,conditional_energy,0.9944550467046633,False,0.5526131584747274,-0.706808686646731,0.12580589677629309,0.05181896962251637,-0.9944459228460064,0.9944550467046633,-0.8779846250533108,-0.8699380702175499,0.3273784073581794,0.7325893802261962,-0.7163585848853286,-0.3506342844874175
lam_max,conditional_energy,0.9991422787271688,False,0.5847313098804118,-0.6912928846736937,0.167039588090119,0.0038933639613819297,-0.9991417602632084,0.9991422787271688,-0.8556271116796215,-0.8459011283484038,0.3013981204588709,0.7423523791985808,-0.6944620492559841,-0.31709713941859585
gap_ratio,partial_edge_std,0.8671657225197359,False,0.19148533589014652,-0.7112617344138016,-0.22951731856508933,0.43573357617723885,-0.7376880494992563,0.7377410056319877,-0.8621461862426195,-0.8671657225197359,0.4910862201806522,0.5115770472582132,-0.7365079569148146,-0.5725686789509561
spectral_erank,partial_edge_std,0.8637868518954919,False,0.19383171209545932,-0.7105319292677875,-0.22768635657606104,0.4363867531268482,-0.7358763228816764,0.7359303582858048,-0.8601483461987165,-0.8637868518954919,0.49005055014783866,0.5097744397817185,-0.7358402446667076,-0.5756472960925876
norm_fiedler,partial_edge_std,0.9739881520396076,False,0.2515955090851053,-0.798887814149761,-0.2253059290903199,0.4726978953874636,-0.8293447426560256,0.8293752722600292,-0.965666667775897,-0.9739881520396076,0.5565458187645163,0.5909397519000291,-0.816363155385695,-0.6467708381710523
n_near_zero,partial_edge_std,0.003472083464304652,False,0.001357163766169804,0.0034152704507592617,0.003198421041364118,-0.0034711059892797804,0.0010452952660123954,-0.0010559095294270227,0.003395758902924678,0.003472083464304652,-0.0011349882348232452,0.000457844272031292,0.0034718423896005417,0.0027158166143541863
log_kirchhoff,conditional_energy,0.9983652880897418,False,-0.5721061626625825,0.6979035881101845,-0.15080685429882199,-0.022994975974979768,0.9983602966525496,-0.9983652880897418,0.8652609950044059,0.855364151211917,-0.3110832591992883,-0.7388391675614683,0.7032729901996269,0.3299518704739483
kirchhoff_efficiency,partial_edge_std,0.8637174847075785,False,0.1930913156007674,-0.7099183891260048,-0.22819104297892492,0.4366818058800315,-0.7349811871767528,0.7350348613283564,-0.8595113356066826,-0.8637174847075785,0.49033384738367974,0.5090789613000527,-0.7356230954956066,-0.5757520061032761
log_spanning_trees,conditional_energy,0.9984746591483079,False,0.5728560240580257,-0.6975787390364391,0.15173934457439342,0.021941656197881635,-0.9984699308532468,0.9984746591483079,-0.8647628955483787,-0.8548217774474471,0.3105177005805629,0.7390855509133212,-0.7027647609441198,-0.32921426125629716
