snapshot,episode,fork_step,candidate_i,candidate_j,d_action,d_physics,proxy_outcome_gap,dX_eef_position_endpoint_m,dX_gripper_endpoint_std,dX_object_qpos_endpoint_std,dX_robot_qpos_endpoint_std,d_action_full_gripper,d_action_rms,proxy_command_redundancy,proxy_control_equivalence,proxy_critical_microdifference,proxy_outcome_i,proxy_outcome_j,proxy_physics_amplification
ep0/t6,0,6,0,1,0.15032240091717072,0.8745086277095283,0.0,0.002663149692375188,0.09218944685046351,9.854580361658618e-18,3.774554556529611,0.1514071775317639,0.06042007838929197,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,2,0.12187606145162408,0.4777788824256739,0.0,0.0013994484626233044,0.031392476649467344,6.522954438991809e-18,2.2603363158895573,0.12435817006476943,0.0488650586537626,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,3,0.1588330867681594,0.5798639160026409,0.0,0.00035822050295833207,0.00982291693130961,8.30416196157446e-18,4.7270122431757216,0.15988461701971435,0.06385887759529646,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,4,0.12790605293754476,0.4827733365697533,0.0,0.0014701778455505812,0.029009956240569772,5.790006684533242e-18,2.0850191565294396,0.13190339247953145,0.05278310325614021,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,5,0.13152019215865215,1.4622391882223562,0.0,0.004171275653090716,3.2803333356977378,8.689716388367709e-18,4.68150694968464,0.13529725320790528,0.05645351263516942,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,6,0.12484990606160944,0.7938449454584008,0.0,0.0008145461753551065,2.5501132971776035,8.314067309449073e-18,4.565710610341723,0.12852453922120818,0.051146785656291376,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,7,0.1309330322628836,0.7741977899001045,0.0,0.0006470241410283881,2.568411592423654,6.456539620754201e-18,4.447581857274155,0.13303775020184946,0.051910198500527915,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,8,0.1488870297357151,0.5884501366845327,0.0,0.0016615580053261471,0.08271987000343287,3.4662225961697178e-18,2.9772105088869876,0.15312239913335637,0.06034510021602889,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,9,0.12670367869273116,0.7553131189906421,0.0,0.0019704352896067496,0.05550391153909838,1.4103899265478124e-17,4.266826951023185,0.12947067547220534,0.05125474872610556,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,10,0.1394348061875353,1.0176512540130387,0.0,0.002355352131232135,2.603741556521214,8.664355640695097e-18,4.644496082809584,0.1405901148537138,0.05509309613732506,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,11,0.14462954748835877,0.9684099933417382,0.0,0.0023952014699415115,0.04394297401452294,9.568087074676648e-18,5.779799004674864,0.14644261170439135,0.06076622772079489,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,12,0.12453427274345112,0.8269093556954098,0.0,0.0006262388363660931,2.5490368717819303,7.89281037716182e-18,5.098131521185642,0.1262728267758585,0.05195459851571554,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,13,0.13082845455183384,0.8053817694914023,0.0,0.001393131368835015,2.567930896077415,8.162924250505138e-18,3.8705728184617922,0.13374762336093976,0.0541294377077475,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,14,0.12293602173807108,0.4595882406747785,0.0,0.001357516768697489,0.036651292568180865,6.8162173458157624e-18,2.1357216946017847,0.12504884626970963,0.050531554653778905,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,15,0.13580742385369224,1.0247685197884333,0.0,0.002053572842914656,2.529953103762811,4.121214012239814e-18,5.550774847110578,0.1379981140596512,0.055694355263517965,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,16,0.1389615468151742,0.923460169790663,0.0,0.002249551581264374,2.637272657143912,6.1784952806233996e-18,3.3403005778559507,0.13994972942520895,0.05471739066757615,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,17,0.12847400232705775,1.404307429556145,0.0,0.004582752100220267,0.10688517508270384,7.304695259714656e-18,4.710544497437956,0.13025409128232848,0.052424904447164654,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,18,0.12246626228550635,0.7937070393491928,0.0,0.0010055704181350523,2.541761641395391,8.633711151626862e-18,4.368602417264378,0.12505334762081896,0.049871150634040205,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,19,0.1312035396410642,0.9536578735340242,0.0,0.00223967327863437,2.574084596742011,7.860841893078482e-18,4.028541223378434,0.13574488112742,0.0534408005503447,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,20,0.14943047086119118,0.8217252644373374,0.0,0.0009918433213399315,2.5557727810279998,5.98902520873122e-18,4.703903038579589,0.1510370259348065,0.060290268631339045,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,21,0.1741582201799881,1.331941621205919,0.0,0.0035641088420504475,2.692348708130702,8.16967881234873e-18,5.687641463598564,0.17599643200402018,0.06762603900781959,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,22,0.15586042734832944,1.0005636919514225,0.0,0.0017931123319621049,2.593998295823299,1.1042800264572402e-17,5.647212267636772,0.15736662997514145,0.060915953042466435,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,23,0.12330169365023755,0.6357520142362141,0.0,0.0009624452550905724,2.1450899069464255,6.6965734543226395e-18,3.0718228706332327,0.125851006388458,0.049673500029672815,False,False,False,0.0,0.0,False
ep0/t6,0,6,0,24,0.1846443741063853,1.0105681996427085,0.0,0.0012890145795214252,2.5101957624889213,8.786146386620061e-18,6.546292478263636,0.18606883698622861,0.07306211797695189,False,False,False,0.0,0.0,False
