label,mode,block,held_out_stratum,feature,family,direction,training_effect_abs
label_stagnation,stagnation,trap_only,libero_goal/open_the_top_drawer_and_put_the_bowl_inside|init=16,soft_denoise_spread|back_12_15|adjacent_mean,query_persistence,-1.0,3.084892190124214
label_stagnation,stagnation,trap_only,libero_goal/open_the_top_drawer_and_put_the_bowl_inside|init=16,soft_route|front_2_5|return_advantage_mean,query_recurrence,1.0,1.3428908516293507
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=0,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,2.877689194891057
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=0,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,0.9970760212203919
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=10,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,2.982079868570353
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=10,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,0.9863649244701216
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=16,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,2.9278862633572444
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=16,soft_denoise_spread|back_12_15|return_advantage_mean,query_recurrence,-1.0,1.0394213404423231
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=26,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,2.803075516409574
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=26,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,0.9745400398159465
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=29,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,2.9604437222184408
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=29,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.0211937391401644
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=3,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,2.9023033215785254
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=3,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.006435659976481
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=39,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,3.049443526470692
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=39,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.0076852280358668
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=42,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,2.845389894835592
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=42,hard_route|front_2_5|return_advantage_mean,query_recurrence,1.0,1.0143626627702476
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=7,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,2.9683917976642626
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=7,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.0567036448898706
label_stagnation,stagnation,trap_only,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate|init=23,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,3.0061088123130477
label_stagnation,stagnation,trap_only,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate|init=23,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.0828038769163892
label_stagnation,stagnation,trap_only,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate|init=29,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,3.0075339093526963
label_stagnation,stagnation,trap_only,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate|init=29,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.1412517191314258
label_stagnation,stagnation,trap_only,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate|init=33,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,3.3118902290091765
