label,mode,primary,feature,family,feature_index,effect_sigma,adjusted_difference,within_stratum_residual_sd,target_mean,control_mean,permutation_p_raw,permutation_p_max_family,permutation_p_max_all_features,primary_label_fwer_p,loso_effect_min,loso_effect_max,loso_same_direction,loso_folds
label_stagnation,stagnation,True,action_top1|front_2_5|denoise_mean|phase_mean,action_confidence,108,-2.7502987614766843,-0.0004508080604278818,0.00016391239626121015,0.037463508546352386,0.03766434267163277,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.002498750624687656,-2.9569972453125475,-2.52130061057979,13,13
label_stagnation,stagnation,True,action_hard_switch|back_12_15|denoise_max|phase_mean,denoise_hard_switch,474,1.5401722358092704,0.007204490335450495,0.00467771731495014,0.08646406978368759,0.0797741636633873,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.002498750624687656,1.4699752823136423,1.6899880114031325,13,13
label_stagnation,stagnation,True,action_denoise_motion|front_2_5|denoise_mean|phase_std,denoise_soft_motion,339,-2.81707022171697,-0.0003332345157781617,0.00011829116406443688,0.00032367315725423396,0.0006484776386059821,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.002498750624687656,-3.229061005010607,-2.6260261253119817,13,13
label_stagnation,stagnation,True,hard_route|back_12_15|adjacent_mean,query_persistence,510,-3.3130944459563283,-0.14859273498837977,0.044850135549180915,0.3048984706401825,0.4627758264541626,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.002498750624687656,-3.860862188858334,-2.999732323841828,13,13
label_stagnation,stagnation,True,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,496,-1.5073377328107929,-0.0009264671486586985,0.0006146380658374936,0.0005057263770140707,0.0015414063818752766,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.002498750624687656,-1.641922814615832,-1.346300903014368,13,13
label_stagnation,stagnation,True,state_action_gap|front_2_5|denoise_std|phase_mean,state_action_mismatch,264,-2.823843257578321,-0.00039831875595673264,0.0001410555472184118,0.001935137202963233,0.0022550623398274183,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.002498750624687656,-3.3095733708918305,-2.5746216184516846,13,13
label_stagnation,stagnation,True,state_entropy|front_2_5|denoise_mean|query_change,state_confidence,5,-2.886550999791758,-0.13051437215841138,0.04521464272338405,0.04994725435972214,0.19761912524700165,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.002498750624687656,-3.232934036871707,-2.6298964265859825,13,13
label_stagnation,stagnation,True,action_token_dispersion_at_d|front_2_5|d9|query_change,token_disagreement,935,-2.558847175634318,-0.0028463265505898295,0.001112347223270279,0.0016377271385863423,0.004664098843932152,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.002498750624687656,-2.786682943609952,-2.3686308924948962,13,13
label_regrasp_or_drop,regrasp_or_drop,True,action_top1_at_d|back_12_15|d3|query_change,action_confidence,719,1.3504449109472185,0.00032141796390198807,0.0002380089415691467,0.0008192657842300832,0.0007152421749196947,0.0004997501249375312,0.0034982508745627187,0.019490254872563718,0.09745127436281859,1.2111707200225723,1.7297397210660168,8,8
label_regrasp_or_drop,regrasp_or_drop,True,action_hard_switch|front_2_5|denoise_max|phase_std,denoise_hard_switch,471,0.836847779057352,0.0027833371404217475,0.00332597780633053,0.013719587586820126,0.013408292084932327,0.0014992503748125937,0.263368315842079,0.847576211894053,1.0,0.5823949041528966,0.9689960235694873,8,8
