task,physical_pattern,n,mixed_initial_states,cross_init_status,family,feature,effect_sigma
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,7,estimable,denoise_hard_switch,action_hard_switch|back_12_15|denoise_mean|phase_late,-1.8762098609202464
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,7,estimable,denoise_soft_motion,action_denoise_motion_at_i|front_2_5|d6_to_d7|phase_late,2.654017029873061
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,7,estimable,query_persistence,soft_denoise_spread|front_2_5|adjacent_mean,1.3889847129666557
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,7,estimable,query_recurrence,soft_denoise_spread|back_12_15|return_advantage_max,1.5472264524288337
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,7,estimable,state_action_mismatch,state_action_gap|back_12_15|denoise_std|phase_std,2.4439172067222517
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,7,estimable,state_confidence,state_top4|back_12_15|denoise_mean|phase_slope,1.1640331602297918
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,7,estimable,token_disagreement,action_token_dispersion|back_12_15|denoise_slope|phase_std,1.3117789681108358
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,estimable,action_confidence,action_top1_at_d|back_12_15|d3|query_change,1.8131477803812763
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,estimable,denoise_hard_switch,action_hard_switch|front_2_5|denoise_std|phase_late,-1.3464629483420745
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,estimable,denoise_soft_motion,action_denoise_motion_at_i|front_2_5|d8_to_d9|phase_std,2.1831818762856257
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,estimable,query_persistence,soft_denoise_spread|back_12_15|adjacent_mean,0.8493331582439057
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,estimable,query_recurrence,soft_route|front_2_5|return_advantage_mean,-1.4352472079118677
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,estimable,state_action_mismatch,state_action_gap|back_12_15|denoise_slope|phase_mean,1.0644869692114824
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,estimable,state_confidence,state_entropy|back_12_15|denoise_mean|phase_std,1.1050158097227984
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,estimable,token_disagreement,action_token_dispersion_at_d|front_2_5|d6|phase_mean,1.2919318687529118
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,estimable,action_confidence,action_top4_at_d|back_12_15|d7|phase_slope,2.5244425634573315
