label,mode,primary,positive_total,episodes_in_mixed_strata,positives_in_mixed_strata,controls_in_mixed_strata,mixed_strata
label_stagnation,stagnation,True,166,195,109,86,13
label_regrasp_or_drop,regrasp_or_drop,True,58,123,37,86,8
label_goal_regression,goal_regression,True,49,103,34,69,6
residual_none,residual_none,True,88,207,71,136,15
label_active_return,active_return,True,39,166,39,127,9
label_gripper_cycling,gripper_cycling,False,9,93,5,88,5
label_subtask_undo,subtask_undo,False,8,73,8,65,4
