mode,metric,layer_group,phase_statistic,peak_location,peak_effect_sigma,effect_min,effect_max,median_abs_effect,peak_to_median_abs,direction_consistent
active_return,state_action_gap_at_d,front_2_5,phase_slope,d9,3.537368135329199,3.4694708620253905,3.537368135329199,3.478263548918884,1.0169925555033592,True
goal_regression,action_denoise_motion_at_i,front_2_5,phase_std,d8_to_d9,1.3366496094169558,0.1496965243433927,1.3366496094169558,0.3000760489865244,4.454369530428538,True
regrasp_or_drop,action_denoise_motion_at_i,front_2_5,query_change,d8_to_d9,1.3804741988316613,0.15838179286443285,1.3804741988316613,0.6969388786416547,1.9807679570441359,True
residual_none,state_action_gap_at_d,front_2_5,phase_mean,d4,2.4126268657930576,2.4035184520051045,2.4126268657930576,2.4094816213202725,1.0013053614706808,True
stagnation,action_top1_at_d,front_2_5,phase_mean,d7,-2.7249324305207523,-2.7249324305207523,-1.7642584081330952,2.160340854768207,1.2613437479120038,True
