block,calibration,identifiable_failure_episodes,covered_failure_episodes,coverage,supported_success_episodes,success_union_trigger_rate
trap_only,other_failure_q90,212,154,0.7264150943396226,340,0.6588235294117647
trap_plus_denoise,other_failure_q90,212,148,0.6981132075471698,340,0.5235294117647059
nontrap_only,other_failure_q90,212,173,0.8160377358490566,340,0.55
full_invariant,other_failure_q90,212,167,0.7877358490566038,340,0.5176470588235295
trap_only,dual_control_q90,212,37,0.17452830188679244,340,0.20588235294117646
trap_plus_denoise,dual_control_q90,212,120,0.5660377358490566,340,0.18823529411764706
nontrap_only,dual_control_q90,212,149,0.7028301886792453,340,0.21470588235294116
full_invariant,dual_control_q90,212,160,0.7547169811320755,340,0.25588235294117645
