task,suite,episodes,failures,successes,detector_tp,detector_fp,detector_fn,detector_tn,detector_precision,detector_failure_recall,detector_success_false_alarm_rate,clock_tp,clock_fp,clock_fn,clock_tn,clock_precision,clock_failure_recall,clock_success_false_alarm_rate,matched_clock_tp,matched_clock_fp,matched_clock_fn,matched_clock_tn,matched_clock_precision,matched_clock_failure_recall,matched_clock_success_false_alarm_rate
libero_goal/put_the_bowl_on_the_stove,libero_goal,400,9,391,0,0,9,391,0.0,0.0,0.0,0,0,9,391,0.0,0.0,0.0,9,0,0,391,1.0,1.0,0.0
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,400,16,384,16,0,0,384,1.0,1.0,0.0,0,0,16,384,0.0,0.0,0.0,16,0,0,384,1.0,1.0,0.0
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,libero_long,400,1,399,1,0,0,399,1.0,1.0,0.0,1,0,0,399,1.0,1.0,0.0,1,8,0,391,0.1111111111111111,1.0,0.020050125313283207
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,libero_long,400,47,353,0,0,47,353,0.0,0.0,0.0,47,0,0,353,1.0,1.0,0.0,47,13,0,340,0.7833333333333333,1.0,0.036827195467422094
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,libero_object,400,10,390,4,0,6,390,1.0,0.4,0.0,0,0,10,390,0.0,0.0,0.0,0,0,10,390,0.0,0.0,0.0
libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,libero_object,400,0,400,0,25,0,375,0.0,0.0,0.0625,0,0,0,400,0.0,0.0,0.0,0,0,0,400,0.0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,libero_spatial,400,1,399,0,0,1,399,0.0,0.0,0.0,0,0,1,399,0.0,0.0,0.0,0,0,1,399,0.0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial,400,41,359,34,1,7,358,0.9714285714285714,0.8292682926829268,0.002785515320334262,0,0,41,359,0.0,0.0,0.0,0,0,41,359,0.0,0.0,0.0
