alarm_cause,alarms,failures,successes,empirical_failure_fraction,first_alarm_query_median,first_alarm_phase_median
convergence_and_response,3,3,0,1.0,19.0,0.6470588235294118
persistent_recurrence,292,143,149,0.4897260273972603,13.5,0.7692307692307693
