query,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
0,125,3075,0,0,0.0390625,1.0,1.0
1,125,3075,0,0,0.0390625,1.0,1.0
2,125,3075,0,0,0.0390625,1.0,1.0
3,125,3075,0,0,0.0390625,1.0,1.0
4,125,3075,0,0,0.0390625,1.0,1.0
5,125,3075,0,0,0.0390625,1.0,1.0
6,125,3075,0,0,0.0390625,1.0,1.0
7,125,3061,0,14,0.03923414940364093,1.0,0.9954471544715447
8,125,2721,0,354,0.04392129304286718,1.0,0.8848780487804878
9,125,1987,0,1088,0.059185606060606064,1.0,0.6461788617886178
10,125,1916,0,1159,0.06124448799608035,1.0,0.6230894308943089
11,125,1873,0,1202,0.06256256256256257,1.0,0.6091056910569106
12,125,1655,0,1420,0.0702247191011236,1.0,0.5382113821138211
13,125,1310,0,1765,0.08710801393728224,1.0,0.42601626016260163
14,125,1195,0,1880,0.0946969696969697,1.0,0.3886178861788618
15,125,907,0,2168,0.12112403100775193,1.0,0.29495934959349596
16,125,827,0,2248,0.13130252100840337,1.0,0.2689430894308943
17,125,777,0,2298,0.1385809312638581,1.0,0.2526829268292683
18,125,762,0,2313,0.14092446448703494,1.0,0.24780487804878049
19,125,758,0,2317,0.14156285390713477,1.0,0.2465040650406504
20,125,742,0,2333,0.14417531718569782,1.0,0.24130081300813008
21,125,588,0,2487,0.1753155680224404,1.0,0.19121951219512195
22,83,285,42,2790,0.22554347826086957,0.664,0.09268292682926829
23,83,135,42,2940,0.38073394495412843,0.664,0.04390243902439024
24,83,101,42,2974,0.45108695652173914,0.664,0.03284552845528455
25,83,69,42,3006,0.5460526315789473,0.664,0.0224390243902439
26,83,48,42,3027,0.6335877862595419,0.664,0.015609756097560976
27,83,38,42,3037,0.6859504132231405,0.664,0.012357723577235772
28,73,29,52,3046,0.7156862745098039,0.584,0.00943089430894309
29,73,21,52,3054,0.776595744680851,0.584,0.006829268292682927
30,48,14,77,3061,0.7741935483870968,0.384,0.0045528455284552845
31,48,12,77,3063,0.8,0.384,0.003902439024390244
32,48,9,77,3066,0.8421052631578947,0.384,0.002926829268292683
33,48,7,77,3068,0.8727272727272727,0.384,0.0022764227642276423
34,48,5,77,3070,0.9056603773584906,0.384,0.0016260162601626016
35,48,3,77,3072,0.9411764705882353,0.384,0.000975609756097561
36,48,3,77,3072,0.9411764705882353,0.384,0.000975609756097561
37,48,3,77,3072,0.9411764705882353,0.384,0.000975609756097561
38,48,2,77,3073,0.96,0.384,0.0006504065040650406
39,48,0,77,3075,1.0,0.384,0.0
40,48,0,77,3075,1.0,0.384,0.0
41,48,0,77,3075,1.0,0.384,0.0
42,48,0,77,3075,1.0,0.384,0.0
43,48,0,77,3075,1.0,0.384,0.0
44,48,0,77,3075,1.0,0.384,0.0
45,48,0,77,3075,1.0,0.384,0.0
46,48,0,77,3075,1.0,0.384,0.0
47,48,0,77,3075,1.0,0.384,0.0
48,48,0,77,3075,1.0,0.384,0.0
49,48,0,77,3075,1.0,0.384,0.0
50,48,0,77,3075,1.0,0.384,0.0
51,48,0,77,3075,1.0,0.384,0.0
52,0,0,125,3075,0.0,0.0,0.0
