alarm_cause,alarms,failures,successes,empirical_failure_fraction,first_alarm_query_median,first_alarm_phase_median
convergence_and_response,1,1,0,1.0,19.0,0.7037037037037037
persistent_recurrence,80,54,26,0.675,17.0,0.7857142857142857
