cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall
development_main,all,legacy_back_mean_q95_k2,14800,487,14313,30,457,234,88,253,14225,0.4804928131416838,0.00614825682945574,0.7267080745341615,0.4666666666666667,0.4814004376367615,7.0,0.3036582748874699,0.767861341244962,0.0033000566903680652,0.009442153817212915,0.601689442741885,0.8436055983412323,0.4127310061601643,0.34291581108829566,0.23613963039014374,0.17453798767967146
development_main,all,lock_layer_median_q75_k4,14800,487,14313,30,457,349,61,138,14252,0.7166324435318275,0.00426185984769091,0.8512195121951219,0.6333333333333333,0.7221006564551422,8.0,0.6263153341832088,0.8385569312132249,0.0013198018932728227,0.007973936965357207,0.7300882112064063,0.9441809738249366,0.648870636550308,0.5728952772073922,0.37166324435318276,0.33059548254620125
development_main,all,instability_L5_q80_k8,14800,487,14313,30,457,26,7,461,14306,0.053388090349075976,0.000489065884161252,0.7878787878787878,0.03333333333333333,0.05470459518599562,12.5,0.017721315151144543,0.12549501767920276,0.00014030066459284123,0.0009032215490436797,0.5714285714285714,0.9285714285714286,0.0513347022587269,0.049281314168377825,0.03696098562628337,0.028747433264887063
development_main,all,dual_regime_or,14800,487,14313,30,457,372,67,115,14246,0.7638603696098563,0.0046810591769719835,0.8473804100227791,0.6666666666666666,0.7702407002188184,9.0,0.6687658727962563,0.8930043398565961,0.00172818128111477,0.0084261330684584,0.7345430622009569,0.9329782461843743,0.6960985626283368,0.6180698151950719,0.406570841889117,0.3593429158110883
external_8b,all,legacy_back_mean_q95_k2,15600,564,15036,41,523,252,104,312,14932,0.44680851063829785,0.006916733173716414,0.7078651685393258,0.4634146341463415,0.44550669216061184,8.0,0.3157398136873431,0.6699790532048596,0.003978707336411974,0.0101499360754673,0.5657886574376387,0.8285734349919743,0.3900709219858156,0.3421985815602837,0.23049645390070922,0.17907801418439717
external_8b,all,lock_layer_median_q75_k4,15600,564,15036,41,523,382,76,182,14960,0.6773049645390071,0.005054535780792764,0.834061135371179,0.6341463414634146,0.6806883365200764,13.0,0.5921975385899041,0.7848837209302325,0.002313028974758674,0.008512389739718176,0.7039263925145924,0.9166666666666666,0.5939716312056738,0.5372340425531915,0.37943262411347517,0.35106382978723405
external_8b,all,instability_L5_q80_k8,15600,564,15036,41,523,34,5,530,15031,0.06028368794326241,0.00033253524873636604,0.8717948717948718,0.024390243902439025,0.06309751434034416,7.0,0.02456086535356797,0.13164004631875845,6.603700384211806e-05,0.0006813336060857762,0.7368421052631579,0.973701079622132,0.05673758865248227,0.051418439716312055,0.026595744680851064,0.02127659574468085
external_8b,all,dual_regime_or,15600,564,15036,41,523,410,81,154,14955,0.7269503546099291,0.00538707102952913,0.835030549898167,0.6585365853658537,0.7323135755258127,12.0,0.644653807277628,0.840165345707447,0.00252422509459339,0.008755188105359656,0.7184592790119496,0.9139208909370199,0.6453900709219859,0.5851063829787234,0.40602836879432624,0.3723404255319149
