paired_record_index,candidate,episode_id,outcome,relative_query,previous_query,current_query,layer_group,flow_range,token_class,total_input_effect_h,vision_marginal_effect_h,state_marginal_effect_h,vision_effect_old_state_h,vision_effect_new_state_h,state_effect_old_image_h,state_effect_new_image_h,noise_effect_h,total_input_to_noise_ratio,vision_to_noise_ratio,state_to_noise_ratio,vision_fraction_of_marginal_effect,state_fraction_of_marginal_effect,total_over_sum_marginal_effect
1,6,100000006,failed_grasp,-2,28,29,front,full,state,0.08558034151792526,0.07726002857089043,0.018544800579547882,0.07551845163106918,0.07900280877947807,0.015711340121924877,0.021373605355620384,1.831054760259576e-05,4673.827532377739,4219.42752601991,1012.7933354062503,0.8064314633824172,0.1935685366175828,0.8932779514020326
1,6,100000006,failed_grasp,-2,28,29,front,full,action,0.013675010297447443,0.013608662411570549,0.0018860577256418765,0.013634053990244865,0.013608293142169714,0.0017551484634168446,0.0019653888884931803,0.035710569471120834,0.38294013509099695,0.38108220095946344,0.05281511198434214,0.8782773932707385,0.12172260672926147,0.882559360630546
1,6,100000006,failed_grasp,-2,28,29,front,late,state,0.08558259159326553,0.07725677266716957,0.018546083010733128,0.07551750540733337,0.07900439947843552,0.01571405678987503,0.021374084055423737,0.0,85582.59159326553,77256.77266716957,18546.083010733128,0.8064140898567093,0.1935859101432908,0.8933198388261143
1,6,100000006,failed_grasp,-2,28,29,front,late,action,0.021813249215483665,0.021793379448354244,0.002208505989983678,0.021795316599309444,0.021793379448354244,0.002064255066215992,0.002360931131988764,0.03327684476971626,0.6555083381984252,0.6549112332965956,0.06636765009624766,0.9079861456860361,0.09201385431396393,0.9088139876145573
1,6,100000006,failed_grasp,-2,28,29,front,final,state,0.08559946715831757,0.07726451009511948,0.018560638651251793,0.07553298771381378,0.07901608198881149,0.015747195109725,0.021374082192778587,0.0,85599.46715831757,77264.51009511948,18560.638651251793,0.8063072283834607,0.19369277161653925,0.8932881219405263
1,6,100000006,failed_grasp,-2,28,29,front,final,action,0.028924033977091312,0.029009295627474785,0.0022670626640319824,0.029066205956041813,0.028980822302401066,0.002110961824655533,0.0023550231708213687,0.028638712130486965,1.009962802981654,1.0129399497889195,0.0791607755859458,0.9275151332229234,0.07248486677707658,0.9247890597591012
1,6,100000006,failed_grasp,-2,28,29,back,full,state,0.04742833040654659,0.043888580054044724,0.008582649752497673,0.04180033504962921,0.04598444700241089,0.005155712831765413,0.011950455140322447,0.0005286031228024513,89.72389371273434,83.0274702528511,16.236471905416963,0.8364313208563764,0.1635686791436236,0.9038921058532722
1,6,100000006,failed_grasp,-2,28,29,back,full,action,0.023119136691093445,0.02275790274143219,0.0026080390671268106,0.022524243220686913,0.023002708330750465,0.001963706803508103,0.003206517663784325,0.019781277514994144,1.168738301839667,1.1504768953462068,0.13184381368442585,0.897183432540762,0.10281656745923794,0.9114243368362757
1,6,100000006,failed_grasp,-2,28,29,back,late,state,0.0474192351102829,0.04389374516904354,0.008575120475143194,0.04176586493849754,0.04599006101489067,0.005181498127058148,0.011949939653277397,0.0004815462161786854,98.47286411380965,91.15167702357371,17.807471405737843,0.8365674506231054,0.16343254937689455,0.9037594872329147
1,6,100000006,failed_grasp,-2,28,29,back,late,action,0.029286473989486694,0.028944578021764755,0.0027620067121461034,0.028806602582335472,0.02918064594268799,0.0021128522930666804,0.0033574989065527916,0.01939178816974163,1.51025133593324,1.4926203694267357,0.14243176998271137,0.9128885455394986,0.08711145446050136,0.9236716674238394
1,6,100000006,failed_grasp,-2,28,29,back,final,state,0.04734473675489426,0.04390953294932842,0.008553889580070972,0.041692549362778664,0.046000462025403976,0.005183420144021511,0.01195844542235136,0.0008400767110288143,56.35763512228867,52.26848021480546,10.182272008939881,0.836955174335461,0.163044825664539,0.9024332472469417
1,6,100000006,failed_grasp,-2,28,29,back,final,action,0.03398549370467663,0.033871129155159,0.002705679042264819,0.03379952162504196,0.03389056958258152,0.0020833438029512763,0.003322356496937573,0.01836671121418476,1.8503853688530452,1.8441586389728852,0.1473142910950329,0.9260274699842348,0.07397253001576518,0.9291541657008306
2,6,100000006,failed_grasp,-1,29,30,front,full,state,0.041332900524139404,0.04458553530275822,0.01723121479153633,0.03993324562907219,0.049247317016124725,0.01754821091890335,0.016923027113080025,0.0,41332.900524139404,44585.53530275822,17231.21479153633,0.7212533048849699,0.2787466951150301,0.6686359354235006
