paired_record_index,candidate,outcome,relative_query,policy_state_delta_l2,eef_position_delta_m,eef_axis_angle_delta,gripper_state_delta
1,6,failed_grasp,-2,0.029252486303448677,0.010975828394293785,0.02711307257413864,0.00034711408079601824
2,6,failed_grasp,-1,0.023486660793423653,0.005567214451730251,0.022811153903603554,0.0005297737661749125
3,6,failed_grasp,0,0.015762384980916977,0.001775864278897643,0.015521279536187649,0.0020949821919202805
4,6,failed_grasp,1,0.040929872542619705,0.005548147484660149,0.018395837396383286,0.036139532923698425
5,6,failed_grasp,2,0.11928187310695648,0.06641034781932831,0.09768307209014893,0.016608698293566704
13,3,success,-2,0.08448424935340881,0.06478636711835861,0.05422466620802879,1.8069134966935962e-05
14,3,success,-1,0.05799331143498421,0.05053187906742096,0.028453990817070007,0.0003521369944792241
15,3,success,0,0.03950002044439316,0.016771238297224045,0.03533424437046051,0.005519800819456577
16,3,success,1,0.04344857484102249,0.009575081057846546,0.024671196937561035,0.034459084272384644
17,3,success,2,0.061811719089746475,0.048045214265584946,0.03403263911604881,0.01881822757422924
25,4,success,-2,0.14500541985034943,0.054222650825977325,0.13448596000671387,2.097892138408497e-05
26,4,success,-1,0.06277774274349213,0.04494697228074074,0.043823909014463425,0.0005293414578773081
27,4,success,0,0.03543436527252197,0.01979886367917061,0.028029965236783028,0.00882723554968834
28,4,success,1,0.042156293988227844,0.011869379319250584,0.025672733783721924,0.03125990554690361
29,4,success,2,0.06540082395076752,0.050832126289606094,0.036488745361566544,0.019024576991796494
37,7,success,-2,0.09139780700206757,0.058021318167448044,0.07061930745840073,1.4069182725506835e-05
38,7,success,-1,0.05258799344301224,0.04367490112781525,0.029290201142430305,0.0002896190853789449
39,7,success,0,0.05635501816868782,0.013573218137025833,0.05382638797163963,0.009714724496006966
40,7,success,1,0.04607187956571579,0.009966421872377396,0.03146102651953697,0.03214797377586365
41,7,success,2,0.07172966003417969,0.05163814127445221,0.0487690269947052,0.010011449456214905
49,8,success,-2,0.07496371120214462,0.05096091330051422,0.0549776628613472,1.3694168046640698e-05
50,8,success,-1,0.05108383670449257,0.01272549293935299,0.0494733564555645,8.525980956619605e-05
51,8,success,0,0.07036285102367401,0.01876172237098217,0.06678614020347595,0.01177031360566616
52,8,success,1,0.03174559772014618,0.010157989338040352,0.005829170811921358,0.029506251215934753
53,8,success,2,0.06649000197649002,0.062224846333265305,0.023385895416140556,0.0014451813185587525
61,10,success,-2,0.071741484105587,0.05165702477097511,0.04978345334529877,1.4702631006002775e-06
62,10,success,-1,0.04161328449845314,0.03920955955982208,0.013935200870037079,0.0002933229261543602
63,10,success,0,0.03846222534775734,0.013186073862016201,0.03512929007411003,0.008450035005807877
64,10,success,1,0.031669873744249344,0.0041085947304964066,0.009022623300552368,0.030078111216425896
65,10,success,2,0.05745640769600868,0.03258173167705536,0.037279240787029266,0.02915351465344429
73,12,success,-2,0.11585763096809387,0.0644085556268692,0.09630434960126877,2.4952416424639523e-05
74,12,success,-1,0.033309247344732285,0.0318441316485405,0.009764943271875381,0.0003208784619346261
75,12,success,0,0.03024998866021633,0.01433605793863535,0.025307094678282738,0.008312053047120571
76,12,success,1,0.03909123316407204,0.005627273581922054,0.013630228117108345,0.03620324656367302
77,12,success,2,0.07145863771438599,0.057046689093112946,0.042516544461250305,0.006660031154751778
85,13,success,-2,0.06900859624147415,0.05534227192401886,0.04122401028871536,1.9783123207162134e-05
86,13,success,-1,0.05351950600743294,0.021164139732718468,0.04915705323219299,2.8182268579257652e-05
87,13,success,0,0.04559767246246338,0.015740644186735153,0.04194454476237297,0.008487334474921227
88,13,success,1,0.03967040777206421,0.007748738396912813,0.018436655402183533,0.0342605896294117
89,13,success,2,0.06447906047105789,0.05617828294634819,0.03136994689702988,0.004180482588708401
