paired_record_index,candidate,outcome,relative_query,combined_pixel_mae_u8,back_action_vision_effect_h,vision_route_effect_per_pixel_mae,policy_state_delta_l2,back_action_proprio_effect_h,proprio_route_effect_per_state_l2
1,6,failed_grasp,-2,3.7342687845230103,0.02275790274143219,0.006094339763584835,0.029252488166093826,0.0026080390671268106,0.08915614467796809
2,6,failed_grasp,-1,2.705064833164215,0.01128688594326377,0.004172501082002193,0.023486660793423653,0.0031021266477182508,0.13208036148701296
3,6,failed_grasp,0,1.8426637947559357,0.026477333158254623,0.014369052690787577,0.015762384980916977,0.007635073969140649,0.48438570548709425
4,6,failed_grasp,1,6.678747296333313,0.037244437262415886,0.005576560335328661,0.040929872542619705,0.03943539783358574,0.9634869444687914
5,6,failed_grasp,2,11.583974361419678,0.031977396458387375,0.002760485776357362,0.11928187310695648,0.02132992632687092,0.1788195118946951
13,3,success,-2,9.774779558181763,0.01925923116505146,0.0019702982609905457,0.08448424935340881,0.0037384963361546397,0.044250808461539545
14,3,success,-1,8.773075580596924,0.029680026695132256,0.003383081158080347,0.05799331143498421,0.0032301570754498243,0.055698786558707296
15,3,success,0,5.823225498199463,0.03310749493539333,0.005685422099080681,0.03950002044439316,0.008033812511712313,0.20338755325511926
16,3,success,1,5.729721367359161,0.025036034174263477,0.004369502907573782,0.04344857484102249,0.0312033174559474,0.7181666503474451
17,3,success,2,9.673702239990234,0.027805604971945286,0.0028743498902622164,0.061811719089746475,0.01285640150308609,0.20799294522806358
25,4,success,-2,9.214023113250732,0.020366936922073364,0.0022104282430965004,0.14500541985034943,0.003969757352024317,0.027376613619830504
26,4,success,-1,8.454503536224365,0.030306117609143257,0.00358461232871841,0.06277774274349213,0.0037005930207669735,0.05894753234259281
27,4,success,0,6.246721506118774,0.03208065405488014,0.005135598573340683,0.035434361547231674,0.019904236774891615,0.5617213322260817
28,4,success,1,5.790235221385956,0.023806845769286156,0.004111550715825277,0.042156293988227844,0.029986051842570305,0.7113066402597894
29,4,success,2,9.507869243621826,0.026451297104358673,0.00278204258247483,0.06540082395076752,0.013054242823272943,0.19960364464368105
37,7,success,-2,10.124505043029785,0.01827668957412243,0.001805193389350427,0.09139780700206757,0.002948887413367629,0.03226431257044188
38,7,success,-1,8.180059432983398,0.02843951340764761,0.0034766878701363254,0.05258798971772194,0.002364849322475493,0.04496938055950346
39,7,success,0,5.219314694404602,0.03448081575334072,0.006606387576190048,0.05635501816868782,0.016878940165042877,0.29951086369130503
40,7,success,1,7.549366116523743,0.02730471733957529,0.003616822514384598,0.04607187956571579,0.027023155242204666,0.5865433643456961
41,7,success,2,8.322584629058838,0.027993731200695038,0.0033635862473483454,0.07172966003417969,0.010369373485445976,0.1445618657680086
49,8,success,-2,10.625511169433594,0.02330639958381653,0.0021934379637999954,0.07496371120214462,0.0025170492008328438,0.033576902216666586
50,8,success,-1,4.907923936843872,0.03444405645132065,0.007018050176521381,0.05108383670449257,0.002131365123204887,0.041722886546958285
51,8,success,0,6.1735920906066895,0.020401984453201294,0.0033047185744979075,0.07036285102367401,0.02157867792993784,0.3066771402238599
52,8,success,1,8.41138207912445,0.033706918358802795,0.004007298448902631,0.03174559772014618,0.024365042336285114,0.7675093268388119
53,8,success,2,7.373262643814087,0.021542858332395554,0.0029217538250138515,0.06649000197649002,0.006484414217993617,0.0975246507029195
61,10,success,-2,8.098466634750366,0.01974416244775057,0.002438012445841135,0.07174147665500641,0.0031425002962350845,0.0438031170078486
62,10,success,-1,6.856441974639893,0.030442537739872932,0.004439990574188707,0.04161328449845314,0.0028476064326241612,0.06843022527409517
63,10,success,0,4.420260787010193,0.030657580122351646,0.0069356948830813295,0.03846222162246704,0.01635831966996193,0.4253087570065506
64,10,success,1,3.749279201030731,0.023415748961269855,0.006245400170473441,0.031669873744249344,0.028950950130820274,0.914147949076596
65,10,success,2,8.759280920028687,0.029041320085525513,0.003315491345770242,0.05745640769600868,0.016663200221955776,0.29001465441622654
73,12,success,-2,10.323497772216797,0.02388636488467455,0.002313786025988104,0.11585763096809387,0.0035293701803311706,0.030462992820068337
74,12,success,-1,5.162627458572388,0.03726714290678501,0.007218638804724141,0.033309247344732285,0.002288450486958027,0.06870315811323595
75,12,success,0,4.739174723625183,0.022051047533750534,0.0046529298495419915,0.03024998866021633,0.018810907378792763,0.6218484109229493
76,12,success,1,6.125757336616516,0.03142543137073517,0.00513004835873773,0.03909123316407204,0.029375746846199036,0.7514663639006838
77,12,success,2,8.602246761322021,0.029028157703578472,0.003374485586032797,0.07145863771438599,0.011601208709180355,0.16234858486316778
85,13,success,-2,10.009015083312988,0.022981618531048298,0.0022960919071211322,0.06900859624147415,0.002806994831189513,0.04067601696123924
86,13,success,-1,6.521852970123291,0.036141162738204,0.0055415482231456654,0.05351950600743294,0.0022231366601772606,0.041538811286272063
87,13,success,0,6.349722266197205,0.021547441370785236,0.0033934462748856286,0.04559767246246338,0.01775362715125084,0.38935380234300043
88,13,success,1,7.816472768783569,0.033212777227163315,0.004249074769351754,0.03967041149735451,0.030246657319366932,0.7624487918756271
89,13,success,2,7.199315071105957,0.028046390041708946,0.0038957025445756003,0.06447906047105789,0.008114277850836515,0.12584361173312528
