relative_query,metric,failed_value,success_mean,success_min,success_max,failed_over_success_mean,failed_rank_high_of_8,relation_to_success_range
-2,front_state_vision_h,0.07726002857089043,0.07390023155936173,0.059204740449786186,0.12959152460098267,1.0454639578338787,7,inside
-2,front_state_proprio_h,0.018544800579547882,0.03299095694507871,0.018926959484815598,0.04787959158420563,0.562117692142732,1,below_all
-2,back_action_vision_h,0.02275790274143219,0.021117343301219598,0.01827668957412243,0.02388636488467455,1.0776877761947377,5,inside
-2,back_action_proprio_h,0.0026080390671268106,0.003236150801447885,0.0025170492008328438,0.003969757352024317,0.8059077673265252,2,inside
-2,back_action_vision_to_noise,1.1504768953462068,1.2578514686811062,1.0979201379973378,1.3834649414183378,0.9146365242571249,3,inside
-2,back_action_proprio_to_noise,0.13184381368442585,0.19408581011166182,0.1494117232760089,0.25568632115707013,0.6793068159314337,1,below_all
-2,back_action_vision_fraction,0.897183432540762,0.8661473692027404,0.83688181692575,0.902528542108245,1.0358323126543574,7,inside
-2,policy_state_delta_l2,0.029252486303448677,0.09320841410330363,0.06900859624147415,0.14500541985034943,0.31383954533362096,1,below_all
-2,eef_position_delta_m,0.010975828394293785,0.057057014533451626,0.05096091330051422,0.06478636711835861,0.19236597785639187,1,below_all
-2,gripper_state_delta,0.00034711408079601824,1.6145315693652913e-05,1.4702631006002775e-06,2.4952416424639523e-05,21.499367827937647,8,above_all
-1,front_state_vision_h,0.04458553530275822,0.11870916986039706,0.07660409435629845,0.18260905891656876,0.37558627825627255,1,below_all
-1,front_state_proprio_h,0.01723121479153633,0.017949745025751845,0.010754949413239956,0.03046349622309208,0.9599698918739701,5,inside
-1,back_action_vision_h,0.01128688594326377,0.032388651078300815,0.02843951340764761,0.03726714290678501,0.34848274217957664,1,below_all
-1,back_action_proprio_h,0.0031021266477182508,0.002683736874522375,0.002131365123204887,0.0037005930207669735,1.1558982093840093,6,inside
-1,back_action_vision_to_noise,0.5675798169556253,1.7556295879973862,1.59779660428903,2.1285384267951657,0.32329132570786356,1,below_all
-1,back_action_proprio_to_noise,0.15599559380113298,0.14648316072579126,0.10447924157614223,0.2052822650744452,1.0649387481005308,6,inside
-1,back_action_vision_fraction,0.7844100400841656,0.9223779441709891,0.8911805066641124,0.9421459699977597,0.8504215056759346,1,below_all
-1,policy_state_delta_l2,0.023486660793423653,0.05041213173951421,0.033309247344732285,0.06277774274349213,0.4658930297727175,1,below_all
-1,eef_position_delta_m,0.005567214451730251,0.03487101090805871,0.01272549293935299,0.05053187906742096,0.15965165066217407,1,below_all
-1,gripper_state_delta,0.0005297737661749125,0.0002712487148528453,2.8182268579257652e-05,0.0005293414578773081,1.9530922624364107,8,above_all
0,front_state_vision_h,0.11380470916628838,0.11968112417629787,0.07045578211545944,0.17506146430969238,0.9508993999642487,4,inside
0,front_state_proprio_h,0.035167837515473366,0.1140882500580379,0.07166537642478943,0.16529583930969238,0.3082511783429329,1,below_all
0,back_action_vision_h,0.026477333158254623,0.02776100260338613,0.020401984453201294,0.03448081575334072,0.9537599753340705,4,inside
0,back_action_proprio_h,0.007635073969140649,0.01704550308308431,0.008033812511712313,0.02157867792993784,0.44792306404365245,1,below_all
0,back_action_vision_to_noise,1.1327790848848183,1.434854665815895,1.1034197076176002,1.716400225143884,0.78947304690311,2,inside
0,back_action_proprio_to_noise,0.32665117941059174,0.8903179567148255,0.4025117836168926,1.167059927275372,0.3668927229277711,1,below_all
0,back_action_vision_fraction,0.776178973807773,0.6170238642534478,0.48598529168028154,0.8047263684548386,1.257939957876493,7,inside
0,policy_state_delta_l2,0.015762384980916977,0.045137448768530576,0.03024998866021633,0.07036285102367401,0.3492085931074237,1,below_all
0,eef_position_delta_m,0.001775864278897643,0.01602397406739848,0.013186073862016201,0.01979886367917061,0.11082545886733064,1,below_all
0,gripper_state_delta,0.0020949821919202805,0.008725928142666817,0.005519800819456577,0.01177031360566616,0.240087032309667,1,below_all
1,front_state_vision_h,0.12767810747027397,0.11499091184565,0.09318126365542412,0.13457254320383072,1.1103321594810358,7,inside
1,front_state_proprio_h,0.31112295389175415,0.2070824589048113,0.17982319742441177,0.24776630848646164,1.5024109503874816,8,above_all
1,back_action_vision_h,0.037244437262415886,0.02827263902872801,0.023415748961269855,0.033706918358802795,1.317331474595335,8,above_all
1,back_action_proprio_h,0.03943539783358574,0.02873584588191339,0.024365042336285114,0.0312033174559474,1.372341638928637,8,above_all
1,back_action_vision_to_noise,1.6869827668866022,1.4762655389700083,1.2475529102268403,1.693912941505315,1.1427366705745983,7,inside
1,back_action_proprio_to_noise,1.7862220895389918,1.5093431929961656,1.2035916413623535,1.7474729183036253,1.183443300256451,8,above_all
1,back_action_vision_fraction,0.48571358057547454,0.494019223257116,0.44256485198222345,0.5804336198631905,0.9831876123627709,4,inside
1,policy_state_delta_l2,0.040929872542619705,0.039121980113642554,0.031669873744249344,0.04607187956571579,1.0462116800766612,5,inside
1,eef_position_delta_m,0.005548147484660149,0.008436211185263736,0.0041085947304964066,0.011869379319250584,0.6576586767234539,2,inside
1,gripper_state_delta,0.036139532923698425,0.032559308888656754,0.029506251215934753,0.03620324656367302,1.1099600746221299,7,inside
2,front_state_vision_h,0.07522542029619217,0.05032912003142493,0.026183605194091797,0.06859550252556801,1.4946698899011601,8,above_all
2,front_state_proprio_h,0.2221187725663185,0.1634708158671856,0.060744162648916245,0.2901306599378586,1.3587671376570505,7,inside
2,back_action_vision_h,0.031977396458387375,0.027129908491458212,0.021542858332395554,0.029041320085525513,1.178676900751633,8,above_all
2,back_action_proprio_h,0.02132992632687092,0.01130615983025304,0.006484414217993617,0.016663200221955776,1.8865756938793903,8,above_all
2,back_action_vision_to_noise,1.7694688001835461,1.5266610617715433,1.2405699072822678,1.7117181136564774,1.1590449540451682,8,above_all
2,back_action_proprio_to_noise,1.1802911845786672,0.6332214601204056,0.37341234023245934,0.9554617596349204,1.863946911013151,8,above_all
2,back_action_vision_fraction,0.5998687382445412,0.7110296491724192,0.6354146130436861,0.7756048678373754,0.8436620595818188,1,below_all
2,policy_state_delta_l2,0.11928187310695648,0.06554661584751946,0.05745640769600868,0.07172966003417969,1.8198021601060366,8,above_all
2,eef_position_delta_m,0.06641034781932831,0.05122100455420358,0.03258173167705536,0.062224846333265305,1.29654520440049,8,above_all
