variant,episodes,failures,successes,true_alarms,false_alarms,failure_recall,success_false_alarm_rate,precision,hardest_task,hardest_task_failures,hardest_task_true_alarms,failure_recall_excluding_hardest_task,macro_task_failure_recall,mean_allocated_success_fpr,delta_recall_vs_uniform,delta_recall_excluding_hardest_vs_uniform,delta_macro_task_recall_vs_uniform,delta_recall_ci_low,delta_recall_ci_high,delta_fpr_vs_uniform,delta_fpr_ci_low,delta_fpr_ci_high,failure_uniform_only,failure_candidate_only,success_uniform_only,success_candidate_only
uniform,14800,487,14313,318,667,0.6529774127310062,0.0466009921050793,0.32284263959390863,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,138,60,0.7392550143266475,0.6516623565976094,0.05000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
empirical_sqrt,14800,487,14313,364,700,0.7474332648870636,0.0489065884161252,0.34210526315789475,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,138,102,0.7507163323782235,0.6278456945687938,0.05008983162424502,0.09445585215605745,0.01146131805157602,-0.023816662028815605,-0.01932445067788686,0.18783863745402204,0.0023055963110458974,-0.006331378911008404,0.01222916714597525,5,51,136,169
empirical_linear,14800,487,14313,371,689,0.7618069815195072,0.048138056312443236,0.35,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,138,102,0.7707736389684814,0.6133416477577618,0.05017420381643855,0.10882956878850103,0.03151862464183386,-0.03832070883984762,-0.014411310195046568,0.1940492603457456,0.0015370642073639362,-0.012920096421143218,0.018601451077459724,8,61,244,266
route_knn5_sqrt,14800,487,14313,317,686,0.6509240246406571,0.047928456647802695,0.3160518444666002,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,138,60,0.7363896848137536,0.634283294283954,0.05000672174324695,-0.002053388090349051,-0.002865329512893977,-0.01737906231365538,-0.021584291008751443,0.016234426142962718,0.0013274645427233944,-0.0033467438602986866,0.0061958627352124,5,4,61,80
