fold,variant,episodes,failures,successes,true_alarms,false_alarms,failure_recall,success_false_alarm_rate,delta_true_alarms_vs_uniform,delta_false_alarms_vs_uniform
1000_1003_to_1004_1007,uniform,7400,250,7150,153,340,0.612,0.04755244755244755,0,0
1000_1003_to_1004_1007,empirical_sqrt,7400,250,7150,181,350,0.724,0.04895104895104895,28,10
1000_1003_to_1004_1007,empirical_linear,7400,250,7150,184,333,0.736,0.04657342657342657,31,-7
1000_1003_to_1004_1007,route_knn5_sqrt,7400,250,7150,152,350,0.608,0.04895104895104895,-1,10
1004_1007_to_1000_1003,uniform,7400,237,7163,165,327,0.6962025316455697,0.045651263437107355,0,0
1004_1007_to_1000_1003,empirical_sqrt,7400,237,7163,183,350,0.7721518987341772,0.048862208571827444,18,23
1004_1007_to_1000_1003,empirical_linear,7400,237,7163,187,356,0.7890295358649789,0.049699846433058775,22,29
1004_1007_to_1000_1003,route_knn5_sqrt,7400,237,7163,165,336,0.6962025316455697,0.04690772022895435,0,9
