task,suite,episodes,failures,failure_rate,failure_rate_wilson_low,failure_rate_wilson_high,seed_1000_1003_failure_rate,seed_1004_1007_failure_rate,even_init_failure_rate,odd_init_failure_rate,mean_episode_queries
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_long,400,138,0.345,0.30008782799282613,0.3928609832508057,0.355,0.335,0.345,0.345,43.65
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,400,52,0.13,0.10053125228664084,0.1665078455207386,0.135,0.125,0.115,0.145,20.1025
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,libero_long,400,43,0.1075,0.08079372047159449,0.14167343058082826,0.1,0.115,0.07,0.145,26.65
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial,400,35,0.0875,0.06358691021150324,0.11926073261429136,0.065,0.11,0.09,0.085,13.29
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,libero_spatial,400,25,0.0625,0.04268914141220244,0.09063411613030699,0.065,0.06,0.085,0.04,10.515
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,libero_long,400,17,0.0425,0.026701694991131116,0.06700205432475019,0.065,0.02,0.075,0.01,24.2475
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,400,15,0.0375,0.022855029814710867,0.060943842444513396,0.04,0.035,0.015,0.06,9.75
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,libero_spatial,400,14,0.035,0.02096129419797776,0.057885139532918004,0.03,0.04,0.005,0.065,10.425
libero_goal/put_the_bowl_on_the_plate,libero_goal,400,12,0.03,0.017243020965143054,0.05169853570909567,0.025,0.035,0.045,0.015,8.69
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,libero_spatial,400,12,0.03,0.017243020965143054,0.05169853570909567,0.025,0.035,0.035,0.025,13.505
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,libero_object,400,11,0.0275,0.015423636260295411,0.048565481885614784,0.03,0.025,0.035,0.02,14.1025
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,libero_spatial,400,11,0.0275,0.015423636260295411,0.048565481885614784,0.01,0.045,0.035,0.02,12.4725
libero_goal/put_the_cream_cheese_in_the_bowl,libero_goal,400,10,0.025,0.013635091745936023,0.045401587871645666,0.025,0.025,0.05,0.0,9.9525
libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,libero_spatial,400,9,0.0225,0.011881583530495034,0.04220265755875813,0.025,0.02,0.025,0.02,9.25
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,libero_spatial,400,9,0.0225,0.011881583530495034,0.04220265755875813,0.03,0.015,0.025,0.02,11.62
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,libero_long,400,8,0.02,0.010168386791664645,0.03896341576926,0.015,0.025,0.03,0.01,19.2225
libero_object/pick_up_the_milk_and_place_it_in_the_basket,libero_object,400,8,0.02,0.010168386791664645,0.03896341576926,0.015,0.025,0.025,0.015,13.915
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,libero_spatial,400,8,0.02,0.010168386791664645,0.03896341576926,0.02,0.02,0.035,0.005,10.35
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,libero_long,400,6,0.015,0.006892291919440893,0.03233463358482672,0.015,0.015,0.01,0.02,26.18
libero_goal/put_the_bowl_on_the_stove,libero_goal,400,6,0.015,0.006892291919440893,0.03233463358482672,0.01,0.02,0.03,0.0,9.4125
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,libero_long,400,6,0.015,0.006892291919440893,0.03233463358482672,0.01,0.02,0.01,0.02,25.405
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object,400,5,0.0125,0.005350750779971611,0.028923736195967484,0.005,0.02,0.015,0.01,13.3625
libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,libero_object,400,4,0.01,0.003895483794990993,0.025426564652619582,0.02,0.0,0.015,0.005,14.0225
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,libero_long,400,4,0.01,0.003895483794990993,0.025426564652619582,0.01,0.01,0.02,0.0,22.7275
libero_goal/put_the_wine_bottle_on_the_rack,libero_goal,400,3,0.0075,0.0025538891952499396,0.021815720724032123,0.01,0.005,0.01,0.005,13.5775
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,libero_spatial,400,3,0.0075,0.0025538891952499396,0.021815720724032123,0.005,0.01,0.005,0.01,11.0025
