section,corpus,detector,pop,alpha_nominal,n_succ,fa,n_fa,n_pop,det,n_det,phase_mean,phase_p10,phase_p25,phase_p50,phase_p75,phase_p90,t_mean,t_p10,t_p25,t_p50,t_p75,t_p90,t_nmodes,t_dip,hist_8_12,hist_12_16,hist_16_20,hist_20_24,hist_24_28,hist_28_32,hist_32_35,n_delay,delay_mean,frac_early,frac_late,delay_p10,delay_p25,delay_p50,delay_p75,delay_p90,arl0,arl0_expo,arl1,arl1_expo,arl0_mean_alarm_t,arl1_mean_alarm_t,t,auc_step,n_pair,auc_W2,auc_W4,auc_W8,auc_W12,auc_prefix_mean
final,A,seq_cusum,all_fail,0.075,117.0,0.1282051282051282,15.0,235.0,0.4765957446808511,112.0,0.532580868198928,0.39215686274509803,0.43596813725490197,0.57569558101473,0.6165384615384616,0.66,26.616071428571427,20.0,22.0,28.0,31.0,33.0,3.0,0.038885972258009716,0.0,6.0,5.0,20.0,21.0,35.0,25.0,62.0,2.161290322580645,0.3064516129032258,0.6612903225806451,-8.899999999999999,-2.0,5.5,9.0,10.0,195.46666666666667,2932.0,49.267857142857146,5518.0,19.466666666666665,26.616071428571427,,,,,,,,
final,A,seq_cusum,cls_stagnation,0.075,117.0,0.1282051282051282,15.0,49.0,0.8979591836734694,44.0,0.5495958167525306,0.4096153846153846,0.4683257918552036,0.5857843137254902,0.6256127450980392,0.66,27.295454545454547,21.3,24.0,29.0,31.0,32.0,3.0,0.11323957112157812,0.0,1.0,0.0,9.0,9.0,15.0,10.0,14.0,1.0,0.35714285714285715,0.6428571428571429,-21.0,-2.5,8.0,9.0,9.700000000000001,195.46666666666667,2932.0,23.363636363636363,1028.0,19.466666666666665,27.295454545454547,,,,,,,,
final,A,seq_cusum,cls_loop,0.075,117.0,0.1282051282051282,15.0,150.0,0.31333333333333335,47.0,0.5278592124944138,0.39215686274509803,0.47115384615384615,0.56,0.6100440176070427,0.6395927601809954,26.72340425531915,20.0,24.5,28.0,31.0,33.0,4.0,0.044548580163609186,0.0,3.0,1.0,7.0,12.0,13.0,11.0,47.0,2.8085106382978724,0.2765957446808511,0.6808510638297872,-7.3999999999999995,-2.0,5.0,8.5,10.399999999999999,195.46666666666667,2932.0,78.8936170212766,3708.0,19.466666666666665,26.72340425531915,,,,,,,,
final,A,seq_cusum,cls_other,0.075,117.0,0.1282051282051282,15.0,36.0,0.5833333333333334,21.0,0.5074980149491017,0.3076923076923077,0.38,0.5833333333333334,0.62,0.68,24.952380952380953,16.0,19.0,28.0,31.0,34.0,2.0,0.8019545835338431,0.0,2.0,4.0,4.0,0.0,7.0,4.0,1.0,-12.0,1.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,195.46666666666667,2932.0,37.23809523809524,782.0,19.466666666666665,24.952380952380953,,,,,,,,
final,A,seq_sprt,all_fail,0.015,117.0,0.13675213675213677,16.0,235.0,0.2170212765957447,51.0,0.47377794877779095,0.28,0.31686274509803924,0.5,0.6288265306122449,0.6530612244897959,23.431372549019606,14.0,16.0,24.0,31.0,32.0,4.0,0.6735523488556014,1.0,11.0,7.0,6.0,6.0,13.0,7.0,33.0,1.2121212121212122,0.5757575757575758,0.42424242424242425,-8.0,-5.0,-2.0,9.0,11.8,179.8125,2877.0,113.84313725490196,5806.0,16.9375,23.431372549019606,,,,,,,,
final,A,seq_sprt,cls_stagnation,0.015,117.0,0.13675213675213677,16.0,49.0,0.40816326530612246,20.0,0.5314291361389072,0.37254901960784315,0.3910564225690276,0.5474290780141844,0.6476403061224489,0.6551020408163265,26.2,19.0,20.0,26.0,32.0,33.0,4.0,0.6300462535038822,0.0,1.0,3.0,3.0,4.0,3.0,6.0,12.0,2.5,0.5833333333333334,0.4166666666666667,-2.0,-2.0,-2.0,8.25,11.700000000000001,179.8125,2877.0,58.35,1167.0,16.9375,26.2,,,,,,,,
final,A,seq_sprt,cls_loop,0.015,117.0,0.13675213675213677,16.0,150.0,0.13333333333333333,20.0,0.4416837852980799,0.2794509803921569,0.30312124849939975,0.39215686274509803,0.5840384615384615,0.625765306122449,22.05,14.0,15.0,20.0,29.25,31.0,3.0,0.8424051296052437,1.0,5.0,2.0,3.0,2.0,7.0,0.0,20.0,1.1,0.55,0.45,-8.2,-6.5,-2.0,9.25,11.200000000000003,179.8125,2877.0,190.55,3811.0,16.9375,22.05,,,,,,,,
final,A,seq_sprt,cls_other,0.015,117.0,0.13675213675213677,16.0,36.0,0.3055555555555556,11.0,0.4273106326297816,0.28,0.28708791208791207,0.32,0.6120833333333333,0.6595744680851063,20.90909090909091,14.0,14.5,16.0,30.0,31.0,2.0,0.999301551025323,0.0,5.0,2.0,0.0,0.0,3.0,1.0,1.0,-12.0,1.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,179.8125,2877.0,75.27272727272727,828.0,16.9375,20.90909090909091,,,,,,,,
final,A,seq_xcorpus,all_fail,0.08,117.0,0.15384615384615385,18.0,235.0,0.574468085106383,135.0,0.5545743619263793,0.4117647058823529,0.5053191489361701,0.5769230769230769,0.62,0.64,27.62962962962963,21.0,24.0,29.0,31.0,32.0,2.0,0.28036688645904195,0.0,0.0,0.0,31.0,23.0,56.0,25.0,77.0,4.675324675324675,0.2987012987012987,0.7012987012987013,-3.3999999999999995,-2.0,7.0,8.0,10.0,165.22222222222223,2974.0,40.629629629629626,5485.0,24.22222222222222,27.62962962962963,,,,,,,,
final,A,seq_xcorpus,cls_stagnation,0.08,117.0,0.15384615384615385,18.0,49.0,0.9387755102040817,46.0,0.5407845038677251,0.41742081447963797,0.4606842737094838,0.5567602040816326,0.6,0.64,26.891304347826086,21.0,23.25,27.0,30.0,32.0,2.0,0.009991794535146203,0.0,0.0,0.0,12.0,14.0,13.0,7.0,14.0,2.2857142857142856,0.42857142857142855,0.5714285714285714,-10.399999999999999,-2.0,7.5,8.0,8.0,165.22222222222223,2974.0,21.652173913043477,996.0,24.22222222222222,26.891304347826086,,,,,,,,
