section,corpus,detector,variant,peak_auc,alpha_nominal,n_succ,fa,n_fa,n_pop,det,n_det,phase_mean,phase_p10,phase_p25,phase_p50,phase_p75,phase_p90,t_mean,t_p10,t_p25,t_p50,t_p75,t_p90,t_nmodes,t_dip,hist_8_12,hist_12_16,hist_16_20,hist_20_24,hist_24_28,hist_28_32,hist_32_35,n_delay,delay_mean,frac_early,frac_late,delay_p10,delay_p25,delay_p50,delay_p75,delay_p90,arl0,arl0_expo,arl1,arl1_expo,arl0_mean_alarm_t,arl1_mean_alarm_t,frac_fail_below_succ_median
sentinel2,A,seq_cusum,real,0.6215479031708149,0.075,117.0,0.1282051282051282,15.0,235,0.4765957446808511,112.0,0.532580868198928,0.39215686274509803,0.43596813725490197,0.57569558101473,0.6165384615384616,0.66,26.616071428571427,20.0,22.0,28.0,31.0,33.0,3.0,0.038885972258009716,0.0,6.0,5.0,20.0,21.0,35.0,25.0,62.0,2.161290322580645,0.3064516129032258,0.6612903225806451,-8.899999999999999,-2.0,5.5,9.0,10.0,195.46666666666667,2932.0,49.267857142857146,5518.0,19.466666666666665,26.616071428571427,
sentinel2,A,seq_sprt,real,0.5335833617456529,0.015,117.0,0.13675213675213677,16.0,235,0.2170212765957447,51.0,0.47377794877779095,0.28,0.31686274509803924,0.5,0.6288265306122449,0.6530612244897959,23.431372549019606,14.0,16.0,24.0,31.0,32.0,4.0,0.6735523488556014,1.0,11.0,7.0,6.0,6.0,13.0,7.0,33.0,1.2121212121212122,0.5757575757575758,0.42424242424242425,-8.0,-5.0,-2.0,9.0,11.8,179.8125,2877.0,113.84313725490196,5806.0,16.9375,23.431372549019606,
sentinel2,A,seq_xcorpus,real,0.715308557790658,0.08,117.0,0.15384615384615385,18.0,235,0.574468085106383,135.0,0.5545743619263793,0.4117647058823529,0.5053191489361701,0.5769230769230769,0.62,0.64,27.62962962962963,21.0,24.0,29.0,31.0,32.0,2.0,0.28036688645904195,0.0,0.0,0.0,31.0,23.0,56.0,25.0,77.0,4.675324675324675,0.2987012987012987,0.7012987012987013,-3.3999999999999995,-2.0,7.0,8.0,10.0,165.22222222222223,2974.0,40.629629629629626,5485.0,24.22222222222222,27.62962962962963,
sentinel2,A,seq_bestinsample,real,0.7531537674735765,0.285,117.0,0.1282051282051282,15.0,235,0.8723404255319149,205.0,0.47943924505253777,0.34615384615384615,0.38461538461538464,0.5,0.5686274509803921,0.5984615384615384,23.882926829268293,17.0,20.0,24.0,28.0,30.0,2.0,0.2976893685787815,0.0,0.0,49.0,41.0,55.0,53.0,7.0,145.0,0.4,0.4,0.6,-8.0,-5.0,4.0,6.0,7.0,199.0,2985.0,20.834146341463416,4271.0,23.0,23.882926829268293,
sentinel2,A,fixed_W8K3,real,0.7299693146948517,0.08,117.0,0.1623931623931624,19.0,235,0.548936170212766,129.0,0.5191913506289866,0.21568627450980393,0.45098039215686275,0.5882352941176471,0.6382978723404256,0.66,25.666666666666668,11.0,22.0,29.0,31.0,33.0,2.0,0.884645154131323,17.0,12.0,1.0,4.0,15.0,48.0,32.0,79.0,2.5949367088607596,0.35443037974683544,0.6455696202531646,-12.0,-10.0,8.0,10.0,10.0,150.78947368421052,2865.0,40.85271317829457,5270.0,19.0,25.666666666666668,
sentinel2,A,seq_cusum,shuffle11,0.6897374701670644,0.135,117.0,0.1452991452991453,17.0,235,0.451063829787234,106.0,0.33367501357767576,0.1568627450980392,0.16826923076923075,0.28708791208791207,0.453125,0.625,16.547169811320753,8.0,8.25,14.0,22.0,30.0,5.0,0.01582805063092496,41.0,19.0,12.0,9.0,8.0,7.0,10.0,53.0,-5.132075471698113,0.7169811320754716,0.24528301886792453,-14.8,-11.0,-7.0,0.0,9.800000000000004,171.64705882352942,2918.0,42.405660377358494,4495.0,20.352941176470587,16.547169811320753,
sentinel2,A,seq_sprt,shuffle11,0.6866689396522332,0.135,117.0,0.1452991452991453,17.0,235,0.44680851063829785,105.0,0.3039972073156283,0.1568627450980392,0.16326530612244897,0.25,0.4117647058823529,0.6307692307692309,15.076190476190476,8.0,8.0,12.0,20.0,31.60000000000001,4.0,0.0017233214944268882,51.0,18.0,8.0,11.0,3.0,3.0,11.0,51.0,-6.450980392156863,0.7254901960784313,0.2549019607843137,-17.0,-13.0,-9.0,0.5,9.0,167.23529411764707,2843.0,41.50476190476191,4358.0,15.941176470588236,15.076190476190476,
sentinel2,A,seq_xcorpus,shuffle11,0.7245141493351517,0.1,117.0,0.18803418803418803,22.0,235,0.3404255319148936,80.0,0.5546427238857901,0.42857142857142855,0.4690620929222753,0.5500200080032013,0.6359615384615385,0.673469387755102,27.575,21.9,23.0,28.0,32.0,33.10000000000001,2.0,0.20854297841187297,0.0,0.0,0.0,22.0,17.0,18.0,23.0,38.0,6.2105263157894735,0.13157894736842105,0.8421052631578947,-3.0,2.5,9.0,12.75,15.0,134.95454545454547,2969.0,72.8875,5831.0,25.772727272727273,27.575,
sentinel2,A,seq_bestinsample,shuffle11,0.7149676099556768,0.07,117.0,0.10256410256410256,12.0,235,0.32340425531914896,76.0,0.48294399256817033,0.3561616954474097,0.4041530278232406,0.47958333333333336,0.5422549019607843,0.6458333333333334,24.13157894736842,17.5,20.0,23.5,27.25,32.0,3.0,0.07048549723697872,0.0,0.0,16.0,22.0,19.0,10.0,9.0,36.0,1.5555555555555556,0.3333333333333333,0.6388888888888888,-6.5,-1.25,1.5,9.0,12.0,253.91666666666666,3047.0,73.61842105263158,5595.0,25.416666666666668,24.13157894736842,
sentinel2,A,fixed_W8K3,shuffle11,0.5884759631776338,0.07,117.0,0.15384615384615385,18.0,235,0.25957446808510637,61.0,0.32614400540071686,0.19607843137254902,0.20408163265306123,0.2653061224489796,0.4117647058823529,0.5833333333333334,16.21311475409836,10.0,10.0,13.0,21.0,29.0,4.0,0.033077869261908144,27.0,11.0,7.0,6.0,2.0,3.0,5.0,22.0,-6.7272727272727275,0.7272727272727273,0.22727272727272727,-12.0,-11.0,-6.5,-0.25,1.0,159.44444444444446,2870.0,86.22950819672131,5260.0,18.38888888888889,16.21311475409836,
sentinel2,A,seq_cusum,shuffle12,0.7275826798499829,0.1,117.0,0.11965811965811966,14.0,235,0.44680851063829785,105.0,0.3301074544695908,0.1613061224489796,0.1875,0.2765957446808511,0.47058823529411764,0.6,16.419047619047618,8.0,9.0,14.0,24.0,30.0,3.0,0.5931363802512282,42.0,21.0,10.0,5.0,10.0,12.0,5.0,58.0,-7.0344827586206895,0.6724137931034483,0.27586206896551724,-21.6,-13.0,-8.5,1.0,9.0,208.14285714285714,2914.0,42.84761904761905,4499.0,17.071428571428573,16.419047619047618,
sentinel2,A,seq_sprt,shuffle12,0.7749744289123764,0.1,117.0,0.1623931623931624,19.0,235,0.39574468085106385,93.0,0.30231564769229935,0.16,0.17307692307692307,0.25,0.3958333333333333,0.5559999999999999,15.053763440860216,8.0,9.0,12.0,20.0,27.0,2.0,0.3303210154550499,41.0,19.0,9.0,7.0,9.0,6.0,2.0,46.0,-8.673913043478262,0.7391304347826086,0.21739130434782608,-23.0,-13.75,-10.0,-0.25,8.0,147.89473684210526,2810.0,49.27956989247312,4583.0,16.0,15.053763440860216,
sentinel2,A,seq_xcorpus,shuffle12,0.6384248210023866,0.07,117.0,0.1794871794871795,21.0,235,0.3148936170212766,74.0,0.5663491018781113,0.44430926216640504,0.5098039215686274,0.5625,0.6326530612244898,0.680595744680851,28.2027027027027,22.3,25.0,28.0,31.0,34.0,1.0,,0.0,0.0,0.0,13.0,16.0,27.0,18.0,37.0,6.1891891891891895,0.08108108108108109,0.8918918918918919,1.2000000000000002,5.0,8.0,10.0,12.0,143.0952380952381,3005.0,79.94594594594595,5916.0,27.047619047619047,28.2027027027027,
sentinel2,A,seq_bestinsample,shuffle12,0.6839413569723832,0.035,117.0,0.1452991452991453,17.0,235,0.24680851063829787,58.0,0.5098965013794896,0.37776470588235295,0.41299019607843135,0.5196153846153846,0.5942307692307692,0.6405585106382979,25.413793103448278,19.0,21.0,26.0,30.0,32.0,2.0,0.30589066282685196,0.0,0.0,10.0,10.0,15.0,16.0,7.0,24.0,0.2916666666666667,0.2916666666666667,0.6666666666666666,-17.599999999999998,-4.25,2.5,9.25,11.7,175.1764705882353,2978.0,100.8103448275862,5847.0,23.823529411764707,25.413793103448278,
sentinel2,A,fixed_W8K3,shuffle12,0.6590521650187521,0.12,117.0,0.13675213675213677,16.0,235,0.3191489361702128,75.0,0.34068492341835804,0.2,0.21215220949263502,0.2857142857142857,0.4083333333333333,0.5849411764705883,17.0,10.0,10.5,14.0,20.0,30.0,2.0,0.504668761552477,21.0,22.0,9.0,7.0,4.0,8.0,4.0,39.0,-4.615384615384615,0.717948717948718,0.28205128205128205,-14.0,-11.0,-4.0,2.5,9.200000000000003,182.625,2922.0,67.6,5070.0,19.75,17.0,
sentinel2,A,seq_cusum,shuffle13,0.7306512103648142,0.145,117.0,0.1452991452991453,17.0,235,0.48936170212765956,115.0,0.280255439256753,0.1568627450980392,0.16326530612244897,0.21153846153846154,0.36269230769230765,0.4856170212765958,13.939130434782609,8.0,8.0,11.0,18.0,24.0,3.0,0.282981332437113,59.0,17.0,12.0,14.0,6.0,2.0,5.0,65.0,-8.707692307692307,0.8153846153846154,0.16923076923076924,-20.4,-13.0,-9.0,-4.0,4.0,165.88235294117646,2820.0,35.11304347826087,4038.0,14.470588235294118,13.939130434782609,
