section,corpus,detector,method,W,rule,dens,whiten,tstart,fa_target,det,phase_p50,phase_p25,phase_p75,t_p50,arl0,arl1,arl1_mean_alarm_t,t_dip,frac_early,delay_p50,fa_lo,fa_hi
headline,A,seq_cusum_primary,sequential,1,cusum,tvd,ar1,1,0.137,0.4997021276595745,0.5550204395604396,0.4269145220588235,0.6110211603872318,27.4855,183.43498888888885,46.2412084040747,26.122882852292022,0.057243500926634876,0.3482291666666668,4.656999999999998,0.1282051282051282,0.1538461538461538
headline,A,seq_sprt_primary,sequential,1,sprt,tvd,ar1,1,0.137,0.269136170212767,0.5195286649659863,0.3301203413120571,0.631594583987441,25.45649999999999,178.4358198529411,91.15372811059885,24.030412442396308,0.4561098343468549,0.5912386752950126,-1.9419999999999882,0.1367521367521367,0.1452991452991453
headline,A,seq_cusum_W8,sequential,8,cusum,tvd,ar1,1,0.137,0.24784510638297888,0.5471704833856618,0.30130917797888374,0.653606362256441,27.94779999999999,178.26564702380946,98.56906758620681,23.439005862068964,0.965838684414848,0.6127854241338112,-3.04640000000001,0.1367521367521367,0.1794871794871795
headline,A,seq_xcorpus,sequential,1,cusum,tvd,none,20,0.137,0.5470987234042555,0.5809945098039215,0.5160965,0.6236344537559705,29.394199999999998,192.62765555555546,43.79990957528956,27.810863822393824,0.26328583535882244,0.2879599486521181,7.394199999999999,0.1111111111111111,0.1538461538461538
headline,A,fixed_W8K3,fixed,8,K3,-,-,1,0.137,0.5719706382978724,0.5873446428571428,0.39063266446578626,0.6365689200680272,28.8913,207.34940935672512,40.24044532070157,26.07542928562284,0.8250976114997897,0.3422028640441684,8.594199999999999,0.0769230769230769,0.1623931623931624
headline,A,fixed_W12K3,fixed,12,K3,-,-,1,0.137,0.4756297872340426,0.62,0.5194176348039214,0.653576923076923,30.3285,185.04448888888885,50.231813725490184,27.34453431372549,0.9018119922751544,0.32461684782608696,11.0,0.1282051282051282,0.1538461538461538
headline,B,seq_cusum_primary,sequential,1,cusum,tvd,ar1,1,0.051,0.49344444444444596,0.6153846153846154,0.6144615384615383,0.6346153846153846,32.0,525.4950274509797,53.0092753623187,32.1039536231884,0.3577728572169079,,,0.0506756756756756,0.0574324324324324
headline,B,seq_sprt_primary,sequential,1,sprt,tvd,ar1,1,0.051,0.5044444444444446,0.6083589743589743,0.5891282051282051,0.6315641025641026,31.634666666666668,529.4999215686274,52.04306547619047,31.62842261904762,0.3544822811098426,,,0.0472972972972973,0.0574324324324324
headline,B,seq_cusum_W8,sequential,8,cusum,tvd,ar1,1,0.051,0.4481296296296301,0.624076923076923,0.5943076923076922,0.6433076923076922,32.452,524.8062142857141,59.40609756097554,31.938461848288203,0.31065132198038814,,,0.0472972972972973,0.054054054054054
headline,B,seq_xcorpus,sequential,1,cusum,gauss,none,16,0.051,0.3525185185185185,0.5677692307692308,0.5283846153846153,0.620423076923077,29.524,531.2125972850677,72.34256563204438,29.631590775099706,0.0639737641610105,,,0.0439189189189189,0.0574324324324324
headline,B,fixed_W8K3,fixed,8,K3,-,-,1,0.051,0.6981666666666667,0.6153846153846154,0.5862307692307692,0.6346153846153846,32.0,545.3339999999997,35.27018297872339,30.44291914893617,0.9995566030546982,,,0.0405405405405405,0.0608108108108108
headline,B,fixed_W12K3,fixed,12,K3,-,-,1,0.051,0.6714259259259262,0.6346153846153846,0.6153846153846154,0.6538461538461539,33.0,533.659291666666,38.870166249999976,32.47992125,0.9996866856014668,,,0.0405405405405405,0.054054054054054
