section,corpus,stat,t,auc,n_pair,mean_total_llr,med_total_llr,frac_positive,p90_share
accum,A,fixed_W8,8,0.38868053187862256,2933,,,,
accum,A,cusum,8,0.45329014660756906,2933,,,,
accum,A,sprt,8,0.4701670644391408,2933,,,,
accum,A,cummean,8,0.4258438458915786,2933,,,,
accum,A,fixed_W8,9,0.3992499147630413,2933,,,,
accum,A,cusum,9,0.4851687691783157,2933,,,,
accum,A,sprt,9,0.4626662120695534,2933,,,,
accum,A,cummean,9,0.39277190589839756,2933,,,,
accum,A,fixed_W8,10,0.43641322877599725,2933,,,,
accum,A,cusum,10,0.528128196385953,2933,,,,
accum,A,sprt,10,0.49403341288782815,2933,,,,
accum,A,cummean,10,0.4224343675417661,2933,,,,
accum,A,fixed_W8,11,0.44459597681554724,2933,,,,
accum,A,cusum,11,0.5184111830889874,2933,,,,
accum,A,sprt,11,0.48244118649846573,2933,,,,
accum,A,cummean,11,0.42925332424139107,2933,,,,
accum,A,fixed_W8,12,0.40436413228775997,2933,,,,
accum,A,cusum,12,0.5032390044323218,2933,,,,
accum,A,sprt,12,0.4626662120695534,2933,,,,
accum,A,cummean,12,0.4217524718718036,2933,,,,
accum,A,fixed_W8,13,0.397545175588135,2933,,,,
accum,A,cusum,13,0.4548244118649847,2933,,,,
accum,A,sprt,13,0.4408455506307535,2933,,,,
accum,A,cummean,13,0.4152744630071599,2933,,,,
accum,A,fixed_W8,14,0.40061370610296626,2933,,,,
accum,A,cusum,14,0.47954312990112513,2933,,,,
accum,A,sprt,14,0.4592567337197409,2933,,,,
accum,A,cummean,14,0.3995908625980225,2933,,,,
accum,A,fixed_W8,15,0.41493351517217864,2933,,,,
accum,A,cusum,15,0.5046027957722469,2933,,,,
accum,A,sprt,15,0.4688032730992158,2933,,,,
accum,A,cummean,15,0.38629389703375383,2933,,,,
accum,A,fixed_W8,16,0.4459597681554722,2933,,,,
accum,A,cusum,16,0.5093760654619843,2933,,,,
accum,A,sprt,16,0.4735765427889533,2933,,,,
accum,A,cummean,16,0.3917490623934538,2933,,,,
accum,A,fixed_W8,17,0.4493692465052847,2933,,,,
accum,A,cusum,17,0.5165359699965906,2933,,,,
accum,A,sprt,17,0.4688032730992158,2933,,,,
accum,A,cummean,17,0.39413569723832254,2933,,,,
accum,A,fixed_W8,18,0.4132287759972724,2933,,,,
accum,A,cusum,18,0.5127855438117968,2933,,,,
accum,A,sprt,18,0.46914422093419705,2933,,,,
accum,A,cummean,18,0.3931128537333788,2933,,,,
accum,A,fixed_W8,19,0.3726559836345039,2933,,,,
accum,A,cusum,19,0.48772587794067507,2933,,,,
accum,A,sprt,19,0.475963177633822,2933,,,,
accum,A,cummean,19,0.3937947494033413,2933,,,,
accum,A,fixed_W8,20,0.40572792362768495,2933,,,,
accum,A,cusum,20,0.48158881691101263,2933,,,,
