corpus,method,W,rule,dens,whiten,tstart,det,phase_p50,phase_p25,phase_p75,t_p50,arl0,arl1,arl1_mean_alarm_t,t_dip,frac_early,delay_p50,fa_lo,fa_hi,peak_auc
A,fixed,1,K3,-,-,1,0.449368085106383,0.5828082843137254,0.5350604081632653,0.6137692307692308,29.0,184.3796176470588,52.70107254002519,26.550552437488758,0.8835024508061442,0.3272264150943396,7.970999999999998,0.1282051282051282,0.1452991452991453,0.6972383225366519
A,fixed,4,K3,-,-,1,0.4088808510638298,0.5934102359693878,0.4992611029411764,0.6372182653061225,29.864124999999998,197.26623992673993,59.81263921248835,26.85209401211556,0.6929377867852332,0.3057068452380952,7.864125,0.1111111111111111,0.1794871794871795,0.709853392430958
A,fixed,8,K1,-,-,1,0.5193957446808511,0.5736872874149659,0.4163501373626372,0.6253965306122449,28.2795,236.45036931818166,44.54265784286116,25.85735863137144,0.8357114907446701,0.2955594384707289,7.852999999999999,0.0683760683760683,0.188034188034188,0.7173542448005455
A,fixed,8,K2,-,-,1,0.5135593810444875,0.5842541743970315,0.4351761363636363,0.6366411131725418,28.628454545454545,209.2382107438016,45.188467557251904,26.293194526370574,0.7563101489899384,0.2909300247815313,8.085636363636363,0.094017094017094,0.188034188034188,0.7316740538697579
A,fixed,8,K3,-,-,1,0.5719706382978724,0.5873446428571428,0.39063266446578626,0.6365689200680272,28.8913,207.34940935672512,40.24044532070157,26.07542928562284,0.8250976114997897,0.3422028640441684,8.594199999999999,0.0769230769230769,0.1623931623931624,0.7299693146948517
A,fixed,8,K4,-,-,1,0.5550663829787235,0.5946853846153846,0.4675109351432879,0.638488,28.7942,184.85293666666664,40.8039014249886,26.138865344277246,0.8582071518269291,0.3372483950617284,9.0,0.1282051282051282,0.1709401709401709,0.7569041936583703
A,fixed,12,K3,-,-,1,0.4756297872340426,0.62,0.5194176348039214,0.653576923076923,30.3285,185.04448888888885,50.231813725490184,27.34453431372549,0.9018119922751544,0.32461684782608696,11.0,0.1282051282051282,0.1538461538461538,0.7569041936583703
A,sequential,1,cusum,gauss,ar1,1,0.39856936170212764,0.4696978791516606,0.2916655462184874,0.5710353222139919,23.091299999999997,180.25044871794864,56.035889444053474,22.064016467276563,0.37132572847832457,0.5033343479764788,-0.817400000000003,0.1111111111111111,0.1538461538461538,0.59563586771224
A,sequential,1,cusum,gauss,ar1,8,0.315181560283688,0.4472478651034882,0.28976935646053287,0.5622379225023343,21.990333333333332,184.3608292847503,74.04398716295069,21.6056869971132,0.49298930081409464,0.43669495257452573,2.2330833333333326,0.1111111111111111,0.1623931623931624,0.6017729287419025
A,sequential,1,cusum,gauss,ar1,16,0.6978723404255319,0.5,0.4230769230769231,0.5625,25.0,186.0747291666666,29.334923780487806,24.6458993902439,0.0120782822483637,0.3142857142857143,1.0,0.1367521367521367,0.1538461538461538,0.6181384248210023
A,sequential,1,cusum,gauss,ar1,20,0.7063829787234043,0.5300120048019208,0.4831259426847662,0.5714285714285714,26.0,218.42857142857144,30.44578313253012,26.22289156626506,0.0002243582263101,0.1711711711711711,1.0,0.1196581196581196,,0.5871121718377088
A,sequential,1,cusum,gauss,none,1,0.45093191489361706,0.4622055197078831,0.3130185606566685,0.5623697478991596,22.412,179.48239090909087,48.57053009575924,22.27856361149111,0.09359728457327084,0.5259972138379384,2.6479999999999935,0.1282051282051282,0.188034188034188,0.6604159563586771
A,sequential,1,cusum,gauss,none,8,0.5236510638297872,0.4308039215686273,0.2935522435897434,0.5312446808510639,21.0,175.81943382352935,38.783869203252024,21.22243895934959,0.421293936231614,0.6061954225352113,-4.029000000000006,0.1367521367521367,0.1452991452991453,0.6917831571769519
A,sequential,1,cusum,gauss,none,16,0.8765957446808511,0.5,0.3846153846153846,0.5686274509803921,24.0,199.0,20.6504854368932,23.8495145631068,0.3018764821366152,0.4041095890410959,4.0,0.1282051282051282,,0.7531537674735765
A,sequential,1,cusum,gauss,none,20,0.7003415711947627,0.5621466309171598,0.5198158604788069,0.5961538461538461,28.0,257.63956906981906,31.87450749503366,27.317542224919986,0.0399684125195534,0.17324571925918905,6.0,0.094017094017094,0.5384615384615384,0.7678145243777702
