detector,gate,group,threshold,tp,fp,risk_n,timely_n,recall,precision,timely_fpr,median_lead_chunks
published,budget,libero_long,21.0,75,51,274,3726,0.2737226277372263,0.5952380952380952,0.013687600644122383,25.0
published,budget,libero_long,22.0,55,48,274,3726,0.20072992700729927,0.5339805825242718,0.01288244766505636,28.0
published,budget,libero_long,23.0,49,48,274,3726,0.17883211678832117,0.5051546391752577,0.01288244766505636,36.0
published,budget,libero_long,24.0,45,46,274,3726,0.16423357664233576,0.4945054945054945,0.012345679012345678,36.0
published,phase,libero_long,0.0,236,69,274,3726,0.8613138686131386,0.7737704918032787,0.018518518518518517,19.0
published,phase,libero_long,0.05,234,56,274,3726,0.8540145985401459,0.8068965517241379,0.015029522275899088,19.0
published,phase,libero_long,0.1,226,49,274,3726,0.8248175182481752,0.8218181818181818,0.013150831991411701,19.0
published,phase,libero_long,0.15,221,47,274,3726,0.8065693430656934,0.8246268656716418,0.01261406333870102,19.0
published,phase,libero_long,0.2,207,44,274,3726,0.7554744525547445,0.8247011952191236,0.011808910359634998,19.0
published,phase,libero_long,0.25,193,36,274,3726,0.7043795620437956,0.8427947598253275,0.00966183574879227,20.0
published,phase,libero_long,0.3,181,27,274,3726,0.6605839416058394,0.8701923076923077,0.007246376811594203,20.0
published,phase,libero_long,0.4,75,13,274,3726,0.2737226277372263,0.8522727272727273,0.003488996242619431,25.0
published,phase,libero_long,0.5,36,8,274,3726,0.13138686131386862,0.8181818181818182,0.0021470746108427268,38.0
published,phase,libero_long,0.6,27,2,274,3726,0.09854014598540146,0.9310344827586207,0.0005367686527106817,41.0
published,budget,libero_object,0.0,22,7,44,3556,0.5,0.7586206896551724,0.001968503937007874,6.0
published,budget,libero_object,1.0,22,7,44,3556,0.5,0.7586206896551724,0.001968503937007874,6.0
published,budget,libero_object,2.0,19,7,44,3556,0.4318181818181818,0.7307692307692307,0.001968503937007874,6.0
published,budget,libero_object,3.0,18,7,44,3556,0.4090909090909091,0.72,0.001968503937007874,6.5
published,budget,libero_object,4.0,17,7,44,3556,0.38636363636363635,0.7083333333333334,0.001968503937007874,7.0
