metric,feasible,representation,direction,quantile,dev_low_prior_tp,dev_low_prior_fp,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
flow_path,True,L3,high,0.96,38,20,153,37,0.2712765957446808,0.0024607608406491087,0.8052631578947368,43,21,0.671875,0.28104575163398693,0.58461568341509,1.37742311870717
flow_endpoint,True,L12,high,0.96,36,18,162,39,0.2872340425531915,0.0025937749401436553,0.8059701492537313,42,23,0.6461538461538462,0.25925925925925924,0.5578528296792264,1.4447720014563268
flow_settling_log_ratio,True,front_median,high,0.85,70,46,304,87,0.5390070921985816,0.00578611332801277,0.7774936061381074,83,62,0.5724137931034483,0.2730263157894737,0.5501162247905625,1.4133260774741025
