corpus,control_variant,model,n_features,cv_auc,ci95_lo,ci95_hi,n_groups,n_events,n_pairs,min_train_rows,degenerate_folds,features
A,matched,route4,4,0.9046242774566474,0.8380383713873135,0.952686338020944,16,121,692,482,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4
A,matched,phys16,16,0.8872832369942196,0.798359914726738,0.9620755458366077,16,121,692,482,0,phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_eef_tortuosity_w2;phys_eef_tortuosity_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist;phys_eef_return_dist
A,matched,phys13_clean,13,0.888728323699422,0.7970459252433831,0.9671719609219609,16,121,692,482,0,phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist
A,matched,route4+phys16,20,0.9739884393063584,0.9446489821441838,0.9954407294832827,16,121,692,482,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4;phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_eef_tortuosity_w2;phys_eef_tortuosity_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist;phys_eef_return_dist
A,matched,route4+phys13_clean,17,0.9739884393063584,0.9455510641808283,0.9945848986092046,16,121,692,482,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4;phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist
A,matched,route2_canon,2,0.9248554913294798,0.8672982125095079,0.9643707813410713,16,121,692,482,0,route_lfv_w4;route_acc_w4
A,matched,phys3_canon,3,0.6950867052023122,0.6283987915407855,0.7599452582765187,16,121,692,482,0,phys_eef_speed_mean_w4;phys_goal_rate_w4;phys_eef_tortuosity_w4
A,matched,phys2_canon_clean,2,0.5375722543352601,0.4930643127364439,0.5964912280701754,16,121,692,482,0,phys_eef_speed_mean_w4;phys_goal_rate_w4
A,matched,route2+phys3_canon,5,0.9436416184971098,0.8945200899672292,0.9802516417839932,16,121,692,482,0,route_lfv_w4;route_acc_w4;phys_eef_speed_mean_w4;phys_goal_rate_w4;phys_eef_tortuosity_w4
A,matched,route2+phys2_canon_clean,4,0.9436416184971098,0.8910017992016541,0.9805512504160177,16,121,692,482,0,route_lfv_w4;route_acc_w4;phys_eef_speed_mean_w4;phys_goal_rate_w4
A,pooled,route4,4,0.9550508474576271,0.9443808360123562,0.9640198784913339,21,172,29500,4116,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4
A,pooled,phys16,16,0.9407457627118644,0.9077699915136098,0.9636385346307704,21,172,29500,4116,0,phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_eef_tortuosity_w2;phys_eef_tortuosity_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist;phys_eef_return_dist
A,pooled,phys13_clean,13,0.9399661016949152,0.9094258639434032,0.9634178423747582,21,172,29500,4116,0,phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist
A,pooled,route4+phys16,20,0.987457627118644,0.9765450024064926,0.9939911790197128,21,172,29500,4116,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4;phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_eef_tortuosity_w2;phys_eef_tortuosity_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist;phys_eef_return_dist
A,pooled,route4+phys13_clean,17,0.986271186440678,0.9756657555317467,0.9924433763653812,21,172,29500,4116,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4;phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist
A,pooled,route2_canon,2,0.9440338983050848,0.9248383051946243,0.9579977411452417,21,172,29500,4116,0,route_lfv_w4;route_acc_w4
A,pooled,phys3_canon,3,0.868,0.844540558129389,0.8833329107995248,21,172,29500,4116,0,phys_eef_speed_mean_w4;phys_goal_rate_w4;phys_eef_tortuosity_w4
