corpus,control_variant,tier,n_groups,n_events,n_pairs,auc_route_only,ci_lo_route_only,ci_hi_route_only,auc_phys_only,ci_lo_phys_only,ci_hi_phys_only,auc_both,ci_lo_both,ci_hi_both,delta_route_increment,delta_route_increment_ci_lo,delta_route_increment_ci_hi,p_route_increment_point,p_route_increment_maxT_family,p_route_increment_maxT_all12,delta_phys_increment,delta_phys_increment_ci_lo,delta_phys_increment_ci_hi,p_phys_increment_point,p_phys_increment_maxT_family,p_phys_increment_maxT_all12,delta_duel,delta_duel_ci_lo,delta_duel_ci_hi,p_duel_point,p_duel_maxT_family,p_duel_maxT_all12
A,matched,full,16,121,692,0.9046242774566474,0.8380383713873135,0.952686338020944,0.8872832369942196,0.798359914726738,0.9620755458366077,0.9739884393063584,0.9446489821441838,0.9954407294832827,0.08670520231213874,0.025294310819206533,0.15824468085106383,0.009999000099990002,0.07079292070792921,0.1837816218378162,0.06936416184971095,0.034652513328255904,0.12213863184507005,0.0006999300069993001,0.0013998600139986002,0.009599040095990401,0.017341040462427793,-0.06365265819543578,0.09722357328145265,0.7391260873912608,0.9511048895110489,0.996000399960004
A,matched,full_clean,16,121,692,0.9046242774566474,0.8380383713873135,0.952686338020944,0.888728323699422,0.7970459252433831,0.9671719609219609,0.9739884393063584,0.9455510641808283,0.9945848986092046,0.08526011560693636,0.018817107044489054,0.1559227568158465,0.015998400159984,0.0827917208279172,0.22137786221377861,0.06936416184971095,0.034916201117318434,0.1220562307071943,0.000999900009999,0.0013998600139986002,0.0091990800919908,0.01589595375722541,-0.06947188401538248,0.09728165969316595,0.7526247375262474,0.9622037796220378,0.9976002399760024
A,matched,canon,16,121,692,0.9248554913294798,0.8672982125095079,0.9643707813410713,0.6950867052023122,0.6283987915407855,0.7599452582765187,0.9436416184971098,0.8945200899672292,0.9802516417839932,0.24855491329479762,0.1535681216931217,0.3337347506570196,0.0014998500149985001,0.0045995400459954,0.0052994700529947,0.018786127167630062,-0.0038761571460826367,0.04153378333538741,0.1690830916908309,0.26347365263473654,0.5633436656334366,0.22976878612716756,0.13050663227708179,0.31735210666015806,0.0046995300469953,0.006899310068993101,0.009599040095990401
A,matched,canon_clean,16,121,692,0.9248554913294798,0.8672982125095079,0.9643707813410713,0.5375722543352601,0.4930643127364439,0.5964912280701754,0.9436416184971098,0.8910017992016541,0.9805512504160177,0.4060693641618497,0.3212841001310943,0.4597159334496144,0.0007999200079992001,0.0006999300069993001,0.0007999200079992001,0.018786127167630062,-0.005666124774658769,0.04505856417672865,0.2116788321167883,0.3330666933306669,0.6484351564843516,0.3872832369942196,0.2906190887014315,0.4477419737951115,0.0008999100089991,0.0008999100089991,0.000999900009999
A,pooled,full,21,172,29500,0.9550508474576271,0.9443808360123562,0.9640198784913339,0.9407457627118644,0.9077699915136098,0.9636385346307704,0.987457627118644,0.9765450024064926,0.9939911790197128,0.04671186440677966,0.02558092311110121,0.07627391850560743,0.00029997000299970003,0.0021997800219978004,0.004399560043995601,0.032406779661016905,0.023343281110537736,0.040050181804088834,0.00019998000199980003,0.0006999300069993001,0.001999800019998,0.014305084745762753,-0.01013487182942808,0.04850754517840766,0.3370662933706629,0.6702329767023297,0.7644235576442355
A,pooled,full_clean,21,172,29500,0.9550508474576271,0.9443808360123562,0.9640198784913339,0.9399661016949152,0.9094258639434032,0.9634178423747582,0.986271186440678,0.9756657555317467,0.9924433763653812,0.04630508474576278,0.024254787552888308,0.07303325210173632,0.00019998000199980003,0.0023997600239976003,0.0045995400459954,0.031220338983050877,0.022421997191031492,0.03872354491813054,0.00019998000199980003,0.0006999300069993001,0.001999800019998,0.015084745762711904,-0.010235697004635435,0.045981771646149236,0.28477152284771523,0.6211378862113789,0.7158284171582842
A,pooled,canon,21,172,29500,0.9440338983050848,0.9248383051946243,0.9579977411452417,0.868,0.844540558129389,0.8833329107995248,0.9731864406779661,0.9573907469903808,0.9829541339772404,0.10518644067796612,0.08786794145014498,0.1265279768423902,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.02915254237288134,0.02240965373116198,0.035503554522028115,9.999000099990002e-05,9.999000099990002e-05,0.00029997000299970003,0.07603389830508478,0.055701967114584874,0.10040263270554849,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
A,pooled,canon_clean,21,172,29500,0.9440338983050848,0.9248383051946243,0.9579977411452417,0.7667118644067796,0.7169836986800896,0.8027175555974422,0.9729491525423729,0.9553814466901295,0.9834386345786227,0.20623728813559328,0.1731033313353185,0.25160497102350793,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.028915254237288135,0.022118288722899275,0.03493998853767363,9.999000099990002e-05,0.00029997000299970003,0.0004999500049995,0.17732203389830514,0.14263648353679204,0.2274787444115318,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
H,matched,full,4,4,4,0.25,0.0,0.75,0.5,0.0,1.0,0.25,0.0,0.75,-0.25,-0.75,0.0,1.0,1.0,1.0,0.0,-0.75,0.75,1.0,1.0,1.0,-0.25,-1.0,0.5,1.0,1.0,1.0
H,matched,full_clean,4,4,4,0.25,0.0,0.75,0.25,0.0,0.75,0.0,0.0,0.0,-0.25,-0.75,0.0,1.0,1.0,1.0,-0.25,-0.75,0.0,1.0,1.0,1.0,0.0,-0.75,0.75,1.0,1.0,1.0
