main_id,benchmark,category,task_name,analysis_role,length,failure,online_v7_first,v7_frozen,v8_frozen,v82_frozen,knn20,c4_assigned_radius,c32_assigned_radius,c32_union_radius,norm_only,cosine_knn20,knn_euclidean_OR_cosine,knn_euclidean_AND_cosine_latched
213010a7bc88104cf26ad2fb,plus,Robot Initial States,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_view_0_0_100_0_0_initstate_479,perturbation,52,True,-1,-1,-1,-1,23,33,30,31,34,-1,23,-1
53aa333d7f7d1afdb772c3ae,plus,Sensor Noise,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_view_0_0_100_0_0_initstate_0_noise_27,perturbation,16,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
e65fade630b91942194fcda6,plus,Light Conditions,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_light_18,perturbation,23,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a78bd53f49001cf2750c910b,plus,Camera Viewpoints,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_view_0_0_100_2_10_initstate_0,perturbation,25,False,-1,-1,-1,-1,23,23,-1,-1,-1,-1,23,-1
a72933c879bdc50dacb397aa,plus,Language Instructions,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_language_23_view_0_0_100_0_0_initstate_0,perturbation,25,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7244c0da73634b6d669e4315,pro,Environment,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,unchanged_scene_control,23,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a6669e27e29b9b47fdb0e0e7,plus,Background Textures,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_table_6,perturbation,26,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
d44e9d953f640374e1128294,plus,Camera Viewpoints,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_view_351_0_100_0_0_initstate_0,perturbation,25,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
d2994f8892a45bf09c356a77,plus,Sensor Noise,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_view_0_0_100_0_0_initstate_0_noise_50,perturbation,52,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92fda3b48a29253180c0d6ea,plus,Language Instructions,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_language_46_view_0_0_100_0_0_initstate_0,perturbation,27,False,-1,-1,-1,-1,24,-1,25,25,-1,-1,24,-1
5f66d835707e1acae94a386d,plus,Sensor Noise,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_view_0_0_100_0_0_initstate_0_noise_29,perturbation,25,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5162309df5fa803c415c327a,plus,Sensor Noise,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_view_0_0_100_0_0_initstate_0_noise_8,perturbation,52,True,-1,-1,-1,-1,34,-1,-1,-1,33,-1,34,-1
085a62c11eab623b0e2cd2ae,plus,Light Conditions,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_light_18,perturbation,52,True,35,35,35,35,31,30,33,33,35,-1,31,-1
