cohort,method,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
all,v7_frozen,950,381,569,254,10,127,559,0.6666666666666666,0.01757469244288225,0.9621212121212122,246,31.0,21.0
all,v8_frozen,950,381,569,276,10,105,559,0.7244094488188977,0.01757469244288225,0.965034965034965,269,31.0,21.0
all,v82_frozen,950,381,569,308,10,73,559,0.8083989501312336,0.01757469244288225,0.9685534591194969,297,31.0,21.0
all,knn20,950,381,569,365,73,16,496,0.958005249343832,0.1282952548330404,0.8333333333333334,361,26.0,23.0
all,c4_assigned_radius,950,381,569,360,72,21,497,0.9448818897637795,0.1265377855887522,0.8333333333333334,354,25.5,22.5
all,c32_assigned_radius,950,381,569,348,52,33,517,0.9133858267716536,0.0913884007029877,0.87,341,29.0,21.0
all,c32_union_radius,950,381,569,351,40,30,529,0.9212598425196851,0.070298769771529,0.8976982097186701,344,29.0,20.0
all,norm_only,950,381,569,301,21,80,548,0.7900262467191601,0.03690685413005272,0.9347826086956522,288,29.0,23.0
all,cosine_knn20,950,381,569,4,6,377,563,0.010498687664041995,0.01054481546572935,0.4,4,19.5,10.0
all,knn_euclidean_OR_cosine,950,381,569,365,79,16,490,0.958005249343832,0.13884007029876977,0.8220720720720721,361,26.0,23.0
all,knn_euclidean_AND_cosine_latched,950,381,569,4,0,377,569,0.010498687664041995,0.0,1.0,4,27.0,
primary,v7_frozen,925,379,546,252,10,127,536,0.6649076517150396,0.018315018315018316,0.9618320610687023,244,31.0,21.0
primary,v8_frozen,925,379,546,274,10,105,536,0.7229551451187335,0.018315018315018316,0.9647887323943662,267,31.0,21.0
primary,v82_frozen,925,379,546,306,10,73,536,0.8073878627968337,0.018315018315018316,0.9683544303797469,295,31.0,21.0
primary,knn20,925,379,546,363,71,16,475,0.9577836411609498,0.13003663003663005,0.836405529953917,359,26.0,23.0
primary,c4_assigned_radius,925,379,546,358,70,21,476,0.9445910290237467,0.1282051282051282,0.8364485981308412,352,25.0,22.5
primary,c32_assigned_radius,925,379,546,346,51,33,495,0.9129287598944591,0.09340659340659341,0.871536523929471,339,29.0,21.0
primary,c32_union_radius,925,379,546,349,39,30,507,0.920844327176781,0.07142857142857142,0.8994845360824743,342,29.0,20.0
primary,norm_only,925,379,546,299,21,80,525,0.7889182058047494,0.038461538461538464,0.934375,286,29.0,23.0
primary,cosine_knn20,925,379,546,4,5,375,541,0.010554089709762533,0.009157509157509158,0.4444444444444444,4,19.5,13.0
primary,knn_euclidean_OR_cosine,925,379,546,363,76,16,470,0.9577836411609498,0.1391941391941392,0.826879271070615,359,26.0,23.0
primary,knn_euclidean_AND_cosine_latched,925,379,546,4,0,375,546,0.010554089709762533,0.0,1.0,4,27.0,
unchanged_scene_controls,v7_frozen,25,2,23,2,0,0,23,1.0,0.0,1.0,2,41.0,
unchanged_scene_controls,v8_frozen,25,2,23,2,0,0,23,1.0,0.0,1.0,2,41.0,
unchanged_scene_controls,v82_frozen,25,2,23,2,0,0,23,1.0,0.0,1.0,2,41.0,
unchanged_scene_controls,knn20,25,2,23,2,2,0,21,1.0,0.08695652173913043,0.5,2,35.5,19.5
unchanged_scene_controls,c4_assigned_radius,25,2,23,2,2,0,21,1.0,0.08695652173913043,0.5,2,35.0,19.5
unchanged_scene_controls,c32_assigned_radius,25,2,23,2,1,0,22,1.0,0.043478260869565216,0.6666666666666666,2,37.5,14.0
unchanged_scene_controls,c32_union_radius,25,2,23,2,1,0,22,1.0,0.043478260869565216,0.6666666666666666,2,36.5,14.0
unchanged_scene_controls,norm_only,25,2,23,2,0,0,23,1.0,0.0,1.0,2,40.5,
unchanged_scene_controls,cosine_knn20,25,2,23,0,1,2,22,0.0,0.043478260869565216,0.0,0,,7.0
unchanged_scene_controls,knn_euclidean_OR_cosine,25,2,23,2,3,0,20,1.0,0.13043478260869565,0.4,2,35.5,14.0
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,25,2,23,0,0,2,23,0.0,0.0,,0,,
all_plus,v7_frozen,700,225,475,137,8,88,467,0.6088888888888889,0.016842105263157894,0.9448275862068966,132,30.0,19.0
all_plus,v8_frozen,700,225,475,152,8,73,467,0.6755555555555556,0.016842105263157894,0.95,148,30.0,19.0
all_plus,v82_frozen,700,225,475,167,8,58,467,0.7422222222222222,0.016842105263157894,0.9542857142857143,159,30.0,19.0
all_plus,knn20,700,225,475,212,64,13,411,0.9422222222222222,0.13473684210526315,0.7681159420289855,208,26.5,23.0
all_plus,c4_assigned_radius,700,225,475,208,61,17,414,0.9244444444444444,0.12842105263157894,0.7732342007434945,202,26.0,22.0
all_plus,c32_assigned_radius,700,225,475,198,49,27,426,0.88,0.1031578947368421,0.8016194331983806,192,29.0,21.0
all_plus,c32_union_radius,700,225,475,199,38,26,437,0.8844444444444445,0.08,0.8396624472573839,193,28.0,20.0
all_plus,norm_only,700,225,475,164,16,61,459,0.7288888888888889,0.03368421052631579,0.9111111111111111,154,29.0,19.0
all_plus,cosine_knn20,700,225,475,3,4,222,471,0.013333333333333334,0.008421052631578947,0.42857142857142855,3,23.0,10.0
all_plus,knn_euclidean_OR_cosine,700,225,475,212,68,13,407,0.9422222222222222,0.1431578947368421,0.7571428571428571,208,26.0,23.0
all_plus,knn_euclidean_AND_cosine_latched,700,225,475,3,0,222,475,0.013333333333333334,0.0,1.0,3,30.0,
primary_plus,v7_frozen,700,225,475,137,8,88,467,0.6088888888888889,0.016842105263157894,0.9448275862068966,132,30.0,19.0
primary_plus,v8_frozen,700,225,475,152,8,73,467,0.6755555555555556,0.016842105263157894,0.95,148,30.0,19.0
primary_plus,v82_frozen,700,225,475,167,8,58,467,0.7422222222222222,0.016842105263157894,0.9542857142857143,159,30.0,19.0
primary_plus,knn20,700,225,475,212,64,13,411,0.9422222222222222,0.13473684210526315,0.7681159420289855,208,26.5,23.0
primary_plus,c4_assigned_radius,700,225,475,208,61,17,414,0.9244444444444444,0.12842105263157894,0.7732342007434945,202,26.0,22.0
primary_plus,c32_assigned_radius,700,225,475,198,49,27,426,0.88,0.1031578947368421,0.8016194331983806,192,29.0,21.0
primary_plus,c32_union_radius,700,225,475,199,38,26,437,0.8844444444444445,0.08,0.8396624472573839,193,28.0,20.0
primary_plus,norm_only,700,225,475,164,16,61,459,0.7288888888888889,0.03368421052631579,0.9111111111111111,154,29.0,19.0
primary_plus,cosine_knn20,700,225,475,3,4,222,471,0.013333333333333334,0.008421052631578947,0.42857142857142855,3,23.0,10.0
primary_plus,knn_euclidean_OR_cosine,700,225,475,212,68,13,407,0.9422222222222222,0.1431578947368421,0.7571428571428571,208,26.0,23.0
primary_plus,knn_euclidean_AND_cosine_latched,700,225,475,3,0,222,475,0.013333333333333334,0.0,1.0,3,30.0,
all_pro,v7_frozen,250,156,94,117,2,39,92,0.75,0.02127659574468085,0.9831932773109243,114,31.0,31.0
all_pro,v8_frozen,250,156,94,124,2,32,92,0.7948717948717948,0.02127659574468085,0.9841269841269841,121,31.0,31.0
all_pro,v82_frozen,250,156,94,141,2,15,92,0.9038461538461539,0.02127659574468085,0.986013986013986,138,31.0,31.0
all_pro,knn20,250,156,94,153,9,3,85,0.9807692307692307,0.09574468085106383,0.9444444444444444,153,26.0,24.0
all_pro,c4_assigned_radius,250,156,94,152,11,4,83,0.9743589743589743,0.11702127659574468,0.9325153374233128,152,24.0,24.0
all_pro,c32_assigned_radius,250,156,94,150,3,6,91,0.9615384615384616,0.031914893617021274,0.9803921568627451,149,29.0,21.0
all_pro,c32_union_radius,250,156,94,152,2,4,92,0.9743589743589743,0.02127659574468085,0.987012987012987,151,29.0,20.0
all_pro,norm_only,250,156,94,137,5,19,89,0.8782051282051282,0.05319148936170213,0.9647887323943662,134,29.0,25.0
all_pro,cosine_knn20,250,156,94,1,2,155,92,0.00641025641025641,0.02127659574468085,0.3333333333333333,1,11.0,12.5
all_pro,knn_euclidean_OR_cosine,250,156,94,153,11,3,83,0.9807692307692307,0.11702127659574468,0.9329268292682927,153,26.0,19.0
all_pro,knn_euclidean_AND_cosine_latched,250,156,94,1,0,155,94,0.00641025641025641,0.0,1.0,1,24.0,
primary_pro,v7_frozen,225,154,71,115,2,39,69,0.7467532467532467,0.028169014084507043,0.9829059829059829,112,31.0,31.0
primary_pro,v8_frozen,225,154,71,122,2,32,69,0.7922077922077922,0.028169014084507043,0.9838709677419355,119,31.0,31.0
primary_pro,v82_frozen,225,154,71,139,2,15,69,0.9025974025974026,0.028169014084507043,0.9858156028368794,136,31.0,31.0
primary_pro,knn20,225,154,71,151,7,3,64,0.9805194805194806,0.09859154929577464,0.9556962025316456,151,26.0,24.0
primary_pro,c4_assigned_radius,225,154,71,150,9,4,62,0.974025974025974,0.1267605633802817,0.9433962264150944,150,23.5,25.0
primary_pro,c32_assigned_radius,225,154,71,148,2,6,69,0.961038961038961,0.028169014084507043,0.9866666666666667,147,29.0,23.5
primary_pro,c32_union_radius,225,154,71,150,1,4,70,0.974025974025974,0.014084507042253521,0.9933774834437086,149,29.0,26.0
primary_pro,norm_only,225,154,71,135,5,19,66,0.8766233766233766,0.07042253521126761,0.9642857142857143,132,29.0,25.0
primary_pro,cosine_knn20,225,154,71,1,1,153,70,0.006493506493506494,0.014084507042253521,0.5,1,11.0,18.0
primary_pro,knn_euclidean_OR_cosine,225,154,71,151,8,3,63,0.9805194805194806,0.11267605633802817,0.949685534591195,151,26.0,21.5
primary_pro,knn_euclidean_AND_cosine_latched,225,154,71,1,0,153,71,0.006493506493506494,0.0,1.0,1,24.0,
