trunk_uid,init_state,stream,success,n_queries,loop_onset,static_onset,trap_onset
300,10,0,0,52,39,-1,39
301,10,1,1,50,37,-1,37
302,11,0,0,52,50,-1,50
303,11,1,0,52,-1,48,48
304,15,0,0,52,41,-1,41
305,15,1,0,52,-1,-1,-1
306,27,0,0,52,33,-1,33
307,27,1,0,52,-1,36,36
308,47,0,0,52,37,-1,37
309,47,1,0,52,-1,-1,-1
310,1,0,0,52,34,-1,34
311,1,1,0,52,47,-1,47
