failure_type,prefix_queries,model,n_failure_branches,n_type_positive,brier,log_loss,brier_improvement_vs_rate,brier_relative_improvement_vs_rate,brier_improvement_vs_noise_action
loop_or_cycling,1,failure_rate_only,26,19,0.3879114186851211,1.0339725518006093,0.0,0.0,-0.07413180317935414
loop_or_cycling,1,noise+action,26,19,0.31377961550576694,0.8366187433012923,0.07413180317935414,0.19110497811751467,0.0
loop_or_cycling,1,moe_action,26,19,0.728681047733213,3.119515310677391,-0.3407696290480919,-0.8784727972256585,-0.414901432227446
loop_or_cycling,1,moe_state,26,19,0.23075793581729634,2.584167878819719,0.15715348286782474,0.40512724116376364,0.0830216796884706
loop_or_cycling,1,moe_action+state,26,19,0.26763203886185916,3.003462865216064,0.12027937982326192,0.3100691911338041,0.046147576643907784
loop_or_cycling,1,noise+action+moe_action,26,19,0.6974602084243868,2.6272265837786657,-0.30954878973926575,-0.7979883417418435,-0.3836805929186199
loop_or_cycling,1,noise+action+moe_action+state,26,19,0.2741343487957368,3.01662033583343,0.1137770698893843,0.29330683349061304,0.03964526671003016
loop_or_cycling,3,failure_rate_only,26,19,0.3879114186851211,1.0339725518006093,0.0,0.0,-0.09663272163489489
loop_or_cycling,3,noise+action,26,19,0.2912786970502262,0.7761311820318346,0.09663272163489489,0.24911027873952446,0.0
loop_or_cycling,3,moe_action,26,19,0.5785743729308884,1.7999622948525638,-0.19066295424576735,-0.49151157986543825,-0.28729567588066224
loop_or_cycling,3,moe_state,26,19,0.3628226210041081,3.540184717804912,0.025088797681012964,0.06467661551715823,-0.07154392395388193
loop_or_cycling,3,moe_action+state,26,19,0.5295454516223258,3.675682673086182,-0.14163403293720472,-0.3651195250124183,-0.23826675457209961
loop_or_cycling,3,noise+action+moe_action,26,19,0.5639069213630203,1.7061622101621257,-0.17599550267789926,-0.4537002372202915,-0.27262822431279415
loop_or_cycling,3,noise+action+moe_action+state,26,19,0.5266232131549141,3.631210762441934,-0.13871179446979304,-0.3575862627090888,-0.23534451610468793
