cv_scheme,model,snapshots,heldout_units,ridge_alpha,failure_rate_mse,failure_rate_mae,mse_gain_vs_mean_rate,mse_gain_vs_mean_rate_ci95_low,mse_gain_vs_mean_rate_ci95_high,mse_gain_vs_policy_state,mse_gain_vs_policy_state_ci95_low,mse_gain_vs_policy_state_ci95_high,mse_gain_vs_geometry,mse_gain_vs_geometry_ci95_low,mse_gain_vs_geometry_ci95_high,mse_gain_vs_sim_state,mse_gain_vs_sim_state_ci95_low,mse_gain_vs_sim_state_ci95_high
leave_one_snapshot_out,initial_geometry,22,22,10.0,0.020679747641956073,0.12144102156162262,0.1310793935145065,0.07773612026299676,0.18866020118699006,0.10571660751907155,0.05143611752069773,0.16290436558207064,0.0,0.0,0.0,0.01030010157222709,0.0008205823635491857,0.021762319460422296
leave_one_snapshot_out,initial_sim_state,22,22,10.0,0.030979849214183165,0.14292304353280502,0.12077929194227942,0.06812142564736104,0.1813567051819439,0.09541650594684446,0.04549052071906208,0.14716951710854215,-0.01030010157222709,-0.021344756876897936,-0.0008704190957315768,0.0,0.0,0.0
leave_one_snapshot_out,mean_moe_action,22,22,10.0,0.0542337365468399,0.19923776659098538,0.09752540460962265,0.04361634139371976,0.15651262095393484,0.07216261861418773,0.019877571627412206,0.12759895862547316,-0.03355398890488382,-0.053815921671732415,-0.015500246609043231,-0.023253887332656733,-0.03921509018516757,-0.00924755918645144
leave_one_snapshot_out,geometry+mean_moe_action+state,22,22,10.0,0.05443643562801617,0.1986175694248893,0.09732270552844638,0.0440063649304195,0.15605220083501567,0.07195991953301145,0.01789707283958067,0.12970463103021515,-0.0337566879860601,-0.05777909610524955,-0.013271691050665467,-0.02345658641383301,-0.04404275371832306,-0.00546707644078117
leave_one_snapshot_out,sim_state+mean_moe_action+state,22,22,10.0,0.05477738676440793,0.19920543107119473,0.09698175439205463,0.041962536119646975,0.15481825323951842,0.0716189683966197,0.01576189981156736,0.1295607858036659,-0.03409763912245185,-0.058407727246021154,-0.013993561201278024,-0.023797537550224766,-0.04430603308262135,-0.006203383850845458
leave_one_snapshot_out,policy_state+mean_moe_action+state,22,22,10.0,0.05496615414048172,0.19948981431397525,0.09679298701598084,0.042313232769045375,0.15435681292940806,0.07143020102054591,0.01574212811002723,0.12873853807266744,-0.03428640649852565,-0.058339856108059265,-0.014762044356624737,-0.023986304926298555,-0.044696712953191144,-0.0058128070712438204
leave_one_snapshot_out,mean_moe_action+state,22,22,10.0,0.055095304439168054,0.19982623376629569,0.0966638367172945,0.04222354108712468,0.1566014074883686,0.07130105072185958,0.01676076993822363,0.12772055469237414,-0.03441555679721198,-0.058597524604852076,-0.013749473735737006,-0.024115455224984886,-0.04544493241412738,-0.0060436941112043
leave_one_snapshot_out,mean_moe_state,22,22,10.0,0.06444965465813389,0.20258153162219308,0.08730948649832869,0.030275675235019842,0.14840391482527168,0.06194670050289375,-0.0016266499435935158,0.12882558717105153,-0.043769907016177806,-0.0798480970279517,-0.013353981974711313,-0.03346980544395072,-0.06643278498892709,-0.004697833103447881
leave_one_snapshot_out,initial_policy_state,22,22,10.0,0.12639635516102762,0.2887692248279398,0.025362785995434935,-0.028966553712362807,0.07661843658923648,0.0,0.0,0.0,-0.10571660751907155,-0.16414933163157666,-0.052793404076850944,-0.09541650594684446,-0.1486843588475529,-0.04655984456431275
leave_one_snapshot_out,mean_rate,22,22,,0.15175914115646258,0.341991341991342,0.0,0.0,0.0,-0.025362785995434935,-0.0753273659686836,0.02912371160532685,-0.1310793935145065,-0.18764969152776897,-0.07914672377935972,-0.12077929194227942,-0.17701484894312583,-0.06720491068103375
