worker,branches,snapshots,successes,loop_branches,loop_rate,selected_model_brier,failure_rate_only_brier,noise_action_brier,brier_gain_vs_rate,brier_gain_vs_noise_action
0,96,6,25,45,0.46875,0.2682025970685305,0.24908447265625,0.2505678739069476,-0.019118124412280526,-0.0176347231615829
1,80,5,0,76,0.95,0.4638873858985716,0.44458531574394466,0.4496146520289573,-0.01930207015462696,-0.014272733869614324
2,80,5,5,36,0.45,0.244065555688113,0.24778600778546717,0.2553281443261498,0.0037204520973541195,0.01126258863803677
3,96,6,87,6,0.0625,0.3973909204665695,0.3619537353515625,0.36644772148963556,-0.03543718511500694,-0.030943198976933883
