failure_type,prefix_queries,cv_scheme,cv_folds,model,feature_scope,n_failure_branches,n_type_positive,heldout_units,brier,log_loss,noise_action_reference,brier_improvement_vs_rate,brier_improvement_vs_rate_ci95_low,brier_improvement_vs_rate_ci95_high,brier_relative_improvement_vs_rate,brier_improvement_vs_noise_action,brier_improvement_vs_noise_action_ci95_low,brier_improvement_vs_noise_action_ci95_high
stagnation,1,grouped_5fold_snapshot,5,failure_rate_only,absolute,235,49,22,0.17151603264543713,0.5314441145412016,noise+action,0.0,0.0,0.0,0.0,0.02716259528995997,0.007696817594651735,0.048012386215672984
stagnation,1,grouped_5fold_snapshot,5,noise+action,absolute,235,49,22,0.19867862793539706,0.6374850819774324,noise+action,-0.02716259528995997,-0.04768977743301603,-0.007811472130391825,-0.1583676748523636,0.0,0.0,0.0
stagnation,1,grouped_5fold_snapshot,5,moe_action,absolute,235,49,22,0.1796515296907629,0.6297952746243017,noise+action,-0.00813549704532575,-0.03707775602761085,0.016478559027763295,-0.047432866303196757,0.019027098244634222,-0.008187765920996369,0.04508306356142097
stagnation,1,grouped_5fold_snapshot,5,moe_state,absolute,235,49,22,0.2245660874596065,1.0010273608974016,noise+action,-0.05305005481416933,-0.10289830097969165,-0.008077821215709791,-0.30930085074808095,-0.025887459524209365,-0.07596719188026804,0.01451671233666856
stagnation,1,grouped_5fold_snapshot,5,moe_action+state,absolute,235,49,22,0.19490652682339943,0.8038712334487355,noise+action,-0.023390494177962313,-0.05481519047211098,0.004989113826802992,-0.13637497216552236,0.003772101111997658,-0.025809318493680965,0.031726141804834504
stagnation,1,grouped_5fold_snapshot,5,noise+action+moe_action,absolute,235,49,22,0.17937431305567814,0.6289260325523174,noise+action,-0.007858280410241024,-0.03534244469356492,0.0166883106336042,-0.045816593871932,0.019304314879718946,-0.0075377957935159065,0.045346945144811385
stagnation,1,grouped_5fold_snapshot,5,noise+action+moe_action+state,absolute,235,49,22,0.19486917660345998,0.7998384242961238,noise+action,-0.023353143958022866,-0.055706732547261766,0.005715994329573323,-0.1361572069842541,0.0038094513319371025,-0.025766763276548445,0.03126736268577817
stagnation,1,grouped_5fold_snapshot,5,noise+action_within_snapshot,within_snapshot_centered,235,49,22,0.1754250794109686,0.5454981238084227,noise+action_within_snapshot,-0.003909046765531508,-0.009800166058062552,0.0016276865107766447,-0.022791144974839767,0.0,0.0,0.0
stagnation,1,grouped_5fold_snapshot,5,moe_action_within_snapshot,within_snapshot_centered,235,49,22,0.1812905738348823,0.5548899836425772,noise+action_within_snapshot,-0.00977454118944519,-0.01787151692216794,-0.001903482611947098,-0.05698908165425796,-0.005865494423913682,-0.01583099029277911,0.004059498588986664
stagnation,1,grouped_5fold_snapshot,5,moe_state_within_snapshot,within_snapshot_centered,235,49,22,0.1629571187656797,0.5118879153945795,noise+action_within_snapshot,0.008558913879757444,-0.007464586167788953,0.022569934903912497,0.049901538344527104,0.012467960645288956,-0.0054545673235160625,0.027380537717673053
