candidate,snapshots,failures,failure_rate,deviation_from_overall
0,22,16,0.72727275,0.059659123
1,22,12,0.54545456,-0.122159064
2,22,16,0.72727275,0.059659123
3,22,13,0.59090906,-0.07670456
4,22,12,0.54545456,-0.122159064
5,22,15,0.6818182,0.014204562
6,22,15,0.6818182,0.014204562
7,22,15,0.6818182,0.014204562
8,22,13,0.59090906,-0.07670456
9,22,16,0.72727275,0.059659123
10,22,15,0.6818182,0.014204562
11,22,16,0.72727275,0.059659123
12,22,14,0.6363636,-0.03125
13,22,16,0.72727275,0.059659123
14,22,15,0.6818182,0.014204562
15,22,16,0.72727275,0.059659123
