worker,snapshot_key,candidate,episode_id,loop_or_cycling,predicted_loop_q0_state_within_snapshot,predicted_loop_failure_rate_only,predicted_loop_noise_action_within_snapshot,brier_gain_vs_rate,brier_gain_vs_noise_action
0,w00_s000,0,100000000,True,0.6527398054329745,0.7195121951219512,0.7753553119715464,-0.041916234045422024,-0.07012440687132715
0,w00_s000,1,100000001,True,0.4287656537627112,0.7195121951219512,0.7417903838696231,-0.24763526963583643,-0.2596364724589462
0,w00_s000,2,100000002,True,0.6218581752901747,0.7195121951219512,0.7318003971385494,-0.06431783090956984,-0.0710602126198364
0,w00_s000,5,100000005,False,0.578244433902322,0.7195121951219512,0.7924328496992044,0.18333117359019185,0.29358319594338494
0,w00_s000,6,100000006,False,0.5060225994096511,0.7195121951219512,0.7368852087339433,0.26163892781590853,0.2869409397375669
0,w00_s000,9,100000009,False,0.6256842641681218,0.7195121951219512,0.7599101951851411,0.12621700050160467,0.18598270631871516
0,w00_s000,11,100000011,False,0.368535742344391,0.7195121951219512,0.6872227535692585,0.3818792055438774,0.3364565196379825
0,w00_s000,14,100000014,False,0.7072015659968277,0.7195121951219512,0.8192834800107784,0.01756374398084326,0.1710913656702061
0,w00_s000,15,100000015,True,0.5826674974668291,0.7195121951219512,0.5691900110073763,-0.09549300898529271,0.011430828945225457
0,w00_s001,2,100000102,True,0.7216752562870626,0.7195121951219512,0.7528765690168264,0.0012087457224341097,-0.016394672821976916
0,w00_s001,3,100000103,True,0.6781896241045824,0.7195121951219512,0.5606471269814486,-0.024888509348643603,0.08946902899570539
0,w00_s001,4,100000104,True,0.7845462498009916,0.7195121951219512,0.7673826338004921,0.032253090210489686,0.007690520582779269
0,w00_s001,5,100000105,True,0.7344431446860944,0.7195121951219512,0.7762522585600949,0.008152965281095784,-0.02045739160475199
0,w00_s001,6,100000106,True,0.758838139063624,0.7195121951219512,0.7463014729192886,0.02051436551501041,0.0062038994726264715
0,w00_s001,8,100000108,True,0.6919396885193976,0.7195121951219512,0.7047728353611653,-0.016227746824219402,-0.007742076768840173
0,w00_s001,9,100000109,True,0.752949916110188,0.7195121951219512,0.8103284341962592,0.017639664735343244,-0.02505844107552037
0,w00_s001,10,100000110,True,0.6584293647481766,0.7195121951219512,0.7393684048813243,-0.0379970901810278,-0.04874167049222887
0,w00_s001,11,100000111,True,0.7284062460637911,0.7195121951219512,0.8054927084212036,0.004910241508144397,-0.035930080699843055
0,w00_s001,13,100000113,True,0.7225535232380689,0.7195121951219512,0.7516939876953657,0.00169686121769759,-0.015320671720979569
0,w00_s001,14,100000114,True,0.6998242481368199,0.7195121951219512,0.6531409060688721,-0.011432073321319111,0.030205749036097518
0,w00_s001,15,100000115,True,0.7522790743786183,0.7195121951219512,0.6376345153095523,0.017307751694592255,0.06994308750422897
0,w00_s002,0,100000200,False,0.5486696381393515,0.7195121951219512,0.7481341281610729,0.21665942711324176,0.25866630190336176
0,w00_s002,1,100000201,True,0.655905572931281,0.7195121951219512,0.7068493131676383,-0.03972756605444357,-0.032463649549464554
0,w00_s002,2,100000202,True,0.5308711923140959,0.7195121951219512,0.7044681825808128,-0.14140842951549165,-0.13274278309371024
0,w00_s002,5,100000205,True,0.522434461544526,0.7195121951219512,0.8396836494951335,-0.14939543483496043,-0.2023675112810676
0,w00_s002,6,100000206,True,0.6458595742649598,0.7195121951219512,0.7091556304278303,-0.04674203245448917,-0.04082499382796269
0,w00_s002,7,100000207,False,0.6798484796202586,0.7195121951219512,0.7139502419193865,0.05550384368723155,0.04753099269477329
0,w00_s002,9,100000209,False,0.6614872369136872,0.7195121951219512,0.8041356849794353,0.08013243432950429,0.20906883525764114
0,w00_s002,10,100000210,True,0.7536060862994963,0.7195121951219512,0.7795676364140823,0.017963447976655125,-0.012119533792577054
0,w00_s002,11,100000211,True,0.7871703124548172,0.7195121951219512,0.6243795900572847,0.033376932784726226,0.09579421646495333
0,w00_s002,12,100000212,True,0.6674668428259798,0.7195121951219512,0.7807709351542449,-0.031904891934815244,-0.06251691774697732
0,w00_s002,13,100000213,True,0.5638408732971659,0.7195121951219512,0.740159489656999,-0.11156137512087248,-0.12271769299086763
