failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,action,back_12_15,6,token_dispersion,0.2631578947368421,0.4473684210526316,-0.1842105263157895,-0.3571428656578064,0.0,0.07558488302339532,0.9968006398720256,38,38
stagnation,1,state,front_2_5,1,consensus_distance,0.4473684210526316,0.2631578947368421,0.1842105263157895,-0.03030303120613098,0.39024388790130615,0.08038392321535692,0.9968006398720256,38,38
stagnation,1,state,back_12_15,0,consensus_distance,0.47368421052631576,0.2894736842105263,0.18421052631578944,-0.02857142873108387,0.3571428656578064,0.08378324335132974,0.9968006398720256,38,38
stagnation,1,action,back_12_15,1,consensus_distance,0.23684210526315788,0.39473684210526316,-0.15789473684210528,-0.31707316637039185,0.0,0.13697260547890422,1.0,38,38
stagnation,1,action,front_2_5,8,top1_mass,0.3684210526315789,0.21052631578947367,0.15789473684210525,0.0,0.3333333432674408,0.13857228554289142,1.0,38,38
stagnation,1,state,back_12_15,6,consensus_distance,0.21052631578947367,0.3684210526315789,-0.15789473684210525,-0.3333333432674408,0.0,0.13937212557488501,1.0,38,38
stagnation,1,state,front_2_5,9,consensus_distance,0.42105263157894735,0.2631578947368421,0.15789473684210525,-0.05714285746216774,0.3684210479259491,0.14277144571085784,1.0,38,38
stagnation,1,action,front_2_5,5,top1_mass,0.34210526315789475,0.18421052631578946,0.15789473684210528,-0.02857142873108387,0.3684210479259491,0.14297140571885622,1.0,38,38
stagnation,1,state,front_2_5,2,consensus_distance,0.3684210526315789,0.21052631578947367,0.15789473684210525,-0.024405486928299063,0.3243243098258972,0.14637072585482905,1.0,38,38
stagnation,1,action,back_12_15,2,entropy,0.39473684210526316,0.2631578947368421,0.13157894736842107,-0.05263157933950424,0.3142857253551483,0.21175764847030593,1.0,38,38
stagnation,1,action,back_12_15,5,token_dispersion,0.2631578947368421,0.39473684210526316,-0.13157894736842107,-0.3055555522441864,0.027027027681469917,0.22155568886222757,1.0,38,38
stagnation,1,action,back_12_15,7,token_dispersion,0.2631578947368421,0.39473684210526316,-0.13157894736842107,-0.3095238208770752,0.02777777798473835,0.22175564887022595,1.0,38,38
stagnation,1,action,back_12_15,3,token_dispersion,0.2631578947368421,0.39473684210526316,-0.13157894736842107,-0.3333333432674408,0.07500000298023224,0.22455508898220355,1.0,38,38
stagnation,1,action,back_12_15,0,consensus_distance,0.23684210526315788,0.3684210526315789,-0.13157894736842105,-0.3142857253551483,0.05882352963089943,0.22535492901419715,1.0,38,38
stagnation,1,action,back_12_15,4,token_dispersion,0.2631578947368421,0.39473684210526316,-0.13157894736842107,-0.3235294222831726,0.05128205195069313,0.22595480903819237,1.0,38,38
stagnation,1,action,back_12_15,5,top1_mass,0.2631578947368421,0.39473684210526316,-0.13157894736842107,-0.2702702581882477,0.0,0.22695460907818435,1.0,38,38
stagnation,1,state,back_12_15,2,consensus_distance,0.34210526315789475,0.21052631578947367,0.13157894736842107,-0.02633357062004506,0.28205129504203796,0.22775444911017798,1.0,38,38
stagnation,1,action,front_2_5,9,top1_mass,0.39473684210526316,0.2631578947368421,0.13157894736842107,-0.05714285746216774,0.31835226714610804,0.22835432913417317,1.0,38,38
stagnation,1,action,back_12_15,2,token_dispersion,0.2894736842105263,0.42105263157894735,-0.13157894736842102,-0.34210526943206787,0.06980897355824649,0.22975404919016196,1.0,38,38
stagnation,1,state,front_2_5,5,consensus_distance,0.23684210526315788,0.3684210526315789,-0.13157894736842105,-0.3235294222831726,0.07692307978868484,0.23155368926214756,1.0,38,38
stagnation,1,action,front_2_5,4,top1_mass,0.3157894736842105,0.18421052631578946,0.13157894736842105,-0.05263157933950424,0.31578946113586426,0.23355328934213157,1.0,38,38
