group,episodes,risk_n,nonrisk_n,alarm_n,tp,fp,risk_recall,precision,nonrisk_fpr,first_alarm_query_1based_q25,first_alarm_query_1based_median,first_alarm_query_1based_q75,alarm_phase_pct_q25,alarm_phase_pct_median,alarm_phase_pct_q75,true_alarm_phase_pct_median,false_alarm_phase_pct_median,remaining_phase_pct_median,phase_00_25_n,phase_00_25_among_alarms,phase_25_50_n,phase_25_50_among_alarms,phase_50_75_n,phase_50_75_among_alarms,phase_75_100_n,phase_75_100_among_alarms,cohort,suite
cache_right16x32 | libero_goal,1024,42,982,41,41,0,0.9761904761904762,1.0,0.0,25.0,25.0,26.0,82.75862068965517,82.75862068965517,86.20689655172414,82.75862068965517,,17.241379310344826,0,0.0,0,0.0,2,0.04878048780487805,39,0.9512195121951219,cache_right16x32,libero_goal
cache_right16x32 | libero_long,512,216,296,162,151,11,0.6990740740740741,0.9320987654320988,0.037162162162162164,35.0,36.0,37.0,66.66666666666667,68.62745098039215,70.58823529411765,68.62745098039215,74.46808510638297,31.372549019607845,0,0.0,0,0.0,146,0.9012345679012346,16,0.09876543209876543,cache_right16x32,libero_long
cache_right16x32 | libero_spatial,1024,49,975,39,37,2,0.7551020408163265,0.9487179487179487,0.0020512820512820513,18.5,21.0,21.0,85.71428571428571,95.23809523809524,95.23809523809524,95.23809523809524,90.47619047619048,4.761904761904759,0,0.0,0,0.0,0,0.0,39,1.0,cache_right16x32,libero_spatial
development_main | libero_goal,4000,102,3898,93,91,2,0.8921568627450981,0.978494623655914,0.000513083632632119,16.0,25.0,26.0,55.172413793103445,82.75862068965517,86.20689655172414,82.75862068965517,78.84615384615384,17.241379310344826,0,0.0,2,0.021505376344086023,37,0.3978494623655914,54,0.5806451612903226,development_main,libero_goal
development_main | libero_long,2800,222,2578,218,158,60,0.7117117117117117,0.7247706422018348,0.023273855702094646,27.25,34.0,36.0,62.745098039215684,66.66666666666667,75.29411764705883,64.70588235294117,83.87931034482759,33.33333333333333,1,0.0045871559633027525,12,0.05504587155963303,150,0.6880733944954128,55,0.25229357798165136,development_main,libero_long
development_main | libero_object,4000,37,3963,31,27,4,0.7297297297297297,0.8709677419354839,0.0010093363613424174,19.0,20.0,22.0,66.66666666666667,74.07407407407408,77.77777777777777,74.07407407407408,73.5,25.925925925925924,0,0.0,0,0.0,20,0.6451612903225806,11,0.3548387096774194,development_main,libero_object
development_main | libero_spatial,4000,126,3874,97,96,1,0.7619047619047619,0.9896907216494846,0.0002581311306143521,18.0,19.0,21.0,80.95238095238095,85.71428571428571,95.23809523809524,85.71428571428571,92.3076923076923,14.285714285714292,0,0.0,1,0.010309278350515464,6,0.061855670103092786,90,0.9278350515463918,development_main,libero_spatial
external_8b | libero_goal,4000,106,3894,93,88,5,0.8301886792452831,0.946236559139785,0.0012840267077555213,16.0,25.0,26.0,55.172413793103445,82.75862068965517,86.20689655172414,82.75862068965517,82.3529411764706,17.241379310344826,0,0.0,2,0.021505376344086023,35,0.3763440860215054,56,0.6021505376344086,external_8b,libero_goal
external_8b | libero_long,4000,274,3726,267,196,71,0.7153284671532847,0.7340823970037453,0.0190552871712292,22.5,34.0,36.0,58.957219251336895,66.66666666666667,73.7037037037037,66.66666666666667,70.96774193548387,33.33333333333333,28,0.10486891385767791,21,0.07865168539325842,162,0.6067415730337079,56,0.20973782771535582,external_8b,libero_long
external_8b | libero_object,3600,44,3556,33,31,2,0.7045454545454546,0.9393939393939394,0.0005624296962879641,18.0,22.0,24.0,66.66666666666667,77.77777777777777,88.88888888888889,77.77777777777777,80.45454545454545,22.22222222222223,0,0.0,0,0.0,14,0.42424242424242425,19,0.5757575757575758,external_8b,libero_object
external_8b | libero_spatial,4000,140,3860,98,95,3,0.6785714285714286,0.9693877551020408,0.0007772020725388601,17.0,20.0,21.0,79.4486215538847,90.47619047619048,95.23809523809524,90.47619047619048,80.95238095238095,9.523809523809518,0,0.0,0,0.0,12,0.12244897959183673,86,0.8775510204081632,external_8b,libero_spatial
