group,episodes,risk_n,nonrisk_n,alarm_n,tp,fp,risk_recall,precision,nonrisk_fpr,first_alarm_query_1based_q25,first_alarm_query_1based_median,first_alarm_query_1based_q75,alarm_phase_pct_q25,alarm_phase_pct_median,alarm_phase_pct_q75,true_alarm_phase_pct_median,false_alarm_phase_pct_median,remaining_phase_pct_median,phase_00_25_n,phase_00_25_among_alarms,phase_25_50_n,phase_25_50_among_alarms,phase_50_75_n,phase_50_75_among_alarms,phase_75_100_n,phase_75_100_among_alarms,cohort,task
cache_right16x32 | libero_goal/open_the_middle_drawer_of_the_cabinet,512,0,512,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,cache_right16x32,libero_goal/open_the_middle_drawer_of_the_cabinet
cache_right16x32 | libero_goal/open_the_top_drawer_and_put_the_bowl_inside,512,42,470,41,41,0,0.9761904761904762,1.0,0.0,25.0,25.0,26.0,82.75862068965517,82.75862068965517,86.20689655172414,82.75862068965517,,17.241379310344826,0,0.0,0,0.0,2,0.04878048780487805,39,0.9512195121951219,cache_right16x32,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
cache_right16x32 | libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,512,216,296,162,151,11,0.6990740740740741,0.9320987654320988,0.037162162162162164,35.0,36.0,37.0,66.66666666666667,68.62745098039215,70.58823529411765,68.62745098039215,74.46808510638297,31.372549019607845,0,0.0,0,0.0,146,0.9012345679012346,16,0.09876543209876543,cache_right16x32,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
cache_right16x32 | libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,512,12,500,13,12,1,1.0,0.9230769230769231,0.002,17.0,18.0,19.0,76.19047619047619,80.95238095238095,85.71428571428571,80.95238095238095,80.95238095238095,19.04761904761905,0,0.0,0,0.0,0,0.0,13,1.0,cache_right16x32,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate
cache_right16x32 | libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,512,37,475,26,25,1,0.6756756756756757,0.9615384615384616,0.002105263157894737,21.0,21.0,21.0,95.23809523809524,95.23809523809524,95.23809523809524,95.23809523809524,100.0,4.761904761904759,0,0.0,0,0.0,0,0.0,26,1.0,cache_right16x32,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
development_main | libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,400,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,development_main,libero_goal/open_the_middle_drawer_of_the_cabinet
development_main | libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,52,348,50,50,0,0.9615384615384616,1.0,0.0,25.0,26.0,26.0,82.75862068965517,86.20689655172414,86.20689655172414,86.20689655172414,,13.793103448275858,0,0.0,2,0.04,1,0.02,47,0.94,development_main,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
development_main | libero_goal/push_the_plate_to_the_front_of_the_stove,400,2,398,2,1,1,0.5,0.5,0.002512562814070352,22.25,22.5,22.75,79.3103448275862,86.20689655172413,93.10344827586206,72.41379310344827,100.0,13.793103448275865,0,0.0,0,0.0,1,0.5,1,0.5,development_main,libero_goal/push_the_plate_to_the_front_of_the_stove
development_main | libero_goal/put_the_bowl_on_the_plate,400,12,388,8,7,1,0.5833333333333334,0.875,0.002577319587628866,16.0,17.5,20.0,51.724137931034484,59.88063660477454,65.51724137931035,62.06896551724138,57.69230769230769,40.11936339522546,0,0.0,0,0.0,7,0.875,1,0.125,development_main,libero_goal/put_the_bowl_on_the_plate
development_main | libero_goal/put_the_bowl_on_the_stove,400,6,394,5,5,0,0.8333333333333334,1.0,0.0,17.0,17.0,29.0,55.172413793103445,55.172413793103445,96.55172413793103,55.172413793103445,,44.827586206896555,0,0.0,0,0.0,3,0.6,2,0.4,development_main,libero_goal/put_the_bowl_on_the_stove
development_main | libero_goal/put_the_bowl_on_top_of_the_cabinet,400,15,385,15,15,0,1.0,1.0,0.0,16.0,16.0,17.0,51.724137931034484,51.724137931034484,55.172413793103445,51.724137931034484,,48.275862068965516,0,0.0,0,0.0,15,1.0,0,0.0,development_main,libero_goal/put_the_bowl_on_top_of_the_cabinet
development_main | libero_goal/put_the_cream_cheese_in_the_bowl,400,10,390,8,8,0,0.8,1.0,0.0,16.0,16.0,16.0,51.724137931034484,51.724137931034484,51.724137931034484,51.724137931034484,,48.275862068965516,0,0.0,0,0.0,7,0.875,1,0.125,development_main,libero_goal/put_the_cream_cheese_in_the_bowl
development_main | libero_goal/put_the_wine_bottle_on_the_rack,400,3,397,3,3,0,1.0,1.0,0.0,22.5,23.0,23.0,74.13793103448276,75.86206896551724,75.86206896551724,75.86206896551724,,24.13793103448276,0,0.0,0,0.0,1,0.3333333333333333,2,0.6666666666666666,development_main,libero_goal/put_the_wine_bottle_on_the_rack
development_main | libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,2,398,2,2,0,1.0,1.0,0.0,17.0,17.0,17.0,55.172413793103445,55.172413793103445,55.172413793103445,55.172413793103445,,44.827586206896555,0,0.0,0,0.0,2,1.0,0,0.0,development_main,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet
