cohort,task,episodes,risk_n,alarm_n,tp,fp,risk_recall_pct,precision_pct,first_alarm_query_1based_median,alarm_phase_pct_q25,alarm_phase_pct_median,alarm_phase_pct_q75,alarms_in_phase_00_25_pct,alarms_in_phase_25_50_pct,alarms_in_phase_50_75_pct,alarms_in_phase_75_100_pct
cache_right16x32,libero_goal/open_the_middle_drawer_of_the_cabinet,512,0,0,0,0,,,,,,,,,,
cache_right16x32,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,512,42,41,41,0,97.62,100.0,25.0,82.76,82.76,86.21,0.0,0.0,4.88,95.12
cache_right16x32,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,512,216,162,151,11,69.91,93.21,36.0,66.67,68.63,70.59,0.0,0.0,90.12,9.88
cache_right16x32,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,512,12,13,12,1,100.0,92.31,18.0,76.19,80.95,85.71,0.0,0.0,0.0,100.0
cache_right16x32,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,512,37,26,25,1,67.57,96.15,21.0,95.24,95.24,95.24,0.0,0.0,0.0,100.0
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,0,0,0,,,,,,,,,,
development_main,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,52,50,50,0,96.15,100.0,26.0,82.76,86.21,86.21,0.0,4.0,2.0,94.0
development_main,libero_goal/push_the_plate_to_the_front_of_the_stove,400,2,2,1,1,50.0,50.0,22.5,79.31,86.21,93.1,0.0,0.0,50.0,50.0
development_main,libero_goal/put_the_bowl_on_the_plate,400,12,8,7,1,58.33,87.5,17.5,51.72,59.88,65.52,0.0,0.0,87.5,12.5
development_main,libero_goal/put_the_bowl_on_the_stove,400,6,5,5,0,83.33,100.0,17.0,55.17,55.17,96.55,0.0,0.0,60.0,40.0
development_main,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,15,15,15,0,100.0,100.0,16.0,51.72,51.72,55.17,0.0,0.0,100.0,0.0
development_main,libero_goal/put_the_cream_cheese_in_the_bowl,400,10,8,8,0,80.0,100.0,16.0,51.72,51.72,51.72,0.0,0.0,87.5,12.5
development_main,libero_goal/put_the_wine_bottle_on_the_rack,400,3,3,3,0,100.0,100.0,23.0,74.14,75.86,75.86,0.0,0.0,33.33,66.67
development_main,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,2,2,2,0,100.0,100.0,17.0,55.17,55.17,55.17,0.0,0.0,100.0,0.0
development_main,libero_goal/turn_on_the_stove,400,0,0,0,0,,,,,,,,,,
