method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,503,507,0.8458333611488342,4,507,libero_long_20260909
route_ja_k20,episode,0.03,493,507,0.838494062423706,14,507,libero_long_20260909
route_ja_k20,episode,0.05,483,507,0.8334226012229919,24,507,libero_long_20260909
route_ja_k20,episode,0.1,458,507,0.8227142691612244,49,507,libero_long_20260909
route_ja_k20,episode,0.15,432,507,0.8171011805534363,75,507,libero_long_20260909
route_ja_k20,episode,0.2,407,507,0.8127321600914001,100,507,libero_long_20260909
route_ja_k20,task_init,0.01,70,69,inf,0,507,libero_long_20260909
route_ja_k20,task_init,0.03,68,69,0.8474881052970886,1,507,libero_long_20260909
route_ja_k20,task_init,0.05,67,69,0.8472381234169006,2,507,libero_long_20260909
route_ja_k20,task_init,0.1,63,69,0.8379226326942444,6,507,libero_long_20260909
route_ja_k20,task_init,0.15,60,69,0.8353511691093445,9,507,libero_long_20260909
route_ja_k20,task_init,0.2,56,69,0.8315595388412476,13,507,libero_long_20260909
route_wj_site_k20,episode,0.01,503,507,0.12370222061872482,4,507,libero_long_20260909
route_wj_site_k20,episode,0.03,493,507,0.11906782537698746,14,507,libero_long_20260909
route_wj_site_k20,episode,0.05,483,507,0.11796669661998749,24,507,libero_long_20260909
route_wj_site_k20,episode,0.1,458,507,0.11276930570602417,49,507,libero_long_20260909
route_wj_site_k20,episode,0.15,432,507,0.11099351942539215,75,507,libero_long_20260909
route_wj_site_k20,episode,0.2,407,507,0.10881010442972183,100,507,libero_long_20260909
route_wj_site_k20,task_init,0.01,70,69,inf,0,507,libero_long_20260909
route_wj_site_k20,task_init,0.03,68,69,0.13134877383708954,1,507,libero_long_20260909
route_wj_site_k20,task_init,0.05,67,69,0.12894074618816376,2,507,libero_long_20260909
route_wj_site_k20,task_init,0.1,63,69,0.11906782537698746,6,507,libero_long_20260909
route_wj_site_k20,task_init,0.15,60,69,0.11869290471076965,9,507,libero_long_20260909
route_wj_site_k20,task_init,0.2,56,69,0.11496290564537048,13,507,libero_long_20260909
route_wj_aligned_k20,episode,0.01,503,507,0.12419044226408005,4,507,libero_long_20260909
route_wj_aligned_k20,episode,0.03,493,507,0.11950519680976868,14,507,libero_long_20260909
route_wj_aligned_k20,episode,0.05,483,507,0.11868473142385483,24,507,libero_long_20260909
route_wj_aligned_k20,episode,0.1,458,507,0.11330005526542664,49,507,libero_long_20260909
route_wj_aligned_k20,episode,0.15,432,507,0.11151405423879623,75,507,libero_long_20260909
route_wj_aligned_k20,episode,0.2,407,507,0.10926786810159683,100,507,libero_long_20260909
route_wj_aligned_k20,task_init,0.01,70,69,inf,0,507,libero_long_20260909
route_wj_aligned_k20,task_init,0.03,68,69,0.13267216086387634,1,507,libero_long_20260909
route_wj_aligned_k20,task_init,0.05,67,69,0.12938880920410156,2,507,libero_long_20260909
route_wj_aligned_k20,task_init,0.1,63,69,0.11950519680976868,6,507,libero_long_20260909
route_wj_aligned_k20,task_init,0.15,60,69,0.11916305124759674,9,507,libero_long_20260909
route_wj_aligned_k20,task_init,0.2,56,69,0.11551613360643387,13,507,libero_long_20260909
route_hellinger_aligned_k20,episode,0.01,503,507,0.06330517679452896,4,507,libero_long_20260909
route_hellinger_aligned_k20,episode,0.03,493,507,0.061094023287296295,14,507,libero_long_20260909
route_hellinger_aligned_k20,episode,0.05,483,507,0.05969939008355141,24,507,libero_long_20260909
route_hellinger_aligned_k20,episode,0.1,458,507,0.057815294712781906,49,507,libero_long_20260909
route_hellinger_aligned_k20,episode,0.15,432,507,0.05616442859172821,75,507,libero_long_20260909
route_hellinger_aligned_k20,episode,0.2,407,507,0.05477519705891609,100,507,libero_long_20260909
route_hellinger_aligned_k20,task_init,0.01,70,69,inf,0,507,libero_long_20260909
route_hellinger_aligned_k20,task_init,0.03,68,69,0.06911464780569077,1,507,libero_long_20260909
route_hellinger_aligned_k20,task_init,0.05,67,69,0.06524243205785751,2,507,libero_long_20260909
route_hellinger_aligned_k20,task_init,0.1,63,69,0.06081598252058029,6,507,libero_long_20260909
route_hellinger_aligned_k20,task_init,0.15,60,69,0.05976404994726181,9,507,libero_long_20260909
route_hellinger_aligned_k20,task_init,0.2,56,69,0.059384800493717194,13,507,libero_long_20260909
