method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,547,551,0.8364285826683044,4,551,libero_object_20260908
route_ja_k20,episode,0.03,536,551,0.8270178437232971,15,551,libero_object_20260908
route_ja_k20,episode,0.05,525,551,0.8174880743026733,26,551,libero_object_20260908
route_ja_k20,episode,0.1,497,551,0.8015416860580444,54,551,libero_object_20260908
route_ja_k20,episode,0.15,470,551,0.7908809781074524,81,551,libero_object_20260908
route_ja_k20,episode,0.2,442,551,0.7834345102310181,109,551,libero_object_20260908
route_ja_k20,task_init,0.01,71,70,inf,0,551,libero_object_20260908
route_ja_k20,task_init,0.03,69,70,0.8581964373588562,1,551,libero_object_20260908
route_ja_k20,task_init,0.05,68,70,0.8364285826683044,2,551,libero_object_20260908
route_ja_k20,task_init,0.1,64,70,0.817755937576294,6,551,libero_object_20260908
route_ja_k20,task_init,0.15,61,70,0.8135178685188293,9,551,libero_object_20260908
route_ja_k20,task_init,0.2,57,70,0.8065535426139832,13,551,libero_object_20260908
route_wj_site_k20,episode,0.01,547,551,0.12568484246730804,4,551,libero_object_20260908
route_wj_site_k20,episode,0.03,536,551,0.12160065770149231,15,551,libero_object_20260908
route_wj_site_k20,episode,0.05,525,551,0.11964546144008636,26,551,libero_object_20260908
route_wj_site_k20,episode,0.1,497,551,0.11664348095655441,54,551,libero_object_20260908
route_wj_site_k20,episode,0.15,470,551,0.1150200217962265,81,551,libero_object_20260908
route_wj_site_k20,episode,0.2,442,551,0.11255781352519989,109,551,libero_object_20260908
route_wj_site_k20,task_init,0.01,71,70,inf,0,551,libero_object_20260908
route_wj_site_k20,task_init,0.03,69,70,0.1303974688053131,1,551,libero_object_20260908
route_wj_site_k20,task_init,0.05,68,70,0.12609513103961945,2,551,libero_object_20260908
route_wj_site_k20,task_init,0.1,64,70,0.12360236048698425,6,551,libero_object_20260908
route_wj_site_k20,task_init,0.15,61,70,0.12242681533098221,9,551,libero_object_20260908
route_wj_site_k20,task_init,0.2,57,70,0.12131266295909882,13,551,libero_object_20260908
route_wj_aligned_k20,episode,0.01,547,551,0.126413032412529,4,551,libero_object_20260908
route_wj_aligned_k20,episode,0.03,536,551,0.12224442511796951,15,551,libero_object_20260908
route_wj_aligned_k20,episode,0.05,525,551,0.12037117779254913,26,551,libero_object_20260908
route_wj_aligned_k20,episode,0.1,497,551,0.11735545098781586,54,551,libero_object_20260908
route_wj_aligned_k20,episode,0.15,470,551,0.11548575013875961,81,551,libero_object_20260908
route_wj_aligned_k20,episode,0.2,442,551,0.11316169798374176,109,551,libero_object_20260908
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,551,libero_object_20260908
route_wj_aligned_k20,task_init,0.03,69,70,0.13107776641845703,1,551,libero_object_20260908
route_wj_aligned_k20,task_init,0.05,68,70,0.12693887948989868,2,551,libero_object_20260908
route_wj_aligned_k20,task_init,0.1,64,70,0.12440911680459976,6,551,libero_object_20260908
route_wj_aligned_k20,task_init,0.15,61,70,0.12321941554546356,9,551,libero_object_20260908
route_wj_aligned_k20,task_init,0.2,57,70,0.12204817682504654,13,551,libero_object_20260908
route_hellinger_aligned_k20,episode,0.01,547,551,0.06412681192159653,4,551,libero_object_20260908
route_hellinger_aligned_k20,episode,0.03,536,551,0.06252926588058472,15,551,libero_object_20260908
route_hellinger_aligned_k20,episode,0.05,525,551,0.06177441403269768,26,551,libero_object_20260908
route_hellinger_aligned_k20,episode,0.1,497,551,0.06009179726243019,54,551,libero_object_20260908
route_hellinger_aligned_k20,episode,0.15,470,551,0.05784832686185837,81,551,libero_object_20260908
route_hellinger_aligned_k20,episode,0.2,442,551,0.05660807713866234,109,551,libero_object_20260908
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,551,libero_object_20260908
route_hellinger_aligned_k20,task_init,0.03,69,70,0.06520238518714905,1,551,libero_object_20260908
route_hellinger_aligned_k20,task_init,0.05,68,70,0.06431728601455688,2,551,libero_object_20260908
route_hellinger_aligned_k20,task_init,0.1,64,70,0.06299150735139847,6,551,libero_object_20260908
route_hellinger_aligned_k20,task_init,0.15,61,70,0.06252926588058472,9,551,libero_object_20260908
route_hellinger_aligned_k20,task_init,0.2,57,70,0.06189275532960892,13,551,libero_object_20260908
