method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,554,558,0.8393928408622742,4,558,libero_goal_20260907
route_ja_k20,episode,0.03,543,558,0.7896369099617004,15,558,libero_goal_20260907
route_ja_k20,episode,0.05,532,558,0.7752083539962769,26,558,libero_goal_20260907
route_ja_k20,episode,0.1,504,558,0.7549821138381958,54,558,libero_goal_20260907
route_ja_k20,episode,0.15,476,558,0.7419762015342712,82,558,libero_goal_20260907
route_ja_k20,episode,0.2,448,558,0.7338868975639343,110,558,libero_goal_20260907
route_ja_k20,task_init,0.01,71,70,inf,0,558,libero_goal_20260907
route_ja_k20,task_init,0.03,69,70,0.8393928408622742,1,558,libero_goal_20260907
route_ja_k20,task_init,0.05,68,70,0.8338214159011841,2,558,libero_goal_20260907
route_ja_k20,task_init,0.1,64,70,0.7946369051933289,6,558,libero_goal_20260907
route_ja_k20,task_init,0.15,61,70,0.7835654616355896,9,558,libero_goal_20260907
route_ja_k20,task_init,0.2,57,70,0.770976185798645,13,558,libero_goal_20260907
route_wj_site_k20,episode,0.01,554,558,0.09011787176132202,4,558,libero_goal_20260907
route_wj_site_k20,episode,0.03,543,558,0.08522019535303116,15,558,libero_goal_20260907
route_wj_site_k20,episode,0.05,532,558,0.08377627283334732,26,558,libero_goal_20260907
route_wj_site_k20,episode,0.1,504,558,0.07917016744613647,54,558,libero_goal_20260907
route_wj_site_k20,episode,0.15,476,558,0.07679369300603867,82,558,libero_goal_20260907
route_wj_site_k20,episode,0.2,448,558,0.07473491132259369,110,558,libero_goal_20260907
route_wj_site_k20,task_init,0.01,71,70,inf,0,558,libero_goal_20260907
route_wj_site_k20,task_init,0.03,69,70,0.09398669004440308,1,558,libero_goal_20260907
route_wj_site_k20,task_init,0.05,68,70,0.09059218317270279,2,558,libero_goal_20260907
route_wj_site_k20,task_init,0.1,64,70,0.08568180352449417,6,558,libero_goal_20260907
route_wj_site_k20,task_init,0.15,61,70,0.08278302848339081,9,558,libero_goal_20260907
route_wj_site_k20,task_init,0.2,57,70,0.08059651404619217,13,558,libero_goal_20260907
route_wj_aligned_k20,episode,0.01,554,558,0.09055538475513458,4,558,libero_goal_20260907
route_wj_aligned_k20,episode,0.03,543,558,0.0855937972664833,15,558,libero_goal_20260907
route_wj_aligned_k20,episode,0.05,532,558,0.08412900567054749,26,558,libero_goal_20260907
route_wj_aligned_k20,episode,0.1,504,558,0.07966118305921555,54,558,libero_goal_20260907
route_wj_aligned_k20,episode,0.15,476,558,0.07717679440975189,82,558,libero_goal_20260907
route_wj_aligned_k20,episode,0.2,448,558,0.07501217722892761,110,558,libero_goal_20260907
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,558,libero_goal_20260907
route_wj_aligned_k20,task_init,0.03,69,70,0.09459550678730011,1,558,libero_goal_20260907
route_wj_aligned_k20,task_init,0.05,68,70,0.09092116355895996,2,558,libero_goal_20260907
route_wj_aligned_k20,task_init,0.1,64,70,0.08610469102859497,6,558,libero_goal_20260907
route_wj_aligned_k20,task_init,0.15,61,70,0.08311353623867035,9,558,libero_goal_20260907
route_wj_aligned_k20,task_init,0.2,57,70,0.08119156211614609,13,558,libero_goal_20260907
route_hellinger_aligned_k20,episode,0.01,554,558,0.04489760845899582,4,558,libero_goal_20260907
route_hellinger_aligned_k20,episode,0.03,543,558,0.04283089563250542,15,558,libero_goal_20260907
route_hellinger_aligned_k20,episode,0.05,532,558,0.04229942709207535,26,558,libero_goal_20260907
route_hellinger_aligned_k20,episode,0.1,504,558,0.04061424732208252,54,558,libero_goal_20260907
route_hellinger_aligned_k20,episode,0.15,476,558,0.03903530538082123,82,558,libero_goal_20260907
route_hellinger_aligned_k20,episode,0.2,448,558,0.03769609332084656,110,558,libero_goal_20260907
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,558,libero_goal_20260907
route_hellinger_aligned_k20,task_init,0.03,69,70,0.04766833782196045,1,558,libero_goal_20260907
route_hellinger_aligned_k20,task_init,0.05,68,70,0.04523143917322159,2,558,libero_goal_20260907
route_hellinger_aligned_k20,task_init,0.1,64,70,0.04387468099594116,6,558,libero_goal_20260907
route_hellinger_aligned_k20,task_init,0.15,61,70,0.042703233659267426,9,558,libero_goal_20260907
route_hellinger_aligned_k20,task_init,0.2,57,70,0.04152171313762665,13,558,libero_goal_20260907
