method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,537,541,0.833214282989502,4,541,libero_long_20260908
route_ja_k20,episode,0.03,526,541,0.8242856860160828,15,541,libero_long_20260908
route_ja_k20,episode,0.05,515,541,0.8202797770500183,26,541,libero_long_20260908
route_ja_k20,episode,0.1,488,541,0.8136785626411438,53,541,libero_long_20260908
route_ja_k20,episode,0.15,461,541,0.8076369166374207,80,541,libero_long_20260908
route_ja_k20,episode,0.2,434,541,0.8030059337615967,107,541,libero_long_20260908
route_ja_k20,task_init,0.01,71,70,inf,0,541,libero_long_20260908
route_ja_k20,task_init,0.03,69,70,0.8363273739814758,1,541,libero_long_20260908
route_ja_k20,task_init,0.05,68,70,0.8358214497566223,2,541,libero_long_20260908
route_ja_k20,task_init,0.1,64,70,0.8263571262359619,6,541,libero_long_20260908
route_ja_k20,task_init,0.15,61,70,0.8250952363014221,9,541,libero_long_20260908
route_ja_k20,task_init,0.2,57,70,0.8202797770500183,13,541,libero_long_20260908
route_wj_site_k20,episode,0.01,537,541,0.12699094414710999,4,541,libero_long_20260908
route_wj_site_k20,episode,0.03,526,541,0.12081019580364227,15,541,libero_long_20260908
route_wj_site_k20,episode,0.05,515,541,0.1189613863825798,26,541,libero_long_20260908
route_wj_site_k20,episode,0.1,488,541,0.11451557278633118,53,541,libero_long_20260908
route_wj_site_k20,episode,0.15,461,541,0.11244692653417587,80,541,libero_long_20260908
route_wj_site_k20,episode,0.2,434,541,0.1102798581123352,107,541,libero_long_20260908
route_wj_site_k20,task_init,0.01,71,70,inf,0,541,libero_long_20260908
route_wj_site_k20,task_init,0.03,69,70,0.13120560348033905,1,541,libero_long_20260908
route_wj_site_k20,task_init,0.05,68,70,0.12876904010772705,2,541,libero_long_20260908
route_wj_site_k20,task_init,0.1,64,70,0.12081019580364227,6,541,libero_long_20260908
route_wj_site_k20,task_init,0.15,61,70,0.11960766464471817,9,541,libero_long_20260908
route_wj_site_k20,task_init,0.2,57,70,0.11603394895792007,13,541,libero_long_20260908
route_wj_aligned_k20,episode,0.01,537,541,0.12747228145599365,4,541,libero_long_20260908
route_wj_aligned_k20,episode,0.03,526,541,0.12124895304441452,15,541,libero_long_20260908
route_wj_aligned_k20,episode,0.05,515,541,0.11952444165945053,26,541,libero_long_20260908
route_wj_aligned_k20,episode,0.1,488,541,0.11521098017692566,53,541,libero_long_20260908
route_wj_aligned_k20,episode,0.15,461,541,0.11297179758548737,80,541,libero_long_20260908
route_wj_aligned_k20,episode,0.2,434,541,0.11068052053451538,107,541,libero_long_20260908
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,541,libero_long_20260908
route_wj_aligned_k20,task_init,0.03,69,70,0.13161693513393402,1,541,libero_long_20260908
route_wj_aligned_k20,task_init,0.05,68,70,0.12923580408096313,2,541,libero_long_20260908
route_wj_aligned_k20,task_init,0.1,64,70,0.12124895304441452,6,541,libero_long_20260908
route_wj_aligned_k20,task_init,0.15,61,70,0.12008681893348694,9,541,libero_long_20260908
route_wj_aligned_k20,task_init,0.2,57,70,0.11656608432531357,13,541,libero_long_20260908
route_hellinger_aligned_k20,episode,0.01,537,541,0.06556090712547302,4,541,libero_long_20260908
route_hellinger_aligned_k20,episode,0.03,526,541,0.06270105391740799,15,541,libero_long_20260908
route_hellinger_aligned_k20,episode,0.05,515,541,0.061613667756319046,26,541,libero_long_20260908
route_hellinger_aligned_k20,episode,0.1,488,541,0.05922062322497368,53,541,libero_long_20260908
route_hellinger_aligned_k20,episode,0.15,461,541,0.05734908953309059,80,541,libero_long_20260908
route_hellinger_aligned_k20,episode,0.2,434,541,0.056109338998794556,107,541,libero_long_20260908
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,541,libero_long_20260908
route_hellinger_aligned_k20,task_init,0.03,69,70,0.06690067052841187,1,541,libero_long_20260908
route_hellinger_aligned_k20,task_init,0.05,68,70,0.06603683531284332,2,541,libero_long_20260908
route_hellinger_aligned_k20,task_init,0.1,64,70,0.06291914731264114,6,541,libero_long_20260908
route_hellinger_aligned_k20,task_init,0.15,61,70,0.06174148619174957,9,541,libero_long_20260908
route_hellinger_aligned_k20,task_init,0.2,57,70,0.06029146909713745,13,541,libero_long_20260908
