method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,538,542,0.7869940400123596,4,542,libero_goal_20260909
route_ja_k20,episode,0.03,527,542,0.7674583196640015,15,542,libero_goal_20260909
route_ja_k20,episode,0.05,516,542,0.7598512172698975,26,542,libero_goal_20260909
route_ja_k20,episode,0.1,489,542,0.7453631162643433,53,542,libero_goal_20260909
route_ja_k20,episode,0.15,462,542,0.7322202324867249,80,542,libero_goal_20260909
route_ja_k20,episode,0.2,435,542,0.7219464182853699,107,542,libero_goal_20260909
route_ja_k20,task_init,0.01,71,70,inf,0,542,libero_goal_20260909
route_ja_k20,task_init,0.03,69,70,0.8042916655540466,1,542,libero_goal_20260909
route_ja_k20,task_init,0.05,68,70,0.7894940376281738,2,542,libero_goal_20260909
route_ja_k20,task_init,0.1,64,70,0.7728809714317322,6,542,libero_goal_20260909
route_ja_k20,task_init,0.15,61,70,0.7657678723335266,9,542,libero_goal_20260909
route_ja_k20,task_init,0.2,57,70,0.7554702162742615,13,542,libero_goal_20260909
route_wj_site_k20,episode,0.01,538,542,0.08651839196681976,4,542,libero_goal_20260909
route_wj_site_k20,episode,0.03,527,542,0.08303531259298325,15,542,libero_goal_20260909
route_wj_site_k20,episode,0.05,516,542,0.07956448197364807,26,542,libero_goal_20260909
route_wj_site_k20,episode,0.1,489,542,0.07728242874145508,53,542,libero_goal_20260909
route_wj_site_k20,episode,0.15,462,542,0.07513633370399475,80,542,libero_goal_20260909
route_wj_site_k20,episode,0.2,435,542,0.07375990599393845,107,542,libero_goal_20260909
route_wj_site_k20,task_init,0.01,71,70,inf,0,542,libero_goal_20260909
route_wj_site_k20,task_init,0.03,69,70,0.08931578695774078,1,542,libero_goal_20260909
route_wj_site_k20,task_init,0.05,68,70,0.08612044900655746,2,542,libero_goal_20260909
route_wj_site_k20,task_init,0.1,64,70,0.08308812230825424,6,542,libero_goal_20260909
route_wj_site_k20,task_init,0.15,61,70,0.08003732562065125,9,542,libero_goal_20260909
route_wj_site_k20,task_init,0.2,57,70,0.07841810584068298,13,542,libero_goal_20260909
route_wj_aligned_k20,episode,0.01,538,542,0.08696600794792175,4,542,libero_goal_20260909
route_wj_aligned_k20,episode,0.03,527,542,0.08353827148675919,15,542,libero_goal_20260909
route_wj_aligned_k20,episode,0.05,516,542,0.07997286319732666,26,542,libero_goal_20260909
route_wj_aligned_k20,episode,0.1,489,542,0.07774668186903,53,542,libero_goal_20260909
route_wj_aligned_k20,episode,0.15,462,542,0.07560316473245621,80,542,libero_goal_20260909
route_wj_aligned_k20,episode,0.2,435,542,0.0741897001862526,107,542,libero_goal_20260909
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,542,libero_goal_20260909
route_wj_aligned_k20,task_init,0.03,69,70,0.08968862891197205,1,542,libero_goal_20260909
route_wj_aligned_k20,task_init,0.05,68,70,0.08659626543521881,2,542,libero_goal_20260909
route_wj_aligned_k20,task_init,0.1,64,70,0.08344600349664688,6,542,libero_goal_20260909
route_wj_aligned_k20,task_init,0.15,61,70,0.08052144944667816,9,542,libero_goal_20260909
route_wj_aligned_k20,task_init,0.2,57,70,0.07894464582204819,13,542,libero_goal_20260909
route_hellinger_aligned_k20,episode,0.01,538,542,0.043516457080841064,4,542,libero_goal_20260909
route_hellinger_aligned_k20,episode,0.03,527,542,0.04224323853850365,15,542,libero_goal_20260909
route_hellinger_aligned_k20,episode,0.05,516,542,0.04053378850221634,26,542,libero_goal_20260909
route_hellinger_aligned_k20,episode,0.1,489,542,0.03935275599360466,53,542,libero_goal_20260909
route_hellinger_aligned_k20,episode,0.15,462,542,0.038483183830976486,80,542,libero_goal_20260909
route_hellinger_aligned_k20,episode,0.2,435,542,0.03725414723157883,107,542,libero_goal_20260909
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,542,libero_goal_20260909
route_hellinger_aligned_k20,task_init,0.03,69,70,0.04431000351905823,1,542,libero_goal_20260909
route_hellinger_aligned_k20,task_init,0.05,68,70,0.04353969544172287,2,542,libero_goal_20260909
route_hellinger_aligned_k20,task_init,0.1,64,70,0.042146116495132446,6,542,libero_goal_20260909
route_hellinger_aligned_k20,task_init,0.15,61,70,0.04092258960008621,9,542,libero_goal_20260909
route_hellinger_aligned_k20,task_init,0.2,57,70,0.039632488042116165,13,542,libero_goal_20260909
