cv_scheme,model,snapshots,heldout_units,ridge_alpha,failure_rate_mse,failure_rate_mae,mse_gain_vs_mean_rate,mse_gain_vs_mean_rate_ci95_low,mse_gain_vs_mean_rate_ci95_high,mse_gain_vs_policy_state,mse_gain_vs_policy_state_ci95_low,mse_gain_vs_policy_state_ci95_high,mse_gain_vs_sim_state,mse_gain_vs_sim_state_ci95_low,mse_gain_vs_sim_state_ci95_high
leave_one_snapshot_out,initial_sim_state,7,7,10.0,0.12943121867344992,0.29386324541909353,0.07933614243766118,-0.03228304263540025,0.15208736754802793,0.07401836365259028,-0.04856336421630468,0.1806196108085806,0.0,0.0,0.0
leave_one_snapshot_out,mean_moe_action,7,7,10.0,0.1331162861658515,0.33630673374448505,0.0756510749452596,-0.03571546664333724,0.19377032421315832,0.0703332961601887,-0.06490270029413758,0.19625906767555637,-0.003685067492401574,-0.08611528262931113,0.044611866478369594
leave_one_snapshot_out,sim_state+mean_moe_action+state,7,7,10.0,0.20213259871697087,0.40264844468661715,0.0066347623941402445,-0.11621699720087392,0.10913732133604387,0.0013169836090693363,-0.1349359618432636,0.14083001085478064,-0.07270138004352093,-0.16063915542877097,0.018990561423811746
leave_one_snapshot_out,policy_state+mean_moe_action+state,7,7,10.0,0.20231477986570073,0.4028792083263397,0.006452581245410387,-0.06572430217827337,0.11567964539896289,0.001134802460339479,-0.07501053618386018,0.1146829753925702,-0.0728835611922508,-0.2370153499389799,0.02261779480960583
leave_one_snapshot_out,mean_moe_action+state,7,7,10.0,0.2025194490527096,0.4030746689864567,0.0062479120584015045,-0.07161721679408005,0.12551778064801541,0.0009301332733305959,-0.11338546169850404,0.11166373254139494,-0.07308823037925968,-0.17830964990718956,0.051908797932615804
leave_one_snapshot_out,initial_policy_state,7,7,10.0,0.2034495823260402,0.3793184586933681,0.005317778785070908,-0.07115047189335014,0.07723798677100817,0.0,0.0,0.0,-0.07401836365259028,-0.22847575566504544,0.03947526190240508
leave_one_snapshot_out,mean_rate,7,7,,0.20876736111111113,0.4047619047619047,0.0,0.0,0.0,-0.005317778785070908,-0.06774583694273431,0.081543505003619,-0.07933614243766118,-0.19439688406042024,0.034146000566125725
leave_one_snapshot_out,as_moe,7,7,10.0,0.20876736170242743,0.40476190192358835,-5.913163133744856e-10,-1.1767187219664205e-08,8.779562744988927e-09,-0.005317779376387222,-0.05749173374821359,0.04873645516935028,-0.0793361430289775,-0.14886369006784458,0.06748572098099202
leave_one_snapshot_out,mean_output_action,7,7,10.0,0.2924762569872052,0.49002758094242643,-0.08370889587609409,-0.3270412199196073,0.12664520163192286,-0.08902667466116501,-0.2582105170446055,0.14510363245803715,-0.1630450383137553,-0.2476211136767521,-0.030826722956177718
leave_one_snapshot_out,mean_moe_state,7,7,10.0,0.2926495152842425,0.4563750539507185,-0.08388215417313138,-0.2959481204902909,0.046487698799544085,-0.0891999329582023,-0.2132220422504304,0.095878525517357,-0.1632182966107926,-0.2964270145140168,-0.02703137687977604
leave_one_worker_out,initial_sim_state,7,4,10.0,0.20155927849112132,0.32835898229054045,0.08518985345332317,-0.021212299194459123,0.22847334545098774,0.060103893968056966,-0.12621308006739085,0.13405402090577404,0.0,0.0,0.0
leave_one_worker_out,initial_policy_state,7,4,10.0,0.2616631724591783,0.4382462075778416,0.0250859594852662,-0.04973390080461782,0.0657029134451666,0.0,0.0,0.0,-0.060103893968056966,-0.1287951175981359,0.0314844042053816
leave_one_worker_out,as_moe,7,4,10.0,0.28674913147848763,0.46279761620930265,4.659568405721412e-10,-1.0436400803628954e-08,1.3531357873075568e-08,-0.025085959019309354,-0.11852622750342692,0.043413013798406445,-0.08518985298736632,-0.2284733447711224,0.04370604152041655
leave_one_worker_out,mean_rate,7,4,,0.2867491319444445,0.462797619047619,0.0,0.0,0.0,-0.0250859594852662,-0.08419269852260472,0.025571856162254894,-0.08518985345332317,-0.16741827004390028,0.06851278044808556
leave_one_worker_out,mean_moe_action,7,4,10.0,0.3162189572553074,0.4776760595185416,-0.029469825310862906,-0.04783512565260775,-0.016260162299045394,-0.0545557847961291,-0.16470982661547698,0.010307219090090948,-0.11465967876418606,-0.23374549413843315,0.029706451657428808
leave_one_worker_out,sim_state+mean_moe_action+state,7,4,10.0,0.3478403142574556,0.5136247192110334,-0.06109118231301109,-0.09007690395173945,-0.025434616367327703,-0.08617714179827729,-0.1548943014512098,-0.013224797536222434,-0.14628103576633425,-0.21556851856200424,-0.028798210252440518
leave_one_worker_out,policy_state+mean_moe_action+state,7,4,10.0,0.3487481517955703,0.5148275111402784,-0.06199901985112578,-0.09298604469807097,-0.03559643651892623,-0.08708497933639199,-0.17382419489451817,-0.04452994512371748,-0.14718887330444894,-0.2058281098339006,-0.029979383255283973
leave_one_worker_out,mean_moe_action+state,7,4,10.0,0.348997020993564,0.514958360365459,-0.06224788904911952,-0.08809959570027492,-0.032984179829495225,-0.08733384853438572,-0.17684829286204615,-0.019882692029619908,-0.14743774250244268,-0.26507985626774333,-0.00869238916005699
leave_one_worker_out,mean_moe_state,7,4,10.0,0.4153179281887871,0.5707565248012543,-0.12856879624434261,-0.2022557394804568,-0.08324938826015064,-0.15365475572960882,-0.2339128003814533,-0.09045904123036713,-0.21375864969766578,-0.2709135241235696,-0.06698581253955863
leave_one_worker_out,mean_output_action,7,4,10.0,0.4809213609618145,0.6080345596585955,-0.19417222901736997,-0.38420408152967445,-0.07077977619690627,-0.21925818850263618,-0.5359804220182219,-0.0421734439642063,-0.27936208247069316,-0.4485668453705114,-0.15996162791849333
