query,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
0,114,3086,0,0,0.035625,1.0,1.0
1,114,3086,0,0,0.035625,1.0,1.0
2,114,3086,0,0,0.035625,1.0,1.0
3,114,3086,0,0,0.035625,1.0,1.0
4,114,3086,0,0,0.035625,1.0,1.0
5,114,3086,0,0,0.035625,1.0,1.0
6,114,3086,0,0,0.035625,1.0,1.0
7,114,3070,0,16,0.035804020100502515,1.0,0.9948152948801037
8,114,2737,0,349,0.03998596983514556,1.0,0.8869086195722619
9,114,1992,0,1094,0.05413105413105413,1.0,0.6454957874270901
10,114,1920,0,1166,0.05604719764011799,1.0,0.6221646143875567
11,114,1872,0,1214,0.05740181268882175,1.0,0.6066104990278678
12,114,1682,0,1404,0.06347438752783964,1.0,0.5450421257290992
13,114,1292,0,1794,0.08108108108108109,1.0,0.4186649384316267
14,114,1171,0,1915,0.088715953307393,1.0,0.3794556059624109
15,114,899,0,2187,0.1125370187561698,1.0,0.2913156189241737
16,114,811,0,2275,0.12324324324324325,1.0,0.262799740764744
17,114,765,0,2321,0.1296928327645051,1.0,0.24789371354504214
18,114,757,0,2329,0.13088404133180254,1.0,0.24530136098509397
19,114,757,0,2329,0.13088404133180254,1.0,0.24530136098509397
20,114,743,0,2343,0.13302217036172695,1.0,0.24076474400518472
21,114,593,0,2493,0.16124469589816123,1.0,0.19215813350615685
22,79,305,35,2781,0.20572916666666666,0.6929824561403509,0.09883344134802333
23,79,150,35,2936,0.34497816593886466,0.6929824561403509,0.04860661049902787
24,79,121,35,2965,0.395,0.6929824561403509,0.03920933246921581
25,79,83,35,3003,0.4876543209876543,0.6929824561403509,0.026895657809462088
26,79,57,35,3029,0.5808823529411765,0.6929824561403509,0.01847051198963059
27,79,41,35,3045,0.6583333333333333,0.6929824561403509,0.013285806869734284
28,68,33,46,3053,0.6732673267326733,0.5964912280701754,0.01069345430978613
29,68,27,46,3059,0.7157894736842105,0.5964912280701754,0.008749189889825017
30,47,22,67,3064,0.6811594202898551,0.41228070175438597,0.007128969539857421
31,47,16,67,3070,0.746031746031746,0.41228070175438597,0.005184705119896306
32,47,11,67,3075,0.8103448275862069,0.41228070175438597,0.0035644847699287103
33,47,8,67,3078,0.8545454545454545,0.41228070175438597,0.002592352559948153
34,47,7,67,3079,0.8703703703703703,0.41228070175438597,0.002268308489954634
35,47,6,67,3080,0.8867924528301887,0.41228070175438597,0.0019442644199611147
36,47,4,67,3082,0.9215686274509803,0.41228070175438597,0.0012961762799740765
37,47,3,67,3083,0.94,0.41228070175438597,0.0009721322099805574
38,47,3,67,3083,0.94,0.41228070175438597,0.0009721322099805574
39,47,3,67,3083,0.94,0.41228070175438597,0.0009721322099805574
40,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
41,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
42,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
43,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
44,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
45,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
46,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
47,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
48,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
49,47,1,67,3085,0.9791666666666666,0.41228070175438597,0.0003240440699935191
50,47,1,67,3085,0.9791666666666666,0.41228070175438597,0.0003240440699935191
51,47,0,67,3086,1.0,0.41228070175438597,0.0
52,0,0,114,3086,0.0,0.0,0.0
