task,suite,episodes,failures,successes,detector_tp,detector_fp,detector_fn,detector_tn,detector_precision,detector_failure_recall,detector_success_false_alarm_rate,clock_tp,clock_fp,clock_fn,clock_tn,clock_precision,clock_failure_recall,clock_success_false_alarm_rate,matched_clock_tp,matched_clock_fp,matched_clock_fn,matched_clock_tn,matched_clock_precision,matched_clock_failure_recall,matched_clock_success_false_alarm_rate
libero_goal/put_the_bowl_on_the_stove,libero_goal,400,6,394,0,0,6,394,0.0,0.0,0.0,0,0,6,394,0.0,0.0,0.0,6,0,0,394,1.0,1.0,0.0
libero_goal/put_the_bowl_on_top_of_the_cabinet,libero_goal,400,15,385,13,0,2,385,1.0,0.8666666666666667,0.0,0,0,15,385,0.0,0.0,0.0,15,0,0,385,1.0,1.0,0.0
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,libero_long,400,4,396,2,0,2,396,1.0,0.5,0.0,4,0,0,396,1.0,1.0,0.0,4,10,0,386,0.2857142857142857,1.0,0.025252525252525252
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,libero_long,400,43,357,0,0,43,357,0.0,0.0,0.0,43,3,0,354,0.9347826086956522,1.0,0.008403361344537815,43,17,0,340,0.7166666666666667,1.0,0.047619047619047616
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,libero_object,400,11,389,6,0,5,389,1.0,0.5454545454545454,0.0,0,0,11,389,0.0,0.0,0.0,0,0,11,389,0.0,0.0,0.0
libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,libero_object,400,0,400,0,32,0,368,0.0,0.0,0.08,0,0,0,400,0.0,0.0,0.0,0,0,0,400,0.0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,libero_spatial,400,0,400,0,0,0,400,0.0,0.0,0.0,0,0,0,400,0.0,0.0,0.0,0,0,0,400,0.0,0.0,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,libero_spatial,400,35,365,30,0,5,365,1.0,0.8571428571428571,0.0,0,0,35,365,0.0,0.0,0.0,0,0,35,365,0.0,0.0,0.0
