kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,552,548,6.323683450547519,4,552,stats_contrast__current,libero_object_20260907_cap512
episode,0.03,552,537,3.890228581829124,15,552,stats_contrast__current,libero_object_20260907_cap512
episode,0.05,552,526,3.551786193250452,26,552,stats_contrast__current,libero_object_20260907_cap512
episode,0.1,552,498,2.7781776175819033,54,552,stats_contrast__current,libero_object_20260907_cap512
episode,0.15,552,471,2.4376781373790215,81,552,stats_contrast__current,libero_object_20260907_cap512
episode,0.2,552,443,2.193808257086872,109,552,stats_contrast__current,libero_object_20260907_cap512
task_init,0.01,70,71,inf,0,552,stats_contrast__current,libero_object_20260907_cap512
task_init,0.03,70,69,15.474701174746098,1,552,stats_contrast__current,libero_object_20260907_cap512
task_init,0.05,70,68,10.584305855314772,2,552,stats_contrast__current,libero_object_20260907_cap512
task_init,0.1,70,64,4.061888560057227,6,552,stats_contrast__current,libero_object_20260907_cap512
task_init,0.15,70,61,3.5227936522106864,9,552,stats_contrast__current,libero_object_20260907_cap512
task_init,0.2,70,57,3.3402770429829154,13,552,stats_contrast__current,libero_object_20260907_cap512
episode,0.01,552,548,4.614312750288822,4,552,stats_contrast__cumsum,libero_object_20260907_cap512
episode,0.03,552,537,3.5679198447616978,15,552,stats_contrast__cumsum,libero_object_20260907_cap512
episode,0.05,552,526,3.0777865181433604,26,552,stats_contrast__cumsum,libero_object_20260907_cap512
episode,0.1,552,498,2.3379847004731262,54,552,stats_contrast__cumsum,libero_object_20260907_cap512
episode,0.15,552,471,2.005663447031099,81,552,stats_contrast__cumsum,libero_object_20260907_cap512
episode,0.2,552,443,1.7412150170298124,109,552,stats_contrast__cumsum,libero_object_20260907_cap512
task_init,0.01,70,71,inf,0,552,stats_contrast__cumsum,libero_object_20260907_cap512
task_init,0.03,70,69,5.823467515365165,1,552,stats_contrast__cumsum,libero_object_20260907_cap512
task_init,0.05,70,68,4.614312750288822,2,552,stats_contrast__cumsum,libero_object_20260907_cap512
task_init,0.1,70,64,3.8612865221130135,6,552,stats_contrast__cumsum,libero_object_20260907_cap512
task_init,0.15,70,61,3.1484290237628256,9,552,stats_contrast__cumsum,libero_object_20260907_cap512
task_init,0.2,70,57,2.8715898870254177,13,552,stats_contrast__cumsum,libero_object_20260907_cap512
