kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,552,548,3.8105459396746624,4,552,load_contrast__current,libero_object_20260907
episode,0.03,552,537,3.2094888292052057,15,552,load_contrast__current,libero_object_20260907
episode,0.05,552,526,3.0903663207061185,26,552,load_contrast__current,libero_object_20260907
episode,0.1,552,498,2.776088216344871,54,552,load_contrast__current,libero_object_20260907
episode,0.15,552,471,2.556544105996751,81,552,load_contrast__current,libero_object_20260907
episode,0.2,552,443,2.3195929851424335,109,552,load_contrast__current,libero_object_20260907
task_init,0.01,70,71,inf,0,552,load_contrast__current,libero_object_20260907
task_init,0.03,70,69,4.942930233860767,1,552,load_contrast__current,libero_object_20260907
task_init,0.05,70,68,3.6432547336080146,2,552,load_contrast__current,libero_object_20260907
task_init,0.1,70,64,3.2214967872205826,6,552,load_contrast__current,libero_object_20260907
task_init,0.15,70,61,3.0903663207061185,9,552,load_contrast__current,libero_object_20260907
task_init,0.2,70,57,2.91893926514968,13,552,load_contrast__current,libero_object_20260907
episode,0.01,552,548,4.253248327313709,4,552,load_contrast__cumsum,libero_object_20260907
episode,0.03,552,537,4.042441610766553,15,552,load_contrast__cumsum,libero_object_20260907
episode,0.05,552,526,3.882322621992371,26,552,load_contrast__cumsum,libero_object_20260907
episode,0.1,552,498,3.5152344193810303,54,552,load_contrast__cumsum,libero_object_20260907
episode,0.15,552,471,3.336763608406079,81,552,load_contrast__cumsum,libero_object_20260907
episode,0.2,552,443,3.077808729662889,109,552,load_contrast__cumsum,libero_object_20260907
task_init,0.01,70,71,inf,0,552,load_contrast__cumsum,libero_object_20260907
task_init,0.03,70,69,4.340366652574533,1,552,load_contrast__cumsum,libero_object_20260907
task_init,0.05,70,68,4.293566304567943,2,552,load_contrast__cumsum,libero_object_20260907
task_init,0.1,70,64,4.038556202396102,6,552,load_contrast__cumsum,libero_object_20260907
task_init,0.15,70,61,3.9647763750679212,9,552,load_contrast__cumsum,libero_object_20260907
task_init,0.2,70,57,3.5089193714217077,13,552,load_contrast__cumsum,libero_object_20260907
episode,0.01,552,548,4.213161205156723,4,552,stats_contrast__current,libero_object_20260907
episode,0.03,552,537,3.2987254017284826,15,552,stats_contrast__current,libero_object_20260907
episode,0.05,552,526,3.0784017702530244,26,552,stats_contrast__current,libero_object_20260907
episode,0.1,552,498,2.535111481386091,54,552,stats_contrast__current,libero_object_20260907
episode,0.15,552,471,2.237195078692175,81,552,stats_contrast__current,libero_object_20260907
episode,0.2,552,443,2.090853695466928,109,552,stats_contrast__current,libero_object_20260907
task_init,0.01,70,71,inf,0,552,stats_contrast__current,libero_object_20260907
task_init,0.03,70,69,4.53329178760664,1,552,stats_contrast__current,libero_object_20260907
task_init,0.05,70,68,4.213161205156723,2,552,stats_contrast__current,libero_object_20260907
task_init,0.1,70,64,3.3977964013208144,6,552,stats_contrast__current,libero_object_20260907
task_init,0.15,70,61,3.2987254017284826,9,552,stats_contrast__current,libero_object_20260907
task_init,0.2,70,57,3.062916564271766,13,552,stats_contrast__current,libero_object_20260907
episode,0.01,552,548,4.064275576835819,4,552,stats_contrast__cumsum,libero_object_20260907
episode,0.03,552,537,3.6318895607288058,15,552,stats_contrast__cumsum,libero_object_20260907
episode,0.05,552,526,3.4559081788444237,26,552,stats_contrast__cumsum,libero_object_20260907
episode,0.1,552,498,2.9957227499844654,54,552,stats_contrast__cumsum,libero_object_20260907
episode,0.15,552,471,2.8115476640581787,81,552,stats_contrast__cumsum,libero_object_20260907
episode,0.2,552,443,2.6209125306598806,109,552,stats_contrast__cumsum,libero_object_20260907
task_init,0.01,70,71,inf,0,552,stats_contrast__cumsum,libero_object_20260907
task_init,0.03,70,69,4.312770231640641,1,552,stats_contrast__cumsum,libero_object_20260907
task_init,0.05,70,68,4.250757754222309,2,552,stats_contrast__cumsum,libero_object_20260907
task_init,0.1,70,64,3.7813323342265828,6,552,stats_contrast__cumsum,libero_object_20260907
task_init,0.15,70,61,3.660950673031225,9,552,stats_contrast__cumsum,libero_object_20260907
task_init,0.2,70,57,3.5920075899924515,13,552,stats_contrast__cumsum,libero_object_20260907
episode,0.01,552,548,3.030098742778178,4,552,history_contrast__current,libero_object_20260907
episode,0.03,552,537,2.611280593457294,15,552,history_contrast__current,libero_object_20260907
episode,0.05,552,526,2.4820380109811175,26,552,history_contrast__current,libero_object_20260907
episode,0.1,552,498,2.1639019135304536,54,552,history_contrast__current,libero_object_20260907
episode,0.15,552,471,1.9773892637902972,81,552,history_contrast__current,libero_object_20260907
episode,0.2,552,443,1.861469332509177,109,552,history_contrast__current,libero_object_20260907
task_init,0.01,70,71,inf,0,552,history_contrast__current,libero_object_20260907
task_init,0.03,70,69,3.1587456656111983,1,552,history_contrast__current,libero_object_20260907
task_init,0.05,70,68,3.030098742778178,2,552,history_contrast__current,libero_object_20260907
task_init,0.1,70,64,2.796176147626508,6,552,history_contrast__current,libero_object_20260907
task_init,0.15,70,61,2.604864798536834,9,552,history_contrast__current,libero_object_20260907
task_init,0.2,70,57,2.434991639472158,13,552,history_contrast__current,libero_object_20260907
episode,0.01,552,548,4.043663800168055,4,552,history_contrast__cumsum,libero_object_20260907
episode,0.03,552,537,3.311477085614762,15,552,history_contrast__cumsum,libero_object_20260907
episode,0.05,552,526,3.1065893276291727,26,552,history_contrast__cumsum,libero_object_20260907
episode,0.1,552,498,2.601757089271394,54,552,history_contrast__cumsum,libero_object_20260907
episode,0.15,552,471,2.274998516865999,81,552,history_contrast__cumsum,libero_object_20260907
episode,0.2,552,443,2.104915390975909,109,552,history_contrast__cumsum,libero_object_20260907
task_init,0.01,70,71,inf,0,552,history_contrast__cumsum,libero_object_20260907
task_init,0.03,70,69,4.206292878912247,1,552,history_contrast__cumsum,libero_object_20260907
task_init,0.05,70,68,4.112521805783774,2,552,history_contrast__cumsum,libero_object_20260907
task_init,0.1,70,64,3.8359415865211712,6,552,history_contrast__cumsum,libero_object_20260907
task_init,0.15,70,61,3.2703292193413707,9,552,history_contrast__cumsum,libero_object_20260907
task_init,0.2,70,57,3.1041136167361536,13,552,history_contrast__cumsum,libero_object_20260907
episode,0.01,552,548,2.341120223521296,4,552,behavior_contrast__current,libero_object_20260907
episode,0.03,552,537,2.243079208952458,15,552,behavior_contrast__current,libero_object_20260907
episode,0.05,552,526,2.10917024002978,26,552,behavior_contrast__current,libero_object_20260907
episode,0.1,552,498,1.915594437224412,54,552,behavior_contrast__current,libero_object_20260907
episode,0.15,552,471,1.8574219914169579,81,552,behavior_contrast__current,libero_object_20260907
episode,0.2,552,443,1.7944953845209055,109,552,behavior_contrast__current,libero_object_20260907
task_init,0.01,70,71,inf,0,552,behavior_contrast__current,libero_object_20260907
task_init,0.03,70,69,2.4494628028266114,1,552,behavior_contrast__current,libero_object_20260907
task_init,0.05,70,68,2.369384570230008,2,552,behavior_contrast__current,libero_object_20260907
task_init,0.1,70,64,2.2455564388958664,6,552,behavior_contrast__current,libero_object_20260907
task_init,0.15,70,61,2.1700848062270772,9,552,behavior_contrast__current,libero_object_20260907
task_init,0.2,70,57,2.086353313744324,13,552,behavior_contrast__current,libero_object_20260907
episode,0.01,552,548,2.399049510025573,4,552,behavior_contrast__cumsum,libero_object_20260907
episode,0.03,552,537,2.1386394136047464,15,552,behavior_contrast__cumsum,libero_object_20260907
episode,0.05,552,526,2.021916727888687,26,552,behavior_contrast__cumsum,libero_object_20260907
episode,0.1,552,498,1.8747533201808508,54,552,behavior_contrast__cumsum,libero_object_20260907
