kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,535,531,5.228741428450053,4,535,stats_contrast__current,libero_spatial_20260907_cap512
episode,0.03,535,520,4.002935604405802,15,535,stats_contrast__current,libero_spatial_20260907_cap512
episode,0.05,535,510,3.303969032535972,25,535,stats_contrast__current,libero_spatial_20260907_cap512
episode,0.1,535,483,2.409433682857034,52,535,stats_contrast__current,libero_spatial_20260907_cap512
episode,0.15,535,456,2.129905018714533,79,535,stats_contrast__current,libero_spatial_20260907_cap512
episode,0.2,535,429,1.8518352144290835,106,535,stats_contrast__current,libero_spatial_20260907_cap512
task_init,0.01,70,71,inf,0,535,stats_contrast__current,libero_spatial_20260907_cap512
task_init,0.03,70,69,11.87732388735222,1,535,stats_contrast__current,libero_spatial_20260907_cap512
task_init,0.05,70,68,5.903580818012024,2,535,stats_contrast__current,libero_spatial_20260907_cap512
task_init,0.1,70,64,4.073759403751799,6,535,stats_contrast__current,libero_spatial_20260907_cap512
task_init,0.15,70,61,3.072205815658791,9,535,stats_contrast__current,libero_spatial_20260907_cap512
task_init,0.2,70,57,2.8195402960687135,13,535,stats_contrast__current,libero_spatial_20260907_cap512
episode,0.01,535,531,4.364533476605622,4,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
episode,0.03,535,520,3.159253041087452,15,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
episode,0.05,535,510,2.7130045639876346,25,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
episode,0.1,535,483,2.2295206518367388,52,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
episode,0.15,535,456,1.8230936113648812,79,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
episode,0.2,535,429,1.6076178704998556,106,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
task_init,0.01,70,71,inf,0,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
task_init,0.03,70,69,4.640559989289186,1,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
task_init,0.05,70,68,4.6351467926164895,2,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
task_init,0.1,70,64,2.8734347711098156,6,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
task_init,0.15,70,61,2.488410724784474,9,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
task_init,0.2,70,57,2.0999884342129005,13,535,stats_contrast__cumsum,libero_spatial_20260907_cap512
