kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
task_init,0.2,70,57,2.978925713999375,13,551,history_contrast__cumsum,libero_spatial_20260908
episode,0.01,551,547,2.720289892717759,4,551,behavior_contrast__current,libero_spatial_20260908
episode,0.03,551,536,1.9858672701850528,15,551,behavior_contrast__current,libero_spatial_20260908
episode,0.05,551,525,1.8253431358221945,26,551,behavior_contrast__current,libero_spatial_20260908
episode,0.1,551,497,1.615236865160841,54,551,behavior_contrast__current,libero_spatial_20260908
episode,0.15,551,470,1.518790741459917,81,551,behavior_contrast__current,libero_spatial_20260908
episode,0.2,551,442,1.4324388333107239,109,551,behavior_contrast__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,behavior_contrast__current,libero_spatial_20260908
task_init,0.03,70,69,3.769374953589733,1,551,behavior_contrast__current,libero_spatial_20260908
task_init,0.05,70,68,2.9086034187106655,2,551,behavior_contrast__current,libero_spatial_20260908
task_init,0.1,70,64,2.2504753415405094,6,551,behavior_contrast__current,libero_spatial_20260908
task_init,0.15,70,61,2.056897297696904,9,551,behavior_contrast__current,libero_spatial_20260908
task_init,0.2,70,57,1.9858672701850528,13,551,behavior_contrast__current,libero_spatial_20260908
episode,0.01,551,547,2.4207545682716596,4,551,behavior_contrast__cumsum,libero_spatial_20260908
episode,0.03,551,536,2.087669640523318,15,551,behavior_contrast__cumsum,libero_spatial_20260908
episode,0.05,551,525,1.9757647431812975,26,551,behavior_contrast__cumsum,libero_spatial_20260908
episode,0.1,551,497,1.798939094668419,54,551,behavior_contrast__cumsum,libero_spatial_20260908
episode,0.15,551,470,1.6627327080592496,81,551,behavior_contrast__cumsum,libero_spatial_20260908
episode,0.2,551,442,1.5680278986398115,109,551,behavior_contrast__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,behavior_contrast__cumsum,libero_spatial_20260908
task_init,0.03,70,69,2.5645695063921137,1,551,behavior_contrast__cumsum,libero_spatial_20260908
task_init,0.05,70,68,2.4904908150659812,2,551,behavior_contrast__cumsum,libero_spatial_20260908
task_init,0.1,70,64,2.3868352369009376,6,551,behavior_contrast__cumsum,libero_spatial_20260908
task_init,0.15,70,61,2.205609424204412,9,551,behavior_contrast__cumsum,libero_spatial_20260908
task_init,0.2,70,57,2.0751085568418115,13,551,behavior_contrast__cumsum,libero_spatial_20260908
episode,0.01,551,547,13.343214605760087,4,551,stats_success__current,libero_spatial_20260908
episode,0.03,551,536,7.324313061030684,15,551,stats_success__current,libero_spatial_20260908
episode,0.05,551,525,5.889498005682498,26,551,stats_success__current,libero_spatial_20260908
episode,0.1,551,497,4.7402042088811465,54,551,stats_success__current,libero_spatial_20260908
episode,0.15,551,470,3.916090092143032,81,551,stats_success__current,libero_spatial_20260908
episode,0.2,551,442,3.566664928804919,109,551,stats_success__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,stats_success__current,libero_spatial_20260908
task_init,0.03,70,69,25.398750572885277,1,551,stats_success__current,libero_spatial_20260908
task_init,0.05,70,68,23.962628553660014,2,551,stats_success__current,libero_spatial_20260908
task_init,0.1,70,64,8.526432865418581,6,551,stats_success__current,libero_spatial_20260908
task_init,0.15,70,61,6.562643424323703,9,551,stats_success__current,libero_spatial_20260908
task_init,0.2,70,57,6.147010986134169,13,551,stats_success__current,libero_spatial_20260908
episode,0.01,551,547,13.289324367767826,4,551,stats_success__cumsum,libero_spatial_20260908
episode,0.03,551,536,6.726678305395433,15,551,stats_success__cumsum,libero_spatial_20260908
episode,0.05,551,525,5.483740441804748,26,551,stats_success__cumsum,libero_spatial_20260908
episode,0.1,551,497,4.4792176429430475,54,551,stats_success__cumsum,libero_spatial_20260908
episode,0.15,551,470,3.896599624362694,81,551,stats_success__cumsum,libero_spatial_20260908
episode,0.2,551,442,3.6514277704628335,109,551,stats_success__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,stats_success__cumsum,libero_spatial_20260908
task_init,0.03,70,69,17.763897543451517,1,551,stats_success__cumsum,libero_spatial_20260908
task_init,0.05,70,68,15.094428564925286,2,551,stats_success__cumsum,libero_spatial_20260908
task_init,0.1,70,64,8.620550805401283,6,551,stats_success__cumsum,libero_spatial_20260908
task_init,0.15,70,61,6.055432192081318,9,551,stats_success__cumsum,libero_spatial_20260908
task_init,0.2,70,57,5.295532049609073,13,551,stats_success__cumsum,libero_spatial_20260908
episode,0.01,551,547,5.437659669789764,4,551,entropy_low__current,libero_spatial_20260908
episode,0.03,551,536,3.872016399523125,15,551,entropy_low__current,libero_spatial_20260908
episode,0.05,551,525,3.616233046868368,26,551,entropy_low__current,libero_spatial_20260908
episode,0.1,551,497,3.16276187211998,54,551,entropy_low__current,libero_spatial_20260908
episode,0.15,551,470,2.7764426847406636,81,551,entropy_low__current,libero_spatial_20260908
episode,0.2,551,442,2.547737366796283,109,551,entropy_low__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,entropy_low__current,libero_spatial_20260908
task_init,0.03,70,69,14.362540811785559,1,551,entropy_low__current,libero_spatial_20260908
task_init,0.05,70,68,9.196061752977652,2,551,entropy_low__current,libero_spatial_20260908
task_init,0.1,70,64,4.261690015861678,6,551,entropy_low__current,libero_spatial_20260908
task_init,0.15,70,61,3.8059553708626193,9,551,entropy_low__current,libero_spatial_20260908
task_init,0.2,70,57,3.508846128426093,13,551,entropy_low__current,libero_spatial_20260908
episode,0.01,551,547,0.033816204615829674,4,551,entropy_low__cumsum,libero_spatial_20260908
episode,0.03,551,536,0.024850560921340154,15,551,entropy_low__cumsum,libero_spatial_20260908
episode,0.05,551,525,0.02276680275381354,26,551,entropy_low__cumsum,libero_spatial_20260908
episode,0.1,551,497,0.018448488130320878,54,551,entropy_low__cumsum,libero_spatial_20260908
episode,0.15,551,470,0.015570857981505712,81,551,entropy_low__cumsum,libero_spatial_20260908
episode,0.2,551,442,0.013579323560628,109,551,entropy_low__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,entropy_low__cumsum,libero_spatial_20260908
task_init,0.03,70,69,0.033034795303007194,1,551,entropy_low__cumsum,libero_spatial_20260908
task_init,0.05,70,68,0.0302070158280563,2,551,entropy_low__cumsum,libero_spatial_20260908
task_init,0.1,70,64,0.026491894358321347,6,551,entropy_low__cumsum,libero_spatial_20260908
task_init,0.15,70,61,0.023503346460158173,9,551,entropy_low__cumsum,libero_spatial_20260908
task_init,0.2,70,57,0.017502571593746297,13,551,entropy_low__cumsum,libero_spatial_20260908
episode,0.01,551,547,2.6609950957281945,4,551,entropy_high__current,libero_spatial_20260908
episode,0.03,551,536,2.1735969482840765,15,551,entropy_high__current,libero_spatial_20260908
episode,0.05,551,525,2.0201058327242056,26,551,entropy_high__current,libero_spatial_20260908
episode,0.1,551,497,1.8884714367210778,54,551,entropy_high__current,libero_spatial_20260908
episode,0.15,551,470,1.8073375986665425,81,551,entropy_high__current,libero_spatial_20260908
episode,0.2,551,442,1.7286269599325519,109,551,entropy_high__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,entropy_high__current,libero_spatial_20260908
task_init,0.03,70,69,2.8274380720632246,1,551,entropy_high__current,libero_spatial_20260908
task_init,0.05,70,68,2.492721159464911,2,551,entropy_high__current,libero_spatial_20260908
task_init,0.1,70,64,2.1551270241221987,6,551,entropy_high__current,libero_spatial_20260908
task_init,0.15,70,61,2.0060578606159876,9,551,entropy_high__current,libero_spatial_20260908
task_init,0.2,70,57,1.9738619912251176,13,551,entropy_high__current,libero_spatial_20260908
episode,0.01,551,547,0.019456718009225802,4,551,entropy_high__cumsum,libero_spatial_20260908
episode,0.03,551,536,0.01833757038097287,15,551,entropy_high__cumsum,libero_spatial_20260908
episode,0.05,551,525,0.017632183345793407,26,551,entropy_high__cumsum,libero_spatial_20260908
episode,0.1,551,497,0.01599084990881221,54,551,entropy_high__cumsum,libero_spatial_20260908
episode,0.15,551,470,0.01491906042073034,81,551,entropy_high__cumsum,libero_spatial_20260908
episode,0.2,551,442,0.013580569827474607,109,551,entropy_high__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,entropy_high__cumsum,libero_spatial_20260908
task_init,0.03,70,69,0.020850044343732235,1,551,entropy_high__cumsum,libero_spatial_20260908
task_init,0.05,70,68,0.020729156459611372,2,551,entropy_high__cumsum,libero_spatial_20260908
task_init,0.1,70,64,0.018408607591229458,6,551,entropy_high__cumsum,libero_spatial_20260908
